Country,Measure Reference,Measure Name,Measure Description,Investment/Reform,Milestone/Target Reference,Milestone/Target Name,Milestone/Target Description,Milestone or Target,Loans/Grants,Completion Year-Quarter,Qualitative Indicator,Unit of Measure,Baseline,Goal,Measure CSR Reference List,Status,Instalment Nr,Disbursement Date,Policy Pillars / REPowerEU
Austria,AT-C[C1]-R[1A1],Decarbonisation of the building stock,"The objective of the reform is to create the framework conditions for replacing outdated heating systems.  The reform shall ban the installation of heating systems based on fossil fuels for space heating and/or hot water supply in new buildings and shall incentivise the replacement of fossil-fuel  heating systems in existing buildings   by renewable energy or district heatingAdditionally, the reform shall create a common platform, in cooperation with the Länder and social organisations, to coordinate flanking measures against energy poverty, including funding and consultancy services for low-income households.  
The  implementation of the reform measure shall be completed by 31 December 2022.",Reform,AT-C[C1]-R[1A1]-M[1],Entry into force of Renewable Heating Law and the amended Environmental Subsidies Act,Entry into force of the Renewable Heating Law and the amended Environmental Subsidies Act to incentivise the phase-out of fossil-fuel heating systems.,milestone,Grants,2022-Q1,Provision in the law indicating the entry into force of the Renewable Heating Law and the amended Environmental Subsidies Act,-,-,-,2019.CSR3; 2020.CSR3; 2022.CSR4; 2023.CSR4; 2024.CSR4,Fulfilled,2,09/29/2025,"Smart, sustainable and inclusive growth including economic cohesion, jobs, productivity, competitiveness, research, development and innovation, and a well-functioning internal market with strong SMEs | Social and territorial cohesion | No"
Austria,AT-C[C1]-R[1A1],Decarbonisation of the building stock,"The objective of the reform is to create the framework conditions for replacing outdated heating systems.  The reform shall ban the installation of heating systems based on fossil fuels for space heating and/or hot water supply in new buildings and shall incentivise the replacement of fossil-fuel  heating systems in existing buildings   by renewable energy or district heatingAdditionally, the reform shall create a common platform, in cooperation with the Länder and social organisations, to coordinate flanking measures against energy poverty, including funding and consultancy services for low-income households.  
The  implementation of the reform measure shall be completed by 31 December 2022.",Reform,AT-C[C1]-R[1A1]-M[2],Training for energy consultants,"In co-operation with the Länder and the social NGOs involved in the project, training shall be offered to energy consultants to advise low-income and energy-poor households.",milestone,Grants,2022-Q4,Launch of the training for energy consultants to advise low-income and energy-poor households,-,-,-,2019.CSR3; 2020.CSR3; 2022.CSR4; 2023.CSR4; 2024.CSR4,Fulfilled,2,09/29/2025,"Smart, sustainable and inclusive growth including economic cohesion, jobs, productivity, competitiveness, research, development and innovation, and a well-functioning internal market with strong SMEs | Social and territorial cohesion | No"
Austria,AT-C[C1]-I[1A2],Exchange of oil and gas heating systems,"The objective of the investment is to increase the share of heating systems based on renewable energy in residential buildings, and thus reduce heating-related energy consumption, greenhouse gas emissions and air pollution. 
The investment consists of a support scheme for private individuals to replace fossil-fuel heating system with biomass-based heaters, heat pumps or connectors to district heating.
The implementation of the measure shall be completed by 31 December 2022.",Investment,AT-C[C1]-I[1A2]-T[3],Replacement of heating systems,At least 6 360 projects of replacement of heating systems have been implemented and audited.,target,Grants,2021-Q4,-,Number,0,6360,2019.CSR3; 2020.CSR3; 2022.CSR4; 2023.CSR4; 2024.CSR4,Fulfilled,1,04/20/2023,"Green transition | Smart, sustainable and inclusive growth including economic cohesion, jobs, productivity, competitiveness, research, development and innovation, and a well-functioning internal market with strong SMEs | No"
Austria,AT-C[C1]-I[1A2],Exchange of oil and gas heating systems,"The objective of the investment is to increase the share of heating systems based on renewable energy in residential buildings, and thus reduce heating-related energy consumption, greenhouse gas emissions and air pollution. 
The investment consists of a support scheme for private individuals to replace fossil-fuel heating system with biomass-based heaters, heat pumps or connectors to district heating.
The implementation of the measure shall be completed by 31 December 2022.",Investment,AT-C[C1]-I[1A2]-T[5],Replacement of heating systems,At least 31 800 projects of replacement of heating systems have been implemented and audited.,target,Grants,2022-Q4,-,Number,6360,31800,2019.CSR3; 2020.CSR3; 2022.CSR4; 2023.CSR4; 2024.CSR4,Fulfilled,2,09/29/2025,"Green transition | Smart, sustainable and inclusive growth including economic cohesion, jobs, productivity, competitiveness, research, development and innovation, and a well-functioning internal market with strong SMEs | No"
Austria,AT-C[C1]-I[1A3],Combating energy poverty,"The objective of the investment is to contribute to a reduction in energy consumption in buildings. 
The investment consists of projects for thermal renovation or the exchange of heating systems in buildings used by social NPOs that contain dwellings for vulnerable people prone to energy poverty.",Investment,AT-C[C1]-I[1A3]-M[6],Determination of funding priorities,The Climate Ministry (BMK) has adopted and published the funding conditions and priorities in the funding guidelines of the support scheme for thermal renovation in buildings used by social NPOs that contain dwellings for vulnerable people prone to energy poverty. The funding guidelines shall ensure at least a 30% average reduction in primary energy consumption of the buildings to be renovated.,milestone,Grants,2022-Q1,Decision on funding guidelines to ensure at least a 30% average reduction in primary energy,-,-,-,2019.CSR3; 2020.CSR3; 2022.CSR4; 2023.CSR4; 2024.CSR4,Fulfilled,2,09/29/2025,Green transition | Social and territorial cohesion | No
Austria,AT-C[C1]-I[1A3],Combating energy poverty,"The objective of the investment is to contribute to a reduction in energy consumption in buildings. 
The investment consists of projects for thermal renovation or the exchange of heating systems in buildings used by social NPOs that contain dwellings for vulnerable people prone to energy poverty.",Investment,AT-C[C1]-I[1A3]-T[7],Thermal renovation projects approved,Thermal renovation of at least 480 dwellings approved by BMK under the support scheme.,target,Grants,2024-Q2,-,Number,0,480,2019.CSR3; 2020.CSR3; 2022.CSR4; 2023.CSR4; 2024.CSR4,Fulfilled,4,11/26/2025,Green transition | Social and territorial cohesion | No
Austria,AT-C[C1]-I[1A3],Combating energy poverty,"The objective of the investment is to contribute to a reduction in energy consumption in buildings. 
The investment consists of projects for thermal renovation or the exchange of heating systems in buildings used by social NPOs that contain dwellings for vulnerable people prone to energy poverty.",Investment,AT-C[C1]-I[1A3]-T[8],Submission of notification of completion,"The notification of completion shall be submitted for at least 39 projects in which thermal renovations and/or an exchange of heating systems have been carried out.
",target,Grants,2026-Q2,-,Number,0,39,2019.CSR3; 2020.CSR3; 2022.CSR4; 2023.CSR4; 2024.CSR4,Not Assessed,6,-,-
Austria,AT-C[C1]-R[1B1],Mobility Masterplan 2030,"The objective of this reform is to reduce CO₂-emissions in the transport sector.
The reform consists of the publication of strategic documents under the Mobility Masterplan and a reduction in carbon dioxide emissions in the domestic transport sector.",Reform,AT-C[C1]-R[1B1]-M[9],Implementation of the Mobility Masterplan has started,"The following strategic documents under the Mobility Masterplan have been published: The following strategic documents under the Mobility Masterplan have been published: 
- Fast-track renewable energy mobility programme
- Shared Mobility Strategy
- Freight Masterplan
- Masterplan Digital Transformation in Mobility
- FTI Mobility Strategy 2040
- FTI Aviation Strategy
In addition, a legislative package introducing a Climate Check for existing legislation for the mobility sector has been enacted and the Alpine Convention (Transport Protocol) has been implemented.",milestone,Grants,2023-Q3,Completion of several steps in the Mobility Masterplan,-,-,-,2019.CSR3; 2020.CSR3; 2022.CSR4; 2023.CSR4; 2024.CSR4,Fulfilled,3,09/29/2025,"Green transition | Smart, sustainable and inclusive growth including economic cohesion, jobs, productivity, competitiveness, research, development and innovation, and a well-functioning internal market with strong SMEs | No"
Austria,AT-C[C1]-R[1B1],Mobility Masterplan 2030,"The objective of this reform is to reduce CO₂-emissions in the transport sector.
The reform consists of the publication of strategic documents under the Mobility Masterplan and a reduction in carbon dioxide emissions in the domestic transport sector.",Reform,AT-C[C1]-R[1B1]-M[10],Reduction of CO₂ emissions in the domestic transport sector,Carbon dioxide emissions in the domestic transport sector shall not exceed 20 million tonnes of CO2eq in 2023 based on data from the European Environment Agency.,milestone,Grants,2025-Q3,Carbon dioxide emissions in the domestic transport sector,-,-,-,2019.CSR3; 2020.CSR3; 2022.CSR4; 2023.CSR4; 2024.CSR4,Not Assessed,5,-,-
Austria,AT-C[C1]-R[1B2],Introduction of 1-2-3 climate ticket,"The objective of this reform is to facilitate sustainable public transport between regions by creating a reasonably priced, simple and consistent ticketing offer.
The reform consists of developing a flat-rate season ticket, valid across regions in Austria, with the aim to lower the costs and incentivise the use of public transport.
The implementation of the measure is expected to start by 30 September 2021 and shall be completed by 31 December 2021 for the national and/or regional climate ticket category. All 1-2-3 tickets are expected to be available beyond 2021.",Reform,AT-C[C1]-R[1B2]-M[11],Entry into force of law,"The ‘Federal Act on the introduction of the climate ticket’ has entered into force. The law shall prescribe a general rule for setting maximum tariffs in accordance with EU Regulation No 1370/2007. The law shall define the territorial, traffic, personal and temporal scope, and the price of the 1-2-3 climate ticket.",milestone,Grants,2021-Q3,Provision in the law indicating the entry into force of the law on the introduction of the climate ticket,-,-,-,2019.CSR3; 2020.CSR3; 2022.CSR4; 2023.CSR4; 2024.CSR4,Fulfilled,1,04/20/2023,"Green transition | Smart, sustainable and inclusive growth including economic cohesion, jobs, productivity, competitiveness, research, development and innovation, and a well-functioning internal market with strong SMEs | No"
