"Country","Date","Budget Type","Payment Request Description","Amounts (€)"
"Greece","23/04/2026","Grants","7th Payment","8.84E+8"
"Greece","23/04/2026","Loans","7th Payment","2.94E+8"
"Slovenia","21/04/2026","Grants","5th Payment","2.31E+8"
"Croatia","30/03/2026","Grants","8th Payment","1.76E+8"
"Croatia","30/03/2026","Loans","8th Payment","7.20E+8"
"Czechia","20/03/2026","Grants","5th Payment","6.14E+8"
"Lithuania","20/03/2026","Grants","4th Payment (Part 2)","5.05E+7"
"Netherlands","20/03/2026","Grants","3rd Payment","5.51E+8"
"Cyprus","12/03/2026","Grants","5th Payment","2.12E+7"
"Lithuania","27/02/2026","Loans","5th Payment","3.60E+8"
"Portugal","27/02/2026","Grants","8th Payment","8.29E+8"
"Portugal","27/02/2026","Loans","8th Payment","2.86E+8"
"Denmark","22/01/2026","Grants","4th Payment","1.75E+8"
"Lithuania","14/01/2026","Grants","4th Payment","4.64E+8"
"Bulgaria","30/12/2025","Grants","3rd Payment","1.47E+9"
"Croatia","30/12/2025","Grants","7th Payment","6.04E+8"
"Croatia","30/12/2025","Loans","7th Payment","4.66E+8"
"Italy","30/12/2025","Grants","8th Payment","3.06E+9"
"Italy","30/12/2025","Loans","8th Payment","9.73E+9"
"Finland","22/12/2025","Grants","3rd Payment","2.45E+8"
"Czechia","03/12/2025","Grants","3rd Payment (Part 2)","1.85E+8"
"Poland","01/12/2025","Grants","3rd Payment","2.22E+9"
"Poland","01/12/2025","Loans","3rd Payment","3.95E+9"
"Austria","26/11/2025","Grants","3rd Payment","5.15E+8"
"Greece","26/11/2025","Grants","6th Payment","2.11E+9"
"Portugal","26/11/2025","Grants","7th Payment","1.06E+9"
"Slovenia","26/11/2025","Grants","4th Payment","4.00E+8"
"Slovenia","26/11/2025","Loans","4th Payment","3.96E+7"
"Bulgaria","11/11/2025","Grants","2nd Payment","4.39E+8"
"Ireland","11/11/2025","Grants","3rd Payment","2.40E+8"
"Austria","29/09/2025","Grants","2nd Payment","1.62E+9"
"Belgium","29/09/2025","Grants","3rd Payment","5.94E+8"
"Belgium","29/09/2025","Loans","3rd Payment","2.01E+7"
"Croatia","29/09/2025","Grants","6th Payment","4.37E+8"
"Croatia","29/09/2025","Loans","6th Payment","3.99E+8"
"Czechia","26/09/2025","Grants","4th Payment","1.57E+9"
"Czechia","26/09/2025","Loans","4th Payment","4.14E+7"
"Cyprus","08/08/2025","Grants","4th Payment","7.59E+7"
"Italy","08/08/2025","Grants","7th Payment","4.58E+9"
"Italy","08/08/2025","Loans","7th Payment","1.37E+10"
"Malta","08/08/2025","Grants","3rd Payment","4.87E+7"
"Portugal","08/08/2025","Grants","6th Payment","8.51E+8"
"Portugal","08/08/2025","Loans","6th Payment","4.85E+8"
"Spain","08/08/2025","Grants","5th Payment","6.99E+9"
"Spain","08/08/2025","Grants","4th Payment (Part 2)","1.39E+8"
"Spain","08/08/2025","Loans","5th Payment","1.59E+10"
"Cyprus","01/08/2025","Grants","2nd Payment (Part 2)","3.72E+7"
"Sweden","18/07/2025","Grants","1st Payment","1.65E+9"
"Slovakia","10/07/2025","Grants","5th Payment","4.92E+8"
"Ireland","30/06/2025","Grants","2nd Payment","1.16E+8"
"Luxembourg","17/06/2025","Grants","2nd Payment","5.78E+7"
"Romania","10/06/2025","Grants","3rd Payment","6.22E+8"
