"Country","Recipient","Identification number <br/>(for legal persons)","Associated measure(s)","Amounts (€)","Recipient List Measure Descriptions"
"Austria","ÖBB-Infrastruktur Aktiengesellschaft","R009Y677W","• Construction of new railways","5.38E+8","The objective of this investment is to expand the Trans-European Network along the Baltic-Adriatic Core-Network Corridor and the intra-regional connectivity in Austria through public transport.
The investment consists of works on projects and project segments on the Koralm railway between Styria and Carinthia including the related infrastructure."
"Austria","Bundesministerium für Bildung","R017I568M","• Digitalisation fund public administration, 
• Provision of digital end-user devices to schools","1.33E+8","The investment aims to contribute to developing citizen-centred service-oriented administration with a modern digital infrastructure. The objective is to accelerate digitalisation in the federal administration by financing projects with a cross-departmental impact. There is currently an increased need for consolidation in the IT landscape of the Austrian federal administration, which is very heterogeneous. Departments often use different data centres, software and hardware and service providers. The investment shall help address those issues by implementing IT consolidation in the federal government, develop IT services for citizens and businesses, and optimise procedures._x000D_
The investment consists of funding the projects submitted by federal departments and selected by the dedicated task force. At least half of these funds shall be used for cross-departmental projects to implement IT consolidation in the federal government. The other funds shall be used for projects with a cross-departmental impact for the development of citizen and business services and for projects aimed at accelerating and improving the efficiency of procedures. Examples of possible projects include electronic identity (e-ID), introduction of Single Digital Gateway, development of the Business Service Portal and implementation of the Once Only principle. _x000D_
The investment shall be implemented by 31 December 2023.|The objective of the investment is to support a digital learning environment for pupils by providing access to digital devices. 
The measure consists of delivering digital devices to schools."
"Austria","Bundeskanzleramt","R017Z3933","• Digitalisation fund public administration","6.79E+7","The investment aims to contribute to developing citizen-centred service-oriented administration with a modern digital infrastructure. The objective is to accelerate digitalisation in the federal administration by financing projects with a cross-departmental impact. There is currently an increased need for consolidation in the IT landscape of the Austrian federal administration, which is very heterogeneous. Departments often use different data centres, software and hardware and service providers. The investment shall help address those issues by implementing IT consolidation in the federal government, develop IT services for citizens and businesses, and optimise procedures._x000D_
The investment consists of funding the projects submitted by federal departments and selected by the dedicated task force. At least half of these funds shall be used for cross-departmental projects to implement IT consolidation in the federal government. The other funds shall be used for projects with a cross-departmental impact for the development of citizen and business services and for projects aimed at accelerating and improving the efficiency of procedures. Examples of possible projects include electronic identity (e-ID), introduction of Single Digital Gateway, development of the Business Service Portal and implementation of the Once Only principle. _x000D_
The investment shall be implemented by 31 December 2023."
"Austria","Wiener Gesundheitsverbund","R104I1320","• Austrian Institute of Precision Medicine","5.77E+7","The objective of this investment is to establish a centre for precision medicine on the campus of the Medical University of Vienna. 
The investment consists of the construction of a building for this research centre."
"Austria","A1 Open Fiber GmbH","R134L748D","• Widespread availability of Gigabit capable access networks and creation of new symmetric Gigabit connections","4.53E+7","The objective of this investment is to increase broadband availability in those areas of Austria, which, due to a market failure, are not or are insufficiently covered by the private sector. 
The investment consists of supporting at least 250 projects providing Gigabit-capable access to at least 80 000 households."
"Austria","Infineon Technologies Austria AG","R012H059Y","• IPCEI Microelectronics and Connectivity, 
• Zero-emission utility vehicles","3.37E+7","The objective of the investment is to increase Europe’s open strategic autonomy by supporting areas within the sector of microelectronics, as well as to develop more energy-efficient solutions, thus contributing to the achievement of climate objectives.
The investment consists of a call for expression of interest, selection of projects, and funding the approved projects in the areas of microelectronics and connectivity.|The objective of this investment is to lower the emissions from transport by increasing the share of zero-emission commercial vehicles.
The investment consists of funding for commercial vehicles equipped with full electric or hydrogen technology."
"Austria","Universität Innsbruck","R017F168S","• (Digital) Research Infrastructures, 
• Biodiversity fund, 
• Digitalisation wave cultural heritage, 
• Funding of primary health care projects, 
• Quantum Austria — Promotion of Quantum Sciences","3.22E+7","The objective of this measure is to strategically develop research infrastructure as an important field of action of the Austrian Research, Technology and Innovation Strategy (RTI) 2030.
The investment consists of funding of (digital) research infrastructure projects for the Austrian universities.|The objective of this investment is to support the preservation and restoration of biodiversity in Austria.
The investment consists of establishing a biodiversity fund, to support projects for the conservation of biodiversity, restoration of degraded ecosystems, awareness raising activities and for biodiversity monitoring.|The objective of the investment is to launch a large digitalisation wave in cultural institutions. 
The investment consists of an update of the platform ‘Kulturpool’and a cultural and art objects digitalisation programme.|The objective of the measure is to expand primary health care units in Austria. 
The investment consists of funding projects related to primary health care, including new primary healthcare units.|The objective of this investment is to facilitate future-oriented and transformative basic and advanced research.
The investment consists of funding research infrastructures and research collaborations for quantum computing, simulation, and communication."
"Austria","Technische Universität Wien","R017R657G","• (Digital) Research Infrastructures, 
• Quantum Austria — Promotion of Quantum Sciences","3.06E+7","The objective of this measure is to strategically develop research infrastructure as an important field of action of the Austrian Research, Technology and Innovation Strategy (RTI) 2030.
The investment consists of funding of (digital) research infrastructure projects for the Austrian universities.|The objective of this investment is to facilitate future-oriented and transformative basic and advanced research.
The investment consists of funding research infrastructures and research collaborations for quantum computing, simulation, and communication."
"Austria","nöGIG Phase Zwei GmbH","R119A123L","• Widespread availability of Gigabit capable access networks and creation of new symmetric Gigabit connections","2.77E+7","The objective of this investment is to increase broadband availability in those areas of Austria, which, due to a market failure, are not or are insufficiently covered by the private sector. 
The investment consists of supporting at least 250 projects providing Gigabit-capable access to at least 80 000 households."
"Austria","Österreichische Post Aktiengesellschaft","R009Y236C","• Zero-emission utility vehicles","2.48E+7","The objective of this investment is to lower the emissions from transport by increasing the share of zero-emission commercial vehicles.
The investment consists of funding for commercial vehicles equipped with full electric or hydrogen technology."
