Operation_Unique_Identifier,Operation_Local_Identifier,Operation_Name_English,Operation_Name_Programme_Language,Country,Operation_Start_Date,Operation_End_Date,Cofinancing_Rate,Total_Eligible_Expenditure_amount,Total_Eligible_Expenditure_Currency,Project_EU_Budget,Beneficiary_Unique_Identifier,Location_Indicator_latitude_longitude,Category_Of_Intervention,Category_Label,Thematic_Objective_ID,Thematic_Objective_Label,Policy_Objective_ID,Policy_Objective_Label,Specific_Objective_ID,Specific_Objective_Label,Fund_Code,Fund_Name,Programme_Code,Programme_Name,Postal_Code,LAU_IDs,LAU_Labels,NUTS1_Label,NUTS2_Label,NUTS3_Label,NUTS1_Code,NUTS2_Code,NUTS3_Code,Programming_Period,Operation_Summary_English,Operation_Summary_Programme_Language,ManagingAuthority,Image_URL,InfoRegio_ID,InfoRegio_URL,CountryCode
https://linkedopendata.eu/entity/Q7500632,2021AT05FFPR001_51,Basic education at the Volkshochschule Salzburg,Basisbildung an der Volkshochschule Salzburg,Austria,01/07/2023,30/06/2025,40.0,144920.0,EUR,57968.0,https://linkedopendata.eu/entity/Q7500241,"47.8094804,13.0306566",151,Support for adult education (excluding infrastructure),,,PO04,Social Europe,ESO4.7,ESO4.7,ESF+,European Social Fund Plus,2021AT05FFPR001,Employment - AT - ESF+/JTF,,AT_50101,Salzburg,,,Salzburg und Umgebung,,,AT323,2021-2027,"The basic education courses are aimed at all people with basic education needs (educationally disadvantaged, low-skilled people; persons with a migrant background and persons at risk of marginalisation; socially and regionally disadvantaged persons; Re-entry: female; the elderly). The participants are supported in adult-friendly settings according to their needs in their learning processes.","Die Basisbildungskurse richten sich an alle Menschen mit Basisbildungbedarf (Bildungsbenachteiligte, niedrigqualifizierte Personen; Personen mit Migrationshintergrund sowie von Marginalisierung bedrohte Personen; sozial und regional benachteiligte Personen; Wiedereinsteiger:innen; ältere Personen). Die Teilnehmer:innen werden in erwachsenengerechten Settings entsprechend ihrer Bedürfnislagen in ihren Lernprozessen untersützt.",,,,,AT
https://linkedopendata.eu/entity/Q7500999,2021AT16FFPR001_1DAAEB_00256,Spielberg production campus,Produktionscampus Spielberg,Austria,20/12/2024,30/11/2025,22.5,3089964.99,EUR,695242.15,https://linkedopendata.eu/entity/Q7500491,"47.201366,14.7920881",002|021,"Investment in fixed assets, including research infrastructure, in small and medium-sized enterprises (including private research centres) directly linked to research and innovation activities|SME business development and internationalisation, including productive investments",,,PO08,Just Transition,JTF,JTF,JTF,Just Transition Fund,2021AT16FFPR001,Investments in employment and growth 2021-27 – AT – ERDF/JTF,,AT_62047,Spielberg,,,Westliche Obersteiermark,,,AT226,2021-2027,"ecomaster technology gmbh is building a new plant at the Spielberg site (consisting of a hall and an office building) and will start the production of transfer stations, transformer stations, district storage and switchgear and power distribution cabinets.","Die ecomaster technology gmbh errichtet am Standort Spielberg eine neue Betriebsstätte (bestehend aus Halle und Bürogebäude) und wird in dieser die Produktion von Übergabestationen, Trafostationen, Quartierspeicher und Schalt- sowie Energieverteilschränke aufnehmen.",,,,,AT
https://linkedopendata.eu/entity/Q7500933,2021AT16FFPR001_1DAADA_00292,JTF creates future space Salzkammergut Nord,JTF schafft Zukunftsraum Salzkammergut Nord,Austria,01/04/2025,31/03/2028,90.0,507586.33,EUR,456827.7,https://linkedopendata.eu/entity/Q7500448,"47.9263524,13.8172573",025|029|046,"Incubation, support to spin offs and spin outs and start ups|Research and innovation processes, technology transfer and cooperation between enterprises, research centres and universities, focusing on the low carbon economy, resilience and adaptation to climate change|Support to entities that provide services contributing to the low carbon economy and to resilience to climate change, including awareness-raising measures",,,PO08,Just Transition,JTF,JTF,JTF,Just Transition Fund,2021AT16FFPR001,Investments in employment and growth 2021-27 – AT – ERDF/JTF,,AT_40705,Gmunden,,,Traunviertel,,,AT315,2021-2027,"Enable more companies in the region to implement research and innovation projects. In addition to regional needs, the focus is on digital and green transformation. Another important aspect is the possibilities of artificial intelligence. Support more companies in unlocking their existing and new potential for resource-efficient and energy-saving or circular economy principles. • Build regional start-up services and communities and make them accessible in a low-threshold manner. The focus is on green and transformative business models. • Start-up/EPU meets vacancy – targeted networking of vacancy owners and motivated start-ups and EPUs is intended to attract and reactivate existing vacancy. The main topics in the Salzkammergut Nord region are artificial intelligence, circular economy, measures for CO2 reduction, digitization.","Mehr Unternehmen in der Region befähigen, Forschungs- und Innovationsprojekte umzusetzen. Neben den regionalen Bedarfen liegt der Fokus auf der digitalen und grünen Transformation. Wesentlicher Aspekt sind auch die Möglichkeiten der künstlichen Intelligenz. Mehr Unternehmen dabei unterstützen, ihre vorhandenen und neuen Potenziale für ressourceneffizientes u. energieschonendes bzw. nach Prinzipien der Kreislaufwirtschaft, organisiertes Wirtschaften zu erschließen. • Regionale Start-Up Services und Communities aufbauen und niederschwellig zugänglich machen. Der Fokus liegt dabei auf grünen und transformativen Geschäftsmodellen. • Start-up/EPU trifft Leerstand – durch eine gezielte Vernetzung der Leerstandsbesitzer und motivierter Start-ups und EPUs sollen vorhandene Leerstände wieder attraktiviert und aktiviert werden. Themenschwerpunkte in der Region Salzkammergut Nord bilden die Bereiche Künstliche Intelligenz, Kreislaufwirtschaft, Maßnahmen zur CO2 Reduktion, Digitalisierung.",,,,,AT
https://linkedopendata.eu/entity/Q7500699,2021AT05FFPR001_189,Continue learning with the School Success Association,weiterlernen mit dem Verein Schulerfolg,Austria,07/02/2024,31/12/2026,40.0,709735.78,EUR,283894.31,https://linkedopendata.eu/entity/Q7500306,"48.1912538,16.3999098",134|149,Measures to improve access to employment|Support for primary to secondary education (excluding infrastructure),,,PO04,Social Europe,ESO4.6,ESO4.6,ESF+,European Social Fund Plus,2021AT05FFPR001,Employment - AT - ESF+/JTF,,AT_90001,Wien,,Vienna,Vienna,,AT13|AT130,AT13|AT130,2021-2027,"continue learning with the school success association VEREIN SCHULERFOLGMag. DDr. Stefan UnterbergerOur goal is to make parents competent companions of their children in school issues and learning. We are aware that family origin has a great influence on a child's educational path and therefore want to support families who are disadvantaged for different reasons. Through our multilingual team with an international background, we offer learning support, individual and group discussions. Parents get to know practical opportunities or exchange ideas with other people involved, such as teachers or social workers. Through regular contacts between all parties involved, we build bridges of trust. We are also happy to accept invitations from families to get to know their family situation better and thus promote the networking of children and their families with the school. The target group of our project is children of compulsory school age and their parents – especially those who have had little experience in the education system or are disadvantaged by language barriers or social inequalities. A successful cooperation between family and school contributes to this. We offer family counselling on school, education and lifestyle issues, whether through individual or group meetings. Meetings can be held on the phone, via video call or in person, including at home. Our accompanying translation into Arabic, BKS, Dari, Farsi, Urdu, Hindi, Pashto, Turkish and English facilitates communication between child, parents and teachers. The association SCHULERFOLG wants to help ensure that all children, regardless of their family's social status, have a fair chance at education.","weiterlernen mit dem Verein Schulerfolg VEREIN SCHULERFOLGMag. DDr. Stefan UnterbergerUnser Ziel ist es, Eltern zu kompetenten Begleitern ihrer Kinder in schulischen Fragen und beim Lernen zu machen. Wir sind uns bewusst, dass die familiäre Herkunft einen großen Einfluss auf den Bildungsweg eines Kindes hat und wollen daher Familien unterstützen, die aus unterschiedlichen Gründen benachteiligt sind. Durch unser mehrsprachiges Team mit internationalem Hintergrund bieten wir Lernunterstützung, Einzel- und Gruppengespräche an. Dabei lernen Eltern praxisnahe Möglichkeiten kennen oder tauschen sich mit anderen beteiligten Personen wie Lehrpersonen oder Sozialarbeiter:innen aus. Durch regelmäßige Kontakte zwischen allen Beteiligten bauen wir Brücken des Vertrauens auf. Wir nehmen gerne auch Einladungen von Familien an, um ihre familiäre Situation besser kennenzulernen und fördern dadurch die Vernetzung der Kinder und ihrer Familien mit der Schule. Die Zielgruppe unseres Projekts sind Kinder im Pflichtschulalter und ihre Eltern – insbesondere solche, die kaum Erfahrungen im Bildungssystem gemacht haben bzw. durch sprachliche Hürden oder soziale Ungleichheiten benachteiligt werden. Eine gelingende Kooperation zwischen Familie und Schule trägt dazu bei. Wir bieten Familien Beratung in Fragen zu Schule, Erziehung und Lebensstil an, sei es durch Einzel- oder Gruppentreffen. Die Treffen können am Telefon, per Video-Call oder auch persönlich stattfinden – gerne auch bei den Familien zu Hause. Unsere begleitende Übersetzung in Arabisch, BKS, Dari, Farsi, Urdu, Hindi, Paschtu, Türkisch und Englisch erleichtert die Kommunikation zwischen Kind, Eltern und Lehrpersonen. Der Verein SCHULERFOLG möchte dazu beitragen, dass alle Kinder unabhängig vom sozialen Status ihrer Familie eine faire Chance auf Bildung bekommen.",,,,,AT
https://linkedopendata.eu/entity/Q7500704,2021AT05FFPR001_341,Computer courses 2024 in Güssing,EDV-Kurse 2024 in Güssing,Austria,20/09/2023,30/06/2025,60.0,29920.8,EUR,17952.48,https://linkedopendata.eu/entity/Q7500233,"47.0803997,16.3201628",163,"Promoting social integration of people at risk of poverty or social exclusion, including the most deprived and children",,,PO04,Social Europe,ESO4.8,ESO4.8,ESF+,European Social Fund Plus,2021AT05FFPR001,Employment - AT - ESF+/JTF,,AT_10405,Güssing,,,Südburgenland,,,AT113,2021-2027,"The training measures for unemployed persons in the field of IT are indexed in terms of labour market policy and will be implemented in 2024. Participants should enter the IT course via an information day. Based on a testing, an individual training plan is created with a support plan tailored to the participant. As part of the start - the first day of the course - the potential participants will receive basic information on the subject. Content, procedure and objective of the measures and take an online classification test for the respective IT training topic. On the basis of the computer skills collected in this way, the participants are allocated to one of the modules available for selection. At the beginning of each IT course, an information day with a clearing (testing) should take place. Here, the individual needs of the participants are checked and a personal training plan is drawn up.","Die Ausbildungsmaßnahmen für arbeitslose Personen aus dem Bereich EDV sind arbeitsmarktpolitisch indiziert und werden im Jahr 2024 umgesetzt. Die TeilnehmerInnen sollen über einen Infotag in den EDV-Kurs einsteigen. Aufgrund eines Testings wird ein individueller Schulungsplan mit auf den/die Teilnehmer/in abgestimmter Betreuungsplan erstellt. Nachbesetzungen sind jederzeit möglich Im Zuge des Einstieges - erster Kurstag - erhalten die potentiellen TeilnehmerInnen grundlegende Informationen bzgl. Inhalte, Ablauf und Zielsetzung der Maßnahmen und absolvieren einen Online-Einstufungstest für das jeweilige EDV-Ausbildungsthema. Auf Basis der so erhobenen EDV-Kompetenzen wird eine Zuteilung der TeilnehmerInnen in eines der zur Auswahl stehenden Module vorgenommen. Am Beginn jedes EDV-Kurses soll ein Infotag mit einem Clearing (Testing) stattfinden. Hier wird der individuelle Bedarf der TeilnehmerInnen überprüft und ein persönlicher Schulungsplan erstellt.",,,,,AT
https://linkedopendata.eu/entity/Q7500962,2021AT16FFPR001_1ABAFA_00008,Machine investment for process innovation and more sustainable production,Maschineninvestition für Prozessinnovation und nachhaltigere Produktion,Austria,29/09/2022,30/09/2024,12.0,10327889.28,EUR,1239346.69,https://linkedopendata.eu/entity/Q7500467,"47.1534901,15.6714049",002|021|075,"Investment in fixed assets, including research infrastructure, in small and medium-sized enterprises (including private research centres) directly linked to research and innovation activities|SME business development and internationalisation, including productive investments|Support to environmentally-friendly production processes and resource efficiency in SMEs",,,PO01,Smarter Europe,RSO1.3,RSO1.3,ERDF,European Regional Development Fund,2021AT16FFPR001,Investments in employment and growth 2021-27 – AT – ERDF/JTF,,AT_61765,Sankt Ruprecht an der Raab,,,Oststeiermark,,,AT224,2021-2027,"K Print Produktions GmbH is creating new machines at the Sankt Ruprecht an der Raab site. Among other things, these are intended to increase the quality of the printed products, increase capacities and revenues, reduce stand times and set-up times and reduce energy consumption.","Die K Print Produktions GmbH schafft am Standort Sankt Ruprecht an der Raab neue Maschinen an. Durch diese sollen u. A. die Qualität der Druckerzeugnisse erhöht, die Kapazitäten und die Erlöse gesteigert, Steh- sowie Rüstzeiten reduziert und Energieverbrauch gesenkt werden.",,,,,AT
https://linkedopendata.eu/entity/Q7500655,2021AT05FFPR001_229,"TrainingFit STEP 4 + Pre-module STEP UP/Salzburg Country: Pongau, Lungau, Tennengau","AusbildungsFit STEP 4 + Vormodul STEP UP/Salzburg Land: Pongau, Lungau, Tennengau",Austria,01/01/2023,31/12/2024,40.0,1594632.89,EUR,637853.15,https://linkedopendata.eu/entity/Q7500283,"47.4153552,13.2199097",134,Measures to improve access to employment,,,PO04,Social Europe,ESO4.6,ESO4.6,ESF+,European Social Fund Plus,2021AT05FFPR001,Employment - AT - ESF+/JTF,5500.0,AT_50404,Bischofshofen,,,Pinzgau-Pongau,,,AT322,2021-2027,"Individual skills development of young people to promote integration in education and training that follows compulsory schooling for specific groups of young people, in particular young people with disabilities, young people with a migrant background and/or NEETs.","Individuelle Kompetenzentwicklung von Jugendlichen zur Förderung der Integration in Ausbildungen, die an Pflichtschule anschließen für spezifische Gruppen von Jugendlichen, insbesondere Jugendliche mit Beeinträchtigungen, Jugendliche mit Migrationshintergrund und/oder NEETs.",,,,,AT
https://linkedopendata.eu/entity/Q7500734,2021AT05FFPR001_244,TrainingFit NEXT LEVEL Steyr (+ Pre-module),AusbildungsFit NEXT LEVEL Steyr (+ Vormodul),Austria,01/01/2023,31/12/2024,40.0,1542212.09,EUR,616884.83,https://linkedopendata.eu/entity/Q7500322,"48.0409224,14.4189552",134,Measures to improve access to employment,,,PO04,Social Europe,ESO4.6,ESO4.6,ESF+,European Social Fund Plus,2021AT05FFPR001,Employment - AT - ESF+/JTF,4400.0,AT_40201,Steyr,,,Steyr-Kirchdorf,,,AT314,2021-2027,"In BildungsFit, young people and young adults between the ages of 15 and 24 are prepared for the next individual training step.By promoting participants in the field of social skills and cultural techniques, including new media, the individual training maturity is to be achieved and thus the exclusion of individuals at the transition from school to work or training is to be countered. The pre-module provides particularly low-threshold access to the target group and makes it easy to get started with AFit.",In AusbildungsFit werden Jugendliche und junge Erwachsenen zwischen 15 und 24 Jahren auf den individuellen nächsten Ausbildungsschritt vorbereitet.Durch Förderung der Teilnehmer:innen im Bereich der sozialen Kompetenzen und Kulturtechniken inkl. neue Medien soll die individuelle Ausbildungsreife erlangt werden und damit der Ausgrenzung einzelner am Übergang von Schule zu Beruf bzw. Ausbildung entgegengewirkt werden. Das Vormodul stellt einen besonders niederschwelligen Zugang zur Zielgruppe dar und ermöglicht den einfachen Einstieg in AFit.,,,,,AT
https://linkedopendata.eu/entity/Q7500581,2021AT05FFPR001_255,youngFBZ vocational centre for young women in the Wels and Wels-Land region,youngFBZ-Berufszentrum für junge Frauen in der Region Wels und Wels-Land,Austria,01/09/2024,31/08/2027,40.0,899714.34,EUR,359885.73,https://linkedopendata.eu/entity/Q7500236,"48.1593841,14.0223804",142,Measures to promote women’s labour market participation and reduce gender-based segregation in the labour market,,,PO04,Social Europe,ESO4.3,ESO4.3,ESF+,European Social Fund Plus,2021AT05FFPR001,Employment - AT - ESF+/JTF,,AT_40301,Wels,,,Linz-Wels,,,AT312,2021-2027,"The young FBZ – Vocational Centre for Young Women in the Wels and Wels-Land region supports young women who meet the call’s target group requirement in developing prospects for their (first) careers. The objectives are to sustainably improve the employment and income situation by supporting gender-open career selection processes, future-oriented qualification, application processes, preparation for admission tests, information on the consequences of career breaks and part-time work, career counselling and qualification measures. The self-confidence of the customers is strengthened by competence consulting. The advice and support includes: * Clearing discussions to clarify the formal criteria and drafting an advisory agreement; * Career and training counselling as individual counselling in combination with participation in the young FBZ workshop group (over 12 weeks with possibility of extension) or individual counselling in combination with the competence workshops and the possibility of in-depth workshops (up to 12 weeks) * follow-up support for support during the transition to work, education or further training * open women's space information meeting, as a space for exchange, for getting to know regional (consultation) offers and for information on cross-cutting topics * outreach counselling in order to reach women who are far from the labour market * Company work in the region for networking with the regional labour market and targeted support of customers in the qualification and job search Migration and culture-specific experiences are taken into account in an appreciative way. The young FBZ actively contributes to anti-discrimination and equality and raises awareness of labour market opportunities in the environmental sector. Quality assurance and networking play an important role in project implementation. The project runs from 01.09.24 to 31.08.27, with a planned participation of 250 customers. An extension option is feasible.","Das young FBZ – Berufszentrum für junge Frauen in der Region Wels und Wels-Land unterstützt junge Frauen, die der Zielgruppenanforderung des Calls entsprechen, bei der Entwicklung von Perspektiven für ihre berufliche (Erst-)Laufbahn. Ziele sind die nachhaltige Verbesserung der Beschäftigungs- und Einkommenssituation durch Unterstützung bei geschlechtsoffenen Berufswahlprozessen, zukunftsorientierter Qualifizierung, Bewerbungsprozessen, der Vorbereitung für Aufnahmetests, Information über die Folgen von Erwerbsunterbrechungen und Teilzeitarbeit, Karriereberatung sowie Qualifizierungsmaßnahmen. Das Selbstbewusstsein der Kundinnen wird durch Kompetenzberatung gestärkt. Die Beratung und Betreuung umfasst: * Clearinggespräche zur Klärung der Formalkriterien und Erstellung einer Beratungsvereinbarung; * Laufbahn- und Ausbildungsberatung als Einzelberatung in Kombination mit der Teilnahme an der young FBZ Workshopgruppe (über 12 Wochen mit Verlängerungsmöglichkeit) oder Einzelberatung in Kombination mit den Kompetenzworkshops und der Möglichkeit zu Vertiefungsworkshops (bis zu 12 Wochen) * Nachbetreuung zur Unterstützung beim Übergang in Arbeit, Aus- oder Weiterbildung * offener Frauenraum-Infotreff, als Raum für Austausch, zum Kennenlernen regionaler (Beratungs-)Angebote und zur Information über Querschnittsthemen * aufsuchende Beratung, um arbeitsmarktferne Frauen zu erreichen * Betriebsarbeit in der Region zur Vernetzung mit dem regionalen Arbeitsmarkt und gezielten Unterstützung der Kundinnen bei der Qualifizierungs- und Arbeitssuche Migrations- und kulturspezifische Erfahrungen werden wertschätzend berücksichtigt. Das young FBZ trägt aktiv zur Antidiskriminierung und Gleichstellung bei und sensibilisiert für Arbeitsmarktchancen im Umweltsektor. Qualitätssicherung und Netzwerkarbeit kommt bei der Projektumsetzung eine wichtige Rolle zu. Das Projekt läuft von 01.09.24 bis 31.08.27, mit einer geplanten Teilnahme von 250 Kundinnen. Eine Verlängerungsmöglichkeit ist umsetzbar.",,,,,AT
https://linkedopendata.eu/entity/Q7500865,2021AT16FFPR001_1ABAAB_00145,Construction of an additional company building and purchase of a double bending machine,Errichtung eines zusätzlichen Betriebsgebäudes und Anschaffung einer Doppelbiegemaschine,Austria,10/07/2024,31/12/2025,15.99,16637799.67,EUR,2659954.4,https://linkedopendata.eu/entity/Q7500398,"48.0366056,16.4843024",021,"SME business development and internationalisation, including productive investments",,,PO01,Smarter Europe,RSO1.3,RSO1.3,ERDF,European Regional Development Fund,2021AT16FFPR001,Investments in employment and growth 2021-27 – AT – ERDF/JTF,,AT_30731,Gramatneusiedl,,,Wiener Umland/Südteil,,,AT127,2021-2027,"For the establishment of new products, a double bending machine is purchased. Since the existing production hall no longer offers space for additional machines, an extension is required. For this purpose, a new hall with an area of approximately 1,773 m2 will be built. This not only provides space for the new production machine, but also additional storage space for raw materials and finished products.","Für die Etablierung neuer Produkte wird eine Doppelbiegemaschine angeschafft. Da die vorhandene Produktionshalle keinen Platz mehr für zusätzliche Maschinen bietet, ist eine Erweiterung erforderlich. Zu diesem Zweck wird eine neue Halle mit einer Fläche von etwa 1.773 m² errichtet. Diese bietet nicht nur Raum für die neue Produktionsmaschine, sondern auch zusätzlichen Lagerplatz für Rohmaterialien und fertige Produkte.",,,,,AT
