Operation_Unique_Identifier,Operation_Local_Identifier,Operation_Name_English,Operation_Name_Programme_Language,Country,Operation_Start_Date,Operation_End_Date,Cofinancing_Rate,Total_Eligible_Expenditure_amount,Total_Eligible_Expenditure_Currency,Project_EU_Budget,Beneficiary_Unique_Identifier,Location_Indicator_latitude_longitude,Category_Of_Intervention,Category_Label,Thematic_Objective_ID,Thematic_Objective_Label,Policy_Objective_ID,Policy_Objective_Label,Specific_Objective_ID,Specific_Objective_Label,Fund_Code,Fund_Name,Programme_Code,Programme_Name,Postal_Code,LAU_IDs,LAU_Labels,NUTS1_Label,NUTS2_Label,NUTS3_Label,NUTS1_Code,NUTS2_Code,NUTS3_Code,Programming_Period,Operation_Summary_English,Operation_Summary_Programme_Language,ManagingAuthority,Image_URL,InfoRegio_ID,InfoRegio_URL,CountryCode
https://linkedopendata.eu/entity/Q7520863,2021CY16FFPR001_4239,09.41.034.008.001.003.255.005 - AGECARE (CYPRUS) LTD,09.41.034.008.001.003.255.005 - AGECARE (CYPRUS) LTD,Cyprus,12/04/2021,11/04/2022,60.0,8600.0,EUR,5160.0,https://linkedopendata.eu/entity/Q7515687,"35.0995648,33.3815988",134,Measures to improve access to employment,,,PO04,Social Europe,ESO4.1,ESO4.1,ESF+,European Social Fund Plus,2021CY16FFPR001,THALIA – CY – CF/ERDF/ESF+/JTF,,CY_1023,Latsia or Lakkia,,,Cyprus,,,CY000,2021-2027,Employment of the unemployed,Εργοδότηση Ανέργου,,,,,CY
https://linkedopendata.eu/entity/Q7522360,2021CY16FFPR001_5764,09.41.034.006.002.009.002.191.003 - MILK INDUSTRY CALLS FOR LTD.,09.41.034.006.002.009.002.191.003 - ΒΙΟΜΗΧΑΝΙΑ ΓΑΛΑΚΤΟΣ ΖΗΤΑ ΛΤΔ.,Cyprus,15/12/2020,14/12/2021,60.0,8600.0,EUR,5160.0,https://linkedopendata.eu/entity/Q7516574,"34.7743988,32.4231586",136,Specific support for youth employment and socio-economic integration of young people,,,PO04,Social Europe,ESO4.1,ESO4.1,ESF+,European Social Fund Plus,2021CY16FFPR001,THALIA – CY – CF/ERDF/ESF+/JTF,,CY_6000,Pafos,,,Cyprus,,,CY000,2021-2027,Employment of the unemployed,Εργοδότηση Ανέργου,,,,,CY
https://linkedopendata.eu/entity/Q7518983,2021CY16FFPR001_11041,Aid for the creation of a new business.,Ενίσχυση για τη δημιουργία νέας επιχείρησης.,Cyprus,25/06/2021,14/10/2024,60.0,81716.0,EUR,49029.6,https://linkedopendata.eu/entity/Q7514306,"34.6852901,33.0332657",136,Specific support for youth employment and socio-economic integration of young people,,,PO04,Social Europe,ESO4.1,ESO4.1,ESF+,European Social Fund Plus,2021CY16FFPR001,THALIA – CY – CF/ERDF/ESF+/JTF,,CY_5000,Lemesos,,,Cyprus,,,CY000,2021-2027,Private Dentistry,Ιδιωτικό Οδοντιατρείο,,,,,CY
https://linkedopendata.eu/entity/Q7519555,2021CY16FFPR001_2926,09.41.034.008.001.003.286.001 - WEAREQIIWI INTERNATIONAL LTD,09.41.034.008.001.003.286.001 - WEARΕQIIWI INTERNATIONAL LTD,Cyprus,26/11/2020,25/11/2021,60.0,8600.0,EUR,5160.0,https://linkedopendata.eu/entity/Q7514792,"35.0995648,33.3815988",134,Measures to improve access to employment,,,PO04,Social Europe,ESO4.1,ESO4.1,ESF+,European Social Fund Plus,2021CY16FFPR001,THALIA – CY – CF/ERDF/ESF+/JTF,,CY_1023,Latsia or Lakkia,,,Cyprus,,,CY000,2021-2027,Employment of the unemployed,Εργοδότηση Ανέργου,,,,,CY
https://linkedopendata.eu/entity/Q7522575,2021CY16FFPR001_5984,09.41.034.006.002.009.002.528.001 - P.I. GROUND MAINTENANCE SERVICES LIMITED,09.41.034.006.002.009.002.528.001 - P.I. GROUND MAINTENANCE SERVICES LIMITED,Cyprus,25/01/2021,24/01/2022,60.0,8600.0,EUR,5160.0,https://linkedopendata.eu/entity/Q7516773,"34.6852901,33.0332657",136,Specific support for youth employment and socio-economic integration of young people,,,PO04,Social Europe,ESO4.1,ESO4.1,ESF+,European Social Fund Plus,2021CY16FFPR001,THALIA – CY – CF/ERDF/ESF+/JTF,,CY_5000,Lemesos,,,Cyprus,,,CY000,2021-2027,Employment of the unemployed,Εργοδότηση Ανέργου,,,,,CY
https://linkedopendata.eu/entity/Q7525485,2021CY16FFPR001_POST-DOC/0524/0155,Evolving treatment of bladder cancer with miRNA-laden extracellular vesicles: Pioneering personalized medicine,Εξελίσσοντας τη θεραπεία του καρκίνου της ουροδόχου κύστης με εξωκυτταρικά κυστίδια φορτωμένα με miRNA: Πρωτοπορώντας στην εξατομικευμένη ιατρική,Cyprus,02/01/2025,01/01/2027,60.0,149940.0,EUR,89964.0,https://linkedopendata.eu/entity/Q7518648,"34.6852901,33.0332657",010,"Research and innovation activities in SMEs, including networking",,,PO01,Smarter Europe,RSO1.1,RSO1.1,ERDF,European Regional Development Fund,2021CY16FFPR001,THALIA – CY – CF/ERDF/ESF+/JTF,,CY_5000,Lemesos,,,Cyprus,,,CY000,2021-2027,"Bladder cancer is ranked as one of the most prevalent cancers, occupying the position of the 10th most commonly diagnosed cancer worldwide, As the most common malignancy affecting the urinary tract, makes the development of new and more effective critical treatments, Personalized medicine using extracellular vesicles (EVs) is a promising approach to health care and disease management, as these vesicles play a critical role in intracellular communication and mediate various cellular processes, We have developed a patented technology platform, miRNA-laden EVs, which selectively target tumors and disrupt the metastatic process successfully in breast cancer models, As a new therapeutic formula, its exact mechanism of action has not yet been fully clarified, as well as the extent to which it can affect cellular mechanisms, This is important to ensure safety as well as to expand its therapeutic potential to other types of cancer, such as bladder cancer, This specific type of cancer was selected based on its molecular profile and clinical prognosis indicators, ensuring its suitability to respond to our new therapeutic agent, This project will use advanced omics (transcriptional and proteomics) profile studies to fully characterize our new therapeutic agent (compared to natural EVs) as well as bladder cancer receptive cells with/without treatment,","Ο καρκίνος της ουροδόχου κύστης κατατάσσεται ως ένας από τους πιο διαδεδομένους καρκίνους, κατέχοντας τη θέση του 10ου πιο συχνά διαγνωσμένου καρκίνου παγκοσμίως, Ως η πιο συχνή κακοήθεια που επηρεάζει το ουροποιητικό σύστημα, καθιστά την ανάπτυξη νέων και πιο αποτελεσματικών θεραπειών κρίσιμης σημασίας, Η εξατομικευμένη ιατρική που χρησιμοποιεί εξωκυτταρικά κυστίδια (EVs) είναι μια ποσχόμενη προσέγγιση στην υγειονομική περίθαλψη και διαχείριση ασθενειών, καθώς αυτά τα κυστίδια παίζουν κρίσιμο ρόλο στην ενδοκυτταρική επικοινωνία και μεσολαβούν σε διάφορες κυτταρικές διαδικασίες, Έχουμε αναπτύξει μια κατοχυρωμένη πλατφόρμα τεχνολογίας, EVs φορτωμένα με miRNA, τα οποία στοχεύουν επιλεκτικά τους όγκους και διαταράσσουν τη μεταστατική διαδικασία με επιτυχία σε μοντέλα καρκίνου του μαστού, Ως νέα θεραπευτική φόρμουλα, ο ακριβής μηχανισμός δράσης της δεν έχει ακόμη πλήρως αποσαφηνιστεί, όπως και το εύρος στο οποίο μπορεί να επηρεάσει κυτταρικούς μηχανισμούς, Αυτό είναι σημαντικό για τη διασφάλιση της ασφάλειας καθώς και για την επέκταση του θεραπευτικού της δυναμικού σε άλλους τύπους καρκίνου, όπως ο καρκίνος της ουροδόχου κύστης, Αυτός ο συγκεκριμένος τύπος καρκίνου επιλέχθηκε με βάση το μοριακό του προφίλ και τους κλινικούς δείκτες πρόγνωσης, διασφαλίζοντας την καταλληλότητά του για ανταπόκριση στον νέο μας θεραπευτικό παράγοντα, Το έργο αυτό θα χρησιμοποιήσει προηγμένες μελέτες προφίλ omics (μεταγραφωματικής και πρωτεομικής) για την πλήρη χαρακτηρισμό του νέου θεραπευτικού μας παράγοντα (σε σύγκριση με τα φυσικά EVs) καθώς και των δεκτικών κυττάρων καρκίνου της ουροδόχου κύστης με/χωρίς θεραπεία, Επιπλέον, οι μελέτες in vitro αποτελεσματικότητας και ασφάλειας της φόρμουλας θα προσφέρουν πολύτιμες γνώσεις για τις αντικαρκινικές και αντιμεταστατικές ιδιότητές της σε κυτταρικές σειρές καρκίνου της ουροδόχου κύστης, Κατά συνέπεια, το έργο αυτό στοχεύει να επεκτείνει τις εφαρμογές της νέας πλατφόρμας τεχνολογίας μας ως μια υποσχόμενη θεραπευτική μέθοδος στην ογκολογία,",,,,,CY
https://linkedopendata.eu/entity/Q7523394,2021CY16FFPR001_6821,09.41.034.006.002.009.003.189.001 - C&C LONDOU INTERNATIONAL LTD,09.41.034.006.002.009.003.189.001 - C&C LONDOU INTERNATIONAL LTD,Cyprus,28/06/2021,27/06/2022,60.0,8600.0,EUR,5160.0,https://linkedopendata.eu/entity/Q7517285,"34.9236095,33.6236184",136,Specific support for youth employment and socio-economic integration of young people,,,PO04,Social Europe,ESO4.1,ESO4.1,ESF+,European Social Fund Plus,2021CY16FFPR001,THALIA – CY – CF/ERDF/ESF+/JTF,,CY_4000,Larnaka,,,Cyprus,,,CY000,2021-2027,Employment of the unemployed,Εργοδότηση Ανέργου,,,,,CY
https://linkedopendata.eu/entity/Q7521900,2021CY16FFPR001_5295,09.41.034.008.001.004.575.001 - STONE LAMBROU,09.41.034.008.001.004.575.001 - ΠΕΤΡΙΝΑ ΛΑΜΠΡΟΥ,Cyprus,01/07/2021,30/06/2022,60.0,8600.0,EUR,5160.0,https://linkedopendata.eu/entity/Q7516386,"34.9236095,33.6236184",134,Measures to improve access to employment,,,PO04,Social Europe,ESO4.1,ESO4.1,ESF+,European Social Fund Plus,2021CY16FFPR001,THALIA – CY – CF/ERDF/ESF+/JTF,,CY_4000,Larnaka,,,Cyprus,,,CY000,2021-2027,Employment of the unemployed,Εργοδότηση Ανέργου,,,,,CY
https://linkedopendata.eu/entity/Q7524266,2021CY16FFPR001_7709,09.41.034.008.001.005.131.001 - CH.P.S. ACCOUNTING SERVICES LTD,09.41.034.008.001.005.131.001 - CH.P.S. ACCOUNTING SERVICES LTD,Cyprus,26/11/2021,25/11/2022,60.0,6092.0,EUR,3655.2,https://linkedopendata.eu/entity/Q7517861,"34.6852901,33.0332657",134,Measures to improve access to employment,,,PO04,Social Europe,ESO4.1,ESO4.1,ESF+,European Social Fund Plus,2021CY16FFPR001,THALIA – CY – CF/ERDF/ESF+/JTF,,CY_5000,Lemesos,,,Cyprus,,,CY000,2021-2027,Employment of the unemployed,Εργοδότηση Ανέργου,,,,,CY
https://linkedopendata.eu/entity/Q7525512,2021CY16FFPR001_VISION ERC -PATH 2/0524/0215,BIOCPOLIS,ΒΙΟΚΠΟΛΙΣ,Cyprus,01/07/2025,31/08/2026,60.0,100000.0,EUR,60000.0,https://linkedopendata.eu/entity/Q7518618,"35.1746503,33.3638783",012,"Research and innovation activities in public research centres, higher education and centres of competence including networking (industrial research, experimental development, feasibility studies)",,,PO01,Smarter Europe,RSO1.1,RSO1.1,ERDF,European Regional Development Fund,2021CY16FFPR001,THALIA – CY – CF/ERDF/ESF+/JTF,,CY_1000,Lefkosia,,,Cyprus,,,CY000,2021-2027,"EVOCPOLIS investigates how pollution and thermal stress affect emissions of Biogenic Volatile Organic Compounds (BVOCs) from urban vegetation, BVOCs play a critical role in air chemistry and air quality, but their behaviour in urban environments remains unclear, The aim of the project is to reveal the mechanisms that link pollution to BVOCs emissions, offering essential data for cleaner and more sustainable cities, With Cyprus as a reference point, an area particularly vulnerable to the effects of climate change, EVOCPOLIS combines laboratory and field measurements to study how trees react in different urban, peri-urban and natural environments, Research focuses on the storage capacity of BVOCs in leaves and the identification of tipping points in their emissions due to temperature changes, The findings will reveal adaptive mechanisms of vegetation, offering applicable data for urban planning and public health, EVOCPOLIS is expected to produce innovative findings that will enhance cooperation with municipalities and international scientific teams, The results of the project will be widely disseminated, supporting the design of sustainable cities and the protection of public health, In addition, they will lay the foundations for a competitive ERC proposal, promoting research in the relationships between vegetation, pollution and atmospheric chemistry,","Το EVOCPOLIS διερευνά πώς η ρύπανση και το θερμικό στρες επηρεάζουν τις εκπομπές Βιογενών Πτητικών Οργανικών Ενώσεων (BVOCs) από την αστική βλάστηση, Οι BVOCs παίζουν κρίσιμο ρόλο στη χημεία της ατμόσφαιρας και την ποιότητα του αέρα, αλλά η συμπεριφορά τους σε αστικά περιβάλλοντα παραμένει ασαφής, Στόχος του έργου είναι να αποκαλύψει τους μηχανισμούς που συνδέουν τη ρύπανση με τις εκπομπές BVOCs, προσφέροντας ουσιαστικά δεδομένα για πιο καθαρές και βιώσιμες πόλεις, Με σημείο αναφοράς την Κύπρο, μια περιοχή ιδιαίτερα ευάλωτη στις επιπτώσεις της κλιματικής αλλαγής, το EVOCPOLIS συνδυάζει εργαστηριακές και επιτόπιες μετρήσεις για να μελετήσει πώς τα δέντρα αντιδρούν σε διαφορετικά αστικά, περιαστικά και φυσικά περιβάλλοντα, Η έρευνα εστιάζει στη χωρητικότητα αποθήκευσης BVOCs στα φύλλα και στον εντοπισμό κρίσιμων σημείων ανατροπής (tipping points) στις εκπομπές τους λόγω θερμοκρασιακών αλλαγών, Τα ευρήματα θα αποκαλύψουν προσαρμοστικούς μηχανισμούς της βλάστησης, προσφέροντας εφαρμόσιμα δεδομένα για τον αστικό σχεδιασμό και τη δημόσια υγεία, Το EVOCPOLIS αναμένεται να παράγει καινοτόμα ευρήματα που θα ενισχύσουν τη συνεργασία με δήμους και διεθνείς επιστημονικές ομάδες, Τα αποτελέσματα του έργου θα διαδοθούν ευρέως, υποστηρίζοντας τον σχεδιασμό βιώσιμων πόλεων και την προστασία της δημόσιας υγείας, Επιπλέον, θα θέσουν τα θεμέλια για μια ανταγωνιστική πρόταση ERC, προωθώντας την έρευνα στις σχέσεις μεταξύ βλάστησης, ρύπανσης και ατμοσφαιρικής χημείας,",,,,,CY
