Operation_Unique_Identifier,Operation_Local_Identifier,Operation_Name_English,Operation_Name_Programme_Language,Country,Operation_Start_Date,Operation_End_Date,Cofinancing_Rate,Total_Eligible_Expenditure_amount,Total_Eligible_Expenditure_Currency,Project_EU_Budget,Beneficiary_Unique_Identifier,Location_Indicator_latitude_longitude,Category_Of_Intervention,Category_Label,Thematic_Objective_ID,Thematic_Objective_Label,Policy_Objective_ID,Policy_Objective_Label,Specific_Objective_ID,Specific_Objective_Label,Fund_Code,Fund_Name,Programme_Code,Programme_Name,Postal_Code,LAU_IDs,LAU_Labels,NUTS1_Label,NUTS2_Label,NUTS3_Label,NUTS1_Code,NUTS2_Code,NUTS3_Code,Programming_Period,Operation_Summary_English,Operation_Summary_Programme_Language,ManagingAuthority,Image_URL,InfoRegio_ID,InfoRegio_URL,CountryCode
https://linkedopendata.eu/entity/Q7525655,2021DK16JTPR001_FRO-24-0091,CO2 Infrastructure Aalborg,CO2 Infrastruktur Aalborg,Denmark,11/11/2024,31/12/2026,80.0,844424.88,EUR,675359.88,https://linkedopendata.eu/entity/Q7525572,"57.18,9.67",,,,,PO08,Just Transition,JTF,JTF,JTF,Just Transition Fund,2021DK16JTPR001,Green technologies and skills - DK - JTF,,,,,North Denmark Region,,,DK05,,2021-2027,"The project ""CO2 Infrastructure Aalborg"" aims to prepare a common CO2 infrastructure plan for Aalborg. The infrastructure plan is to be used by the project's partners as a strategic dialogue tool that can form the basis for future investments and solutions within carbon capture, utilisation and storage (CCUS).The project consortium consists of Aalborg Portland (ACCSION project), Copenhagen Infrastructure Partners, Aalborg Forsyning and Nordværk (Fjord PtX project) as well as Fidelis New Energy and Port of Aalborg (Norne project) as well as Aalborg Municipality and Aalborg University. The joint infrastructure plan created in the project shall consolidate the existing CO2 infrastructure plans of the project partners and, by extension, develop 2-3 scenarios for a common CO2 infrastructure.","Projektet ""CO2 Infrastruktur Aalborg"" har til formål at udarbejde en fælles CO2-infrastrukturplan for Aalborg. Infrastrukturplanen skal anvendes af projektets partnere som et strategisk dialogværktøj, der kan danne beslutningsgrundlag for fremtidige investeringer og løsningsmodeller inden for CO2-fangst, -anvendelse og -lagring (CCUS).Projektkonsortiet består af Aalborg Portland (ACCSION projektet), Copenhagen Infrastructure Partners, Aalborg Forsyning og Nordværk (Fjord PtX projektet) samt Fidelis New Energy og Port of Aalborg (Norne projektet) samt Aalborg Kommune og Aalborg Universitet. Den fælles infrastrukturplan, der skabes i projektet, skal konsolidere projektets partneres eksisterende CO2-infrastrukturplaner, og i forlængelse heraf udvikle 2-3 scenarier for en fælles CO2-infrastruktur.",,,,,DK
https://linkedopendata.eu/entity/Q7525712,2021DK05SFPR001_SFSS-22-0002,Warehouse - Step by Step,Pakhuset - Trin for Trin,Denmark,01/03/2023,31/12/2025,72.0,1349645.64,EUR,969836.21,https://linkedopendata.eu/entity/Q7525609,"55.8616018,12.3137969",,,,,PO04,Social Europe,ESO4.12,ESO4.12,ESF+,European Social Fund Plus,2021DK05SFPR001,Education and Skills - DK - ESF+,,,,,Capital Region of Denmark,,,DK01,,2021-2027,"""Step by Step"" focuses on getting more street sleepers, especially migrants, into work so they can afford housing and feed their families. We offer an intensive and less intensive model: Everyone gets an offer of help with taking up existing offers/services, as well as socio-educational work to alleviate some of the barriers to jobs and housing, help with key registrations and ""whole jobs"" and the housing search process. We also offer aftercare/advice to help vulnerable citizens stay in work and keep their homes. For a group of citizens, we also have the opportunity to offer an intensive course focusing on ""shelter first.""","""Trin for Trin"" fokuserer på at få flere gadesovende, specielt migranter, i arbejde, så de kan få råd til en bolig og brødføde deres familie. Vi tilbyder en intensiv og mindre intensiv model: Alle får et tilbud om hjælp til optag af eksisterende tilbud/ydelser, samt socialpædagogisk arbejde for at afhjælpe nogle af barriererne til job og bolig, hjælp til nøgleregistreringer og ""hele job"" og boligsøgningsprocessen.Der vil også være et fokus på fysisk og psykisk velvære, og på muligheden for at deltage i korte jobrelaterede kurser. Vi tilbyder ligeledes efterværn/rådgivning, for at hjælpe udsatte borgere med at forblive i arbejde og beholde deres bolig. For en gruppe borgere har vi også muligheden for at tilbyde et intensivt forløb med fokus på ""shelter first.""",,,,,DK
https://linkedopendata.eu/entity/Q7525694,2021DK16RFPR001_RFO-23-0027,CLOSING LOOPS SJ,CLOSING LOOPS SJ,Denmark,15/08/2023,31/12/2026,51.0,12472461.53,EUR,6328444.48,https://linkedopendata.eu/entity/Q7525555,"55.166666666667,11.833333333333",,,,,PO02,"Greener, carbon-free Europe",RSO2.6,RSO2.6,ERDF,European Regional Development Fund,2021DK16RFPR001,Smart green and digital transition of enterprises - DK – ERDF,,,,,Region Zealand,,,DK02,,2021-2027,"The focus of the project is on mobilising Zealand SMEs to implement and scale concrete circular economy solutions. The project has gathered 24 organisations, organised in 15 value chain collaborations, which will result in major reductions and better use of resources - and reduced CO2 emissions.The partners will identify and recruit additional approximately 10 Zealand value chain collaborations during the project, which mature to apply for project participation and funding. During the process, sparring is provided to companies to promote reuse, repair, remanufacturing, recycling of materials and longer product lifetimes through circular value chain collaborations and to meet increased sustainability reporting requirements. Participants will receive assistance in developing and implementing value chain collaborations.","Projektets fokus er på at mobilisere sjællandske SMV'er til at implementere og skalere konkrete cirkulære økonomiløsninger. Projektet har samlet 24 organisationer, organiseret i 15 værdikædesamarbejde, som vil give store reduktioner og bedre anvendelse af ressourcer - og reducerede CO2-udledninger.Partnerne vil identificere og rekruttere yderlige ca. 10 Sjælland værdikædesamarbejder i løbet af projektet, som modnes til at søge om projektdeltagelse og finansiering. Der ydes undervejs sparring til virksomhederne til at fremme genbrug, reparation, genfremstilling, genanvendelse af materialer og længere produktlevetider via cirkulære værdikædesamarbejder og leve op til øgede bæredygtighedsrapporteringskrav. Deltagerne vil modtage hjælp til at udvikle og implementere værdikædesamarbejder.",,,,,DK
https://linkedopendata.eu/entity/Q7525653,2021DK05SFPR001_SFSL-24-0010,The Future in Focus,Fremtiden i Fokus,Denmark,01/01/2025,31/12/2027,58.0,1284293.56,EUR,750098.96,https://linkedopendata.eu/entity/Q7525570,"55.166666666667,11.833333333333",,,,,PO04,Social Europe,ESO4.6,ESO4.6,ESF+,European Social Fund Plus,2021DK05SFPR001,Education and Skills - DK - ESF+,,,,,Region Zealand,,,DK02,,2021-2027,"The aim of the project is to offer young people career and educational guidance while at the same time being employed in periodic jobs as unskilled workers in the three priority industries. The guide is directly linked to young people's working practices, where the main emphasis is on creating and maintaining an educational perspective with an emphasis on meritorious work experiences of importance to a ""from-unskilled-to-skilled"" theme. The project is structured around 6 main activities: Conclusion of cooperation agreements with regional companies Mapping with interviews of young people Development of guidance concepts Upskilling of intra-company resource persons Testing of the developed guidance concepts - as well as Evaluation and dissemination.","Formålet med projektet er at tilbyde unge karriere- og uddannelsesvejledning, samtidig med at de er ansatte i periodiske job som ufaglærte indenfor de 3 prioriterede brancher. Vejledningen knyttes direkte an til de unges arbejdspraksis, hvor der primært lægges vægt på at skabe og fastholder et uddannelsesperspektiv med vægt på meriterende arbejdserfaringer af betydning for en ""fra-ufaglært-til-faglært"" tematik. Projektet er opbygget omkring 6 hovedaktiviteter: Indgåelse af samarbejdsaftaler med regionale virksomhederKortlægning med interview af ungeUdvikling af vejledningskoncepterOpkvalificering af virksomhedsinterne ressourcepersonerAfprøvning af de udviklede vejledningskoncepter - samt Evaluering og formidling.",,,,,DK
https://linkedopendata.eu/entity/Q7525713,2021DK05SFPR001_SFSS-22-0015,Strengthened efforts for young people in homelessness,Styrket indsats til unge i hjemløshed,Denmark,01/03/2023,31/12/2027,90.0,1171882.75,EUR,1054694.47,https://linkedopendata.eu/entity/Q7525610,"55.8616018,12.3137969",,,,,PO04,Social Europe,ESO4.12,ESO4.12,ESF+,European Social Fund Plus,2021DK05SFPR001,Education and Skills - DK - ESF+,,,,,Capital Region of Denmark,,,DK01,,2021-2027,"The project aims to strengthen the efforts for young people in homelessness in the City of Copenhagen and contribute to improving the social situation of young people and linking them to activities and communities in civil society. The project is a collaboration between the Homeless Unit in Copenhagen Municipality, Jobcenter Copenhagen and the private NGO WeShelter, which is part of the Foundation Mission among Homeless.","Projektet har til hensigt at styrke indsatsen for unge i hjemløshed i Københavns Kommune og bidrage til dels at forbedre de unges sociale situation og koble dem til aktiviteter og fællesskaber i civilsamfundet.Indsatsen skal på sigt bidrage til at at få de unge på rette kurs og ud af deres marginaliserede position. Projektet er et samarbejde mellem Hjemløseenheden i Købehavns Kommune, Jobcenter København og den private NGO WeShelter, som er en del af Fonden Missionen blandt Hjemløse.",,,,,DK
https://linkedopendata.eu/entity/Q7525639,2021DK16JTPR001_FRO-24-0087,Upscaling: Improving Kvasir's solar thermal process and building a green workforce in South Jutland,Opskalering: Forbedring af Kvasirs solvotermiske proces og opbygning af en grøn arbejdsstyrke i Sydjylland,Denmark,01/05/2025,30/04/2028,58.0,4842860.06,EUR,2830198.93,https://linkedopendata.eu/entity/Q7525562,"55.333333333333,9.6666666666667",,,,,PO08,Just Transition,JTF,JTF,JTF,Just Transition Fund,2021DK16JTPR001,Green technologies and skills - DK - JTF,,,,,Southern Denmark,,,DK03,,2021-2027,"The project will optimise Kvasir's solar thermal technology by exploring commercial potential and valuable by-products that can be used for biofuel, building materials, soil improvement and CCUS. The goal is to improve separation and upgrade processes as well as market evaluation of the products in collaboration with DTU. The technology is being developed from TRL 4 to TRL 7 and scaled from Fredericia to a full-scale plant in Aabenraa, creating up to 100 local jobs. Together with Fredericia Maskinmesterskole, training programmes are facilitated that qualify the workforce for green technology jobs and support economic growth in South Jutland.","Projektet vil optimere Kvasirs solvotermiske teknologi ved at undersøge kommercielt potentiale og værdifulde biprodukter som kan anvendes til biobrændstof, byggematerialer, jordforbedring og CCUS. Målet er at forbedre separations- og opgraderingsprocesser samt markedsvurdere produkterne i samarbejde med DTU. Teknologien udvikles fra TRL 4 til TRL 7 og skaleres fra Fredericia til et fuldskalaanlæg i Aabenraa, der skaber op til 100 lokale job. Sammen med Fredericia Maskinmesterskole faciliteres træningsprogrammer, der kvalificerer arbejdsstyrken til grønne teknologijobs og understøtter økonomisk vækst i Sydjylland.",,,,,DK
https://linkedopendata.eu/entity/Q7525703,2021DK16RFPR001_RFO-23-0005,From Port to Beach,Fra Havn til Strand,Denmark,23/05/2023,31/12/2026,60.0,4613907.36,EUR,2768344.41,https://linkedopendata.eu/entity/Q7525603,"55.166666666667,11.833333333333",,,,,PO04,Social Europe,RSO4.6,RSO4.6,ERDF,European Regional Development Fund,2021DK16RFPR001,Smart green and digital transition of enterprises - DK – ERDF,,,,,Region Zealand,,,DK02,,2021-2027,"The project From Port to Beach aims to strengthen the quality of the tourism product in Nakskov city and Fjord with respect for nature, environment and cultural heritage and improve the conditions for further private investment.The project consists of two sub-activities:Transforming the cultural-historical ferry berths in Nakskov Harbour into water activities and stays, and into a hub for water connections in Nakskov Fjord.To develop an experience route that can bind the area's place-bound natural and cultural history together.The two activities together create the starting point for the development of new commercial activities.The project is anchored in Nakskov 2023 where RealDania is included as an economic partner in the project.","Projektet Fra Havn til Strand har til formål at styrke kvaliteten af turismeproduktet i Nakskov by og Fjord med respekt for natur, miljø og kulturarv og forbedre forudsætningerne for yderligere private investeringer.Projektet består af to delaktiviteter:At transformere de kulturhistoriske færgelejer i Nakskov Havn til vandaktiviteter og ophold samt til knudepunkt for vandforbindelserne i Nakskov Fjord.At udvikle en oplevelsesrute der kan binde områdets stedbundne natur- og kulturhistorie sammen.De to aktiviteter skaber tilsammen udgangspunktet for udvikling af nye kommercielle aktiviteter.Projektet er forankret i Nakskov 2023 hvor RealDania indgår som økonomisk partner i projektet.",,,,,DK
https://linkedopendata.eu/entity/Q7525725,2021DK05SFPR001_SFHS-22-0001,Copenhagen Skills - enhanced knowledge and search for vocational education and training,Copenhagen Skills - styrket kendskab og søgning til erhvervsuddannelserne,Denmark,30/08/2022,28/02/2026,40.0,3617443.36,EUR,1446977.34,https://linkedopendata.eu/entity/Q7525616,"55.8616018,12.3137969",,,,,PO04,Social Europe,ESO4.5,ESO4.5,ESF+,European Social Fund Plus,2021DK05SFPR001,Education and Skills - DK - ESF+,,,,,Capital Region of Denmark,,,DK01,,2021-2027,"Copenhagen Skills contributes to securing more skilled workers. More skilled workers are a prerequisite for succeeding with green transition and securing companies labour. The aim of the project is to provide young people with the best conditions for their choice of education and, not least, a better and more realistic understanding of the opportunities that a skilled education offers.Through cooperation with vocational schools, primary schools, FGU, Studievalg and municipalities, innovative activities are developed that bring vocational education and training close to the young people in practice and qualify guidance and learning about education and jobs. The project is based on the assumption that open dialogue and reflection on educational pathways and vocational education and training leads more young people to consider the possibility of and be challenged by ideas about vocational education and training.","Copenhagen Skills bidrager til at sikre flere faglærte. Flere faglærte er en forudsætning for at lykkes med grøn omstilling og sikre virksomheder arbejdskraft. Formålet med projektet er at give unge de bedste forudsætninger for deres uddannelsesvalg og ikke mindst en bedre og mere realistisk forståelse af de muligheder, en faglært uddannelse tilbyder.Gennem samarbejde med erhvervsskoler, grundskoler, FGU, Studievalg og kommuner udvikles nyskabende aktiviteter, som bringer erhvervsuddannelser tæt på de unge i praksis og kvalificerer vejledning og læring om uddannelse og job. Projektet bygger på antagelsen om, at åben dialog og refleksion om uddannelsesveje og erhvervsuddannelser får flere unge til at overveje muligheden for og blive udfordret på forestillinger om erhvervsuddannelser.",,,,,DK
https://linkedopendata.eu/entity/Q7525731,2021DK05SFPR001_SF-22-0035,Social inclusion in the green transition of South Jutland companies,Social inklusion i sønderjyske virksomheders grønne omstilling,Denmark,15/06/2022,30/06/2025,40.0,1933493.38,EUR,773397.3,https://linkedopendata.eu/entity/Q7525621,"55.333333333333,9.6666666666667",,,,,PO04,Social Europe,ESO4.8,ESO4.8,ESF+,European Social Fund Plus,2021DK05SFPR001,Education and Skills - DK - ESF+,,,,,Southern Denmark,,,DK03,,2021-2027,"Four South Jutland job centres, together with Marselisborg, are testing a new initiative, where local companies are helped to uncover tasks related to green transition, which can be matched with skills from unemployed citizens on the edge of the labour market.The companies thereby get a new recruitment basis for parts of their green transition, and at the same time get the opportunity to focus existing employee skills on the company's core tasks in a job market where qualified labour is in short supply.At the same time, a large group of unemployed citizens, who for many years have had difficulty entering the labour market, get an employment foothold in important and meaningful job functions, which are long-lasting in a labour market that is becoming increasingly green.","Fire sønderjyske jobcentre afprøver sammen med Marselisborg en ny indsats, hvor lokale virksomheder får hjælp til at afdække opgaver relateret til grøn omstilling, som kan matches med kompetencer fra ledige borgere på kanten af arbejdsmarkedet.Virksomhederne får derved et nyt rekrutteringsgrundlag til dele af deres grønne omstilling, og får samtidig mulighed for at fokusere eksisterende medarbejderkompetencer på virksomhedens kerneopgaver i et jobmarked, hvor kvalificeret arbejdskraft er en mangelvare.Samtidig får en stor gruppe ledige borgere, som igennem mange år har haft svært ved at komme ind på arbejdsmarkedet, muligheden for at få et beskæftigelsesmæssigt fodfæste i vigtige og meningsfulde jobfunktioner, som er langtidsholdbare på et arbejdsmarked, der bliver stadigt mere grønt.",,,,,DK
https://linkedopendata.eu/entity/Q7525668,2021DK05SFPR001_SFSD-23-0005,The bridge to the future - Strengthening the transitions from FGU to VET,Broen til fremtiden - Styrkelse af overgangene fra FGU til EUD,Denmark,15/01/2024,01/09/2027,40.0,2437500.0,EUR,975000.0,https://linkedopendata.eu/entity/Q7525583,"55.333333333333,9.6666666666667",,,,,PO04,Social Europe,ESO4.6,ESO4.6,ESF+,European Social Fund Plus,2021DK05SFPR001,Education and Skills - DK - ESF+,,,,,Southern Denmark,,,DK03,,2021-2027,"The purpose of the project is to strengthen the transition from FGU to VET by developing and optimising combination courses, which are shorter courses on VET for FGU students. According to the research, the transitions in young people's lives are a difficult process, especially for vulnerable young people.The main activities include the development of introductory, professional and individual combination courses focusing on career learning and relational competence for FGU students. The activities are developed in close cooperation with the 14 participating FGU and EUD institutions in the Region of Southern Denmark. The project's working groups range widely from teachers/supervisors, student coaches, management, students and administration.The aim of the project is to increase the number of young people entering and completing vocational education and training, thereby improving their employment opportunities.","Formålet med projektet er at styrke overgangen fra FGU til EUD ved at udvikle og optimere kombinationsforløb, som er kortere forløb på EUD for FGU-elever. Ifølge forskningen er netop overgangene i ungelivet en vanskelig proces især for udsatte unge.Hovedaktiviteterne omfatter udvikling af introducerende, fagfaglige og individuelle kombinationsforløb med fokus på karrierelæring og relationskompetence for FGU-elever. Aktiviteterne udvikles i tæt samarbejde med de 14 deltagende FGU- og EUD-institutioner i Region Syddanmark. Projektets arbejdsgrupper spænder bredt fra lærere/vejledere, elevcoaches, ledelse, elever og administration.Målet med projektet er at øge antallet af unge, der påbegynder og gennemfører en erhvervsuddannelse og dermed forbedrer deres beskæftigelsesmuligheder.",,,,,DK
