Operation_Unique_Identifier,Operation_Local_Identifier,Operation_Name_English,Operation_Name_Programme_Language,Country,Operation_Start_Date,Operation_End_Date,Cofinancing_Rate,Total_Eligible_Expenditure_amount,Total_Eligible_Expenditure_Currency,Project_EU_Budget,Beneficiary_Unique_Identifier,Location_Indicator_latitude_longitude,Category_Of_Intervention,Category_Label,Thematic_Objective_ID,Thematic_Objective_Label,Policy_Objective_ID,Policy_Objective_Label,Specific_Objective_ID,Specific_Objective_Label,Fund_Code,Fund_Name,Programme_Code,Programme_Name,Postal_Code,LAU_IDs,LAU_Labels,NUTS1_Label,NUTS2_Label,NUTS3_Label,NUTS1_Code,NUTS2_Code,NUTS3_Code,Programming_Period,Operation_Summary_English,Operation_Summary_Programme_Language,ManagingAuthority,Image_URL,InfoRegio_ID,InfoRegio_URL,CountryCode
https://linkedopendata.eu/entity/Q7426006,2021EE16FFPR001_2021-2027.2.01.24-3213,"Construction of a new furnace, the existing furnace was built in 1960 and is no longer usable, or safe for the environment","Uue ahju ehitamine, olemasolev ahi on ehitatud 1960 ja ei ole enam kasutuskõlblik, ega turvaline keskkonnale",Estonia,23/05/2024,23/05/2025,50.0,6400.0,EUR,3200.0,https://linkedopendata.eu/entity/Q7422899,"59,26",41.0,"Energy efficiency renovation of existing housing stock, demonstration projects and supporting measures",,,PO02,"Greener, carbon-free Europe",RSO2.1,RSO2.1,ERDF,European Regional Development Fund,2021EE16FFPR001,Cohesion Policy Funding – EE – ERDF/ESF/CF/JTF,,,,,,,,,,2021-2027,"Building a new oven instead of an old one. For the safety of people and a cleaner environment. The goal is to have the potter build a new oven.The existing one is no longer usable.A danger to both human life and health, and certainly to the environment.The gas leaks into the room, the oven is closed (the oven has been heated properly).The potter has visited the situation and assessed that a new oven must be built. This ensures the safety of family members and improves air quality in densely populated areas","Uue ahju rajamine vana ahju asemele. Inimeste turvalisuse ja puhtama keskkonna nimel. Eesmärk on lasta pottsepal ehitada uus ahi.Olemasolev ei ole enam kasutuskõlblik.Oht nii inimeste elule kui tervisele ja kindlasti ka keskkonnale.Vingugaas lekib tubasesse,siibri sulgemise (ahi on köetud nõuetekohaselt).Potsepp on käinud olukorraga tutvumas ja andnud hinnangu,et tuleb ehitada uus ahi. Sellega tagada pereliikmete turvalisus ja parandada tiheasustuspiirkondade õhukvaliteeti",,,,,EE
https://linkedopendata.eu/entity/Q7425981,2021EE16FFPR001_2021-2027.2.01.24-3113,Replacement of ovens at Vahe 13,Ahjude vahetus aadressil Vahe 13,Estonia,23/05/2024,23/05/2025,50.0,12800.0,EUR,6400.0,https://linkedopendata.eu/entity/Q7422875,"59,26",41.0,"Energy efficiency renovation of existing housing stock, demonstration projects and supporting measures",,,PO02,"Greener, carbon-free Europe",RSO2.1,RSO2.1,ERDF,European Regional Development Fund,2021EE16FFPR001,Cohesion Policy Funding – EE – ERDF/ESF/CF/JTF,,,,,,,,,,2021-2027,The aim is to upgrade the existing solid fuel heater.,Eesmärk on uuendada olemasolevat tahkel kütusel põhinevat kütteseadet.,,,,,EE
https://linkedopendata.eu/entity/Q7425436,2021EE16FFPR001_2021-2027.2.01.23-0192,"Reconstruction of apartment building at Keskus 6, Järlepa","Korterelamu rekonstrueerimine aadressil Keskuse tn 6, Järlepa",Estonia,01/02/2022,07/03/2026,50.0,859993.89,EUR,429996.95,https://linkedopendata.eu/entity/Q7422413,"59.136324493137,24.923375572417",42.0,"Energy efficiency renovation of existing housing stock, demonstration projects and supporting measures compliant with energy efficiency criteria",,,PO02,"Greener, carbon-free Europe",RSO2.1,RSO2.1,ERDF,European Regional Development Fund,2021EE16FFPR001,Cohesion Policy Funding – EE – ERDF/ESF/CF/JTF,,EE_0668,Rapla vald,,,Kesk-Eesti,,,EE009,2021-2027,"Complete renovation of the apartment building, ensuring energy efficiency and a better indoor climate.","Korterelamu terviklik rekonstrueerimine, energiatõhususe ja parema sisekliima tagamine.",,,,,EE
https://linkedopendata.eu/entity/Q7424833,2021EE16FFPR001_2021-2027.1.01.25-0942,RAIKU SEKMO - AI research and development on an innovative industrial line,RAIKU SEKMO - AI teadus-ja arendustöö uuenduslikul tööstusliinil,Estonia,01/03/2025,30/11/2026,38.05,122627.4,EUR,46661.03,https://linkedopendata.eu/entity/Q6858197,"59.425434112998,24.693159709999",12.0,"Research and innovation activities in public research centres, higher education and centres of competence including networking (industrial research, experimental development, feasibility studies)",,,PO01,Smarter Europe,RSO1.1,RSO1.1,ERDF,European Regional Development Fund,2021EE16FFPR001,Cohesion Policy Funding – EE – ERDF/ESF/CF/JTF,,EE_0784,Tallinn,,,Põhja-Eesti,,,EE001,2021-2027,R AIKU Packaging OÜ is an innovative green technology startup that produces unique packaging materials and manufacturing technologies based on its own international patents and intellectual property protections. This project focuses on the involvement of an AI researcher to conduct applied research on the use and potential of AI and machine vision for new industrial lines in RAIKU.,"R AIKU Packaging OÜ on innovaatiline rohetehnoloogia startup, mis toodab maailmas unikaalseid pakendimaterjale ja nende valmistamise tehnoloogiad, mis põhinevad endi rahvusvahelistel patentidel ja intellektuualomandi kaitsetel. Käesolev projekt keskendub AI teadlase kaasamisele, et viia läbi rakendusuuring RAIKU uute tööstusliinide AI ja masinnägemise kasutuse ja potentsiaali osas.",,,,,EE
https://linkedopendata.eu/entity/Q7425728,2021EE16FFPR001_2021-2027.2.01.24-2275,furnace renovation,ahju renoveerimine,Estonia,25/05/2024,25/05/2025,50.0,6400.0,EUR,3200.0,https://linkedopendata.eu/entity/Q7422622,"59,26",41.0,"Energy efficiency renovation of existing housing stock, demonstration projects and supporting measures",,,PO02,"Greener, carbon-free Europe",RSO2.1,RSO2.1,ERDF,European Regional Development Fund,2021EE16FFPR001,Cohesion Policy Funding – EE – ERDF/ESF/CF/JTF,,,,,,,,,,2021-2027,"The project will contribute to the purchase and installation of a new furnace for the pensinocers, as well as to the fire hazard side of the building in the future.","Projekt aitab kaasa pensoinääridele uue ahju soetamiseks ja paigaldamiseks, samuti aitab kaasa tulevikus hoone tuleohuse poole pealt.",,,,,EE
https://linkedopendata.eu/entity/Q7425084,2021EE16FFPR001_2021-2027.1.03.24-0571,Measured Conversions OÜ business development,Measured Conversions OÜ äritegevuse arendamine,Estonia,21/08/2024,20/08/2026,70.0,25000.0,EUR,17500.0,https://linkedopendata.eu/entity/Q7422096,"58.016064058982,27.086616333461",21.0,"SME business development and internationalisation, including productive investments",,,PO01,Smarter Europe,RSO1.3,RSO1.3,ERDF,European Regional Development Fund,2021EE16FFPR001,Cohesion Policy Funding – EE – ERDF/ESF/CF/JTF,,EE_0622,Põlva vald,,,Lõuna-Eesti,,,EE008,2021-2027,Measured Conversions OÜ business development.,Measured Conversions OÜ äritegevuse arendamine.,,,,,EE
https://linkedopendata.eu/entity/Q7424103,2021EE16FFPR001_2021-2027.6.01.24-0699,Festival iDeeJazz 2024 in Narva,Festival iDeeJazz 2024 Narvas,Estonia,02/09/2024,31/10/2024,90.0,11110.0,EUR,9999.0,https://linkedopendata.eu/entity/Q7421496,"59.379009254064,28.199400550928",46.0,"Support to entities that provide services contributing to the low carbon economy and to resilience to climate change, including awareness-raising measures",,,PO08,Just Transition,JTF,JTF,JTF,Just Transition Fund,2021EE16FFPR001,Cohesion Policy Funding – EE – ERDF/ESF/CF/JTF,,EE_0511,Narva linn,,,Kirde-Eesti,,,EE00A,2021-2027,"The iDeeJazz festival creates a tradition of high-quality music culture in the city of Narva, the concerts of the festival take place in two buildings important for the city - Narva Town Hall and Narva College of the University of Tartu. The region needs permanent cultural traditions that support its development, provide outputs to the members of the community both as a cultural consumer and as a co-organiser and performer of the event. The festival will take place on 18-19 October, with performers from Italy, Spain, Pratsusmaa, Germany and the best in Estonia. ideajazz.ee/narva","Festival iDeeJazz loob Narva linnas kvaliteetse muusikakultuuri traditsiooni, festivali kontserdid toimuvad kahes linna jaoks olulises hoones - Narva Raekojas ja TÜ Narva Kolledžis. Piirkond vajab püsivaid kultuuritradistioone, mis toetaksid selle arengut, pakuks kogukonna liikmetele väljundeid nii kultuuritarbija kui ka sündmuse kaaskorraldaja ja esineja rollis. Festival toimub 18-19 oktoobril, esinejad on Itaaliast, Hispaaniast, Pratsusmaalt, Saksamaalt ja Eesti parimad. ideejazz.ee/narva",,,,,EE
https://linkedopendata.eu/entity/Q7425234,2021EE16FFPR001_2021-2027.1.03.25-0958,Acquisition of equipment to increase the capacity of PTR invest OÜ,Seadmete soetamine PTR invest OÜ võimekuse suurendamiseks,Estonia,01/03/2025,28/02/2027,70.0,25000.0,EUR,17500.0,https://linkedopendata.eu/entity/Q7422220,"57.917292593784,26.946921271944",21.0,"SME business development and internationalisation, including productive investments",,,PO01,Smarter Europe,RSO1.3,RSO1.3,ERDF,European Regional Development Fund,2021EE16FFPR001,Cohesion Policy Funding – EE – ERDF/ESF/CF/JTF,,EE_0917,Võru vald,,,Lõuna-Eesti,,,EE008,2021-2027,The aim of the project is to acquire equipment to increase the capacity of PTR invest OÜ in order to ensure the sustainable growth of the company and create new jobs for the community. To provide high-quality service to our customers and to be environmentally friendly.,"Seadmete soetamine PTR invest OÜ võimekuse suurendamiseks projekti eesmärk on soetada seadmeid, et tagada ettevõtte jätkusuutlik kasv ja luua kogukonda juurde uusi töökohti. Pakkuda klientidele kvaliteetset teenust ja olla keskkonnasäästlik.",,,,,EE
https://linkedopendata.eu/entity/Q7424788,2021EE16FFPR001_2021-2027.1.01.24-0820,Empowering knowledge transfer and business cooperation at Tallinn University,Tallinna Ülikooli teadmussiirde ja ettevõtluskoostöö võimestamine,Estonia,01/01/2025,31/08/2029,62.74,1320077.6,EUR,828256.67,https://linkedopendata.eu/entity/Q6855831,"59.438881059626,24.771655303454",28.0,"Technology transfer and cooperation between enterprises, research centres and higher education sector",,,PO01,Smarter Europe,RSO1.1,RSO1.1,ERDF,European Regional Development Fund,2021EE16FFPR001,Cohesion Policy Funding – EE – ERDF/ESF/CF/JTF,,EE_0784,Tallinn,,,Põhja-Eesti,,,EE001,2021-2027,"The aim of the project is to boost the university's knowledge transfer activities and activate business cooperation The project contributes to the development of the university's complete knowledge transfer system and support services, to the activation of partnerships, to the development and implementation of innovative solutions (products and services) in co-creation, and to their faster reaching society. The project also contributes to the creation of a university framework for entrepreneurship, the valorisation of entrepreneurship and the involvement of young researchers.","Projekti eesmärgiks on ülikooli teadmussiirde tegevuste hoogustamine ja ettevõtluskoostöö aktiveerimine Projekt panustab ülikooli teadmussiirde terviksüsteemi ja tugiteenuste arendamisele, partnerlussuhete aktiveerimisele, koosloomes uudsete lahenduste (toodete ja teenuste) arendamisele ja rakendamisele, nende kiiremale ühiskonda jõudmisele. Projekt panustab ka ülikooli hargettevõtluse raamistiku loomisele, ettevõtlikkuse väärtustamisele ja noorteadlaste kaasamisele",,,,,EE
https://linkedopendata.eu/entity/Q7423980,2021EE16FFPR001_2021-2027.6.01.24-0295,EPCM Consulting OÜ Engineering Centre,EPCM Consulting OÜ insenerikeskus,Estonia,12/02/2024,27/03/2026,60.34,828548.0,EUR,499958.9,https://linkedopendata.eu/entity/Q7421469,"59.353628596427,26.929600861643",21.0,"SME business development and internationalisation, including productive investments",,,PO08,Just Transition,JTF,JTF,JTF,Just Transition Fund,2021EE16FFPR001,Cohesion Policy Funding – EE – ERDF/ESF/CF/JTF,,EE_0442,Lüganuse vald,,,Kirde-Eesti,,,EE00A,2021-2027,"The project EPCM Consulting OÜ engineering centre will establish a modern engineering centre in Kiviõli Business Park, with a total area of 461m2. The centre will create an opportunity for a total of 18 people to work in a modern environment using modern professional technology. The energy supply and heating system of the building to be built are based on the use of renewable energy and thereby contribute to the reduction of greenhouse gas emissions of industrial enterprises in Ida-Viru County.","Projektiga EPCM Consulting OÜ insenerikeskus rajatakse Kiviõli Äripargis kaasaegne insenerikeskus, kogupindalaga 461m². Keskuses luuakse kokku 18 inimesele võimalus töötada kaasaegses keskkonnas, kasutades kaasaegset professionaalset tehnoloogiat. Rajatava hoone energiavarustus ning küttesüsteem põhineb taastuvenergia kasutusel ning seeläbi panustatakse ka Ida-Viru maakonna tööstusettevõtete kasvuhoonegaaside emissioonide vähendamisse.",,,,,EE
