Operation_Unique_Identifier,Operation_Local_Identifier,Operation_Name_English,Operation_Name_Programme_Language,Country,Operation_Start_Date,Operation_End_Date,Cofinancing_Rate,Total_Eligible_Expenditure_amount,Total_Eligible_Expenditure_Currency,Project_EU_Budget,Beneficiary_Unique_Identifier,Location_Indicator_latitude_longitude,Category_Of_Intervention,Category_Label,Thematic_Objective_ID,Thematic_Objective_Label,Policy_Objective_ID,Policy_Objective_Label,Specific_Objective_ID,Specific_Objective_Label,Fund_Code,Fund_Name,Programme_Code,Programme_Name,Postal_Code,LAU_IDs,LAU_Labels,NUTS1_Label,NUTS2_Label,NUTS3_Label,NUTS1_Code,NUTS2_Code,NUTS3_Code,Programming_Period,Operation_Summary_English,Operation_Summary_Programme_Language,ManagingAuthority,Image_URL,InfoRegio_ID,InfoRegio_URL,CountryCode
https://linkedopendata.eu/entity/Q7505206,2021ES05SFPR001_EJ24-00630,Development of training pathways aimed at accredited training for young people enrolled in the National Youth Guarantee System,Desarrollo de itinerarios formativos orientados a la formación acreditada para jóvenes inscritos en el Sistema Nacional de Garantía Juvenil,Spain,12/03/2025,30/09/2029,60.0,635178.0,EUR,381106.8,https://linkedopendata.eu/entity/Q7503718,"40.2,-3.5",136.0,Specific support for youth employment and socio-economic integration of young people,,,PO04,Social Europe,ESO4.1,ESO4.1,ESF+,European Social Fund Plus,2021ES05SFPR001,Youth Employment - ES - ESF+,,,,,,,,,,2021-2027,Development of training pathways aimed at accredited training for young people enrolled in the National Youth Guarantee System,Desarrollo de itinerarios formativos orientados a la formación acreditada para jóvenes inscritos en el Sistema Nacional de Garantía Juvenil,,,,,ES
https://linkedopendata.eu/entity/Q7505333,2021ES05SFPR001_FOP1410-202537C,University training for young people with intellectual disabilities,Formación universitaria a jóvenes con discapacidad intelectual,Spain,01/09/2025,30/09/2026,85.0,60000.0,EUR,51000.0,https://linkedopendata.eu/entity/Q3134462,"40.2,-3.5",153.0,Pathways to integration and re-entry into employment for disadvantaged people,,,PO04,Social Europe,ESO4.8,ESO4.8,ESF+,European Social Fund Plus,2021ES05SFPR001,Youth Employment - ES - ESF+,,,,,,,,,,2021-2027,University training for young people with intellectual disabilities,Formación universitaria a jóvenes con discapacidad intelectual,,,,,ES
https://linkedopendata.eu/entity/Q7506921,2021ES05SFPR002_FD25ASAVIAC00001,"Strengthen the quality and extension of the Dual Vocational Training system in Spain by promoting, advising and supporting companies, especially SMEs","Fortalecer la calidad y la extensión del sistema de Formación Profesional Dual en España mediante la promoción, asesoramiento y apoyo a las empresas, especialmente pymes",Spain,01/01/2025,31/12/2025,60.0,23076.0,EUR,13845.6,https://linkedopendata.eu/entity/Q3134616,"40.2,-3.5",140.0,Support for labour market matching and transitions,,,PO04,Social Europe,ESO4.5,ESO4.5,ESF+,European Social Fund Plus,2021ES05SFPR002,"Employment, Education, Training and Social Economy - ES - ESF+",,,,,,,,,,2021-2027,"Strengthen the quality and extension of the Dual Vocational Training system in Spain by promoting, advising and supporting companies, especially SMEs","Fortalecer la calidad y la extensión del sistema de Formación Profesional Dual en España mediante la promoción, asesoramiento y apoyo a las empresas, especialmente pymes",,,,,ES
https://linkedopendata.eu/entity/Q7508975,2021ES05SFPR011_019/CET/STC047/23/000081,Facilitate the access of persons with disabilities hired in special work centers to a job in the ordinary company,Facilitar el acceso de las personas con discapacidad contratadas en centros especiales de trabajo a un puesto de trabajo en la empresa ordinaria,Spain,01/01/2023,31/12/2023,40.0,457673.0,EUR,183069.2,https://linkedopendata.eu/entity/Q7504934,"41.8375,1.5377777777778",152.0,Measures to promote equal opportunities and active participation in society,,,PO04,Social Europe,ESO4.8,ESO4.8,ESF+,European Social Fund Plus,2021ES05SFPR011,Cataluna - ESF+,,,,,Catalonia,,,ES51,,2021-2027,Facilitate the access of persons with disabilities hired in special work centers to a job in the ordinary company,Facilitar el acceso de las personas con discapacidad contratadas en centros especiales de trabajo a un puesto de trabajo en la empresa ordinaria,,,,,ES
https://linkedopendata.eu/entity/Q7507552,2021ES05SFPR003_FOP2648-202339C,Theoretical and on-the-job training for people with disabilities,Formación teórica y en puesto de trabajo para personas con discapacidad,Spain,02/01/2024,30/09/2024,85.0,40000.0,EUR,34000.0,https://linkedopendata.eu/entity/Q7504415,"40.2,-3.5",153.0,Pathways to integration and re-entry into employment for disadvantaged people,,,PO04,Social Europe,ESO4.8,ESO4.8,ESF+,European Social Fund Plus,2021ES05SFPR003,"Social Inclusion, Child Guarantee and Fight Against Poverty - ES - ESF+",,,,,,,,,,2021-2027,Theoretical and on-the-job training for people with disabilities,Formación teórica y en puesto de trabajo para personas con discapacidad,,,,,ES
https://linkedopendata.eu/entity/Q7505185,2021ES05SFPR001_EJ24-00278,Development of training pathways aimed at accredited training for young people enrolled in the National Youth Guarantee System,Desarrollo de itinerarios formativos orientados a la formación acreditada para jóvenes inscritos en el Sistema Nacional de Garantía Juvenil,Spain,12/03/2025,30/09/2029,85.0,350464.0,EUR,297894.4,https://linkedopendata.eu/entity/Q7503688,"40.2,-3.5",136.0,Specific support for youth employment and socio-economic integration of young people,,,PO04,Social Europe,ESO4.1,ESO4.1,ESF+,European Social Fund Plus,2021ES05SFPR001,Youth Employment - ES - ESF+,,,,,,,,,,2021-2027,Development of training pathways aimed at accredited training for young people enrolled in the National Youth Guarantee System,Desarrollo de itinerarios formativos orientados a la formación acreditada para jóvenes inscritos en el Sistema Nacional de Garantía Juvenil,,,,,ES
https://linkedopendata.eu/entity/Q7505826,2021ES05SFPR001_PC24PVVIXCP0001,PC24PVVIXCP0001,PC24PVVIXCP0001,Spain,01/01/2023,31/12/2025,40.0,322538.0,EUR,129015.2,https://linkedopendata.eu/entity/Q3138728,"40.2,-3.5",136.0,Specific support for youth employment and socio-economic integration of young people,,,PO04,Social Europe,ESO4.1,ESO4.1,ESF+,European Social Fund Plus,2021ES05SFPR001,Youth Employment - ES - ESF+,,,,,,,,,,2021-2027,Set of services developed by the Chambers for young beneficiaries of the SNGJ with the aim of preparing young people for their insertion into the world of work,Conjunto de servicios desarrollados por las Cámaras destinados a jóvenes beneficiarios del SNGJ con el objetivo de preparar a los jóvenes para su inserción en el mundo laboral,,,,,ES
https://linkedopendata.eu/entity/Q7507876,2021ES05SFPR003_II IN 210809 EN 104 FS01-2C,PROMOTING CONVIVENCE AND SOCIAL COHESION,PROMOVER LA CONVIVENCIA Y LA COHESIÓN SOCIAL,Spain,01/01/2022,31/12/2022,85.0,14875.0,EUR,12643.75,https://linkedopendata.eu/entity/Q7504519,"40.2,-3.5",156.0,Specific actions to increase participation of third-country nationals in employment,,,PO04,Social Europe,ESO4.9,ESO4.9,ESF+,European Social Fund Plus,2021ES05SFPR003,"Social Inclusion, Child Guarantee and Fight Against Poverty - ES - ESF+",,,,,,,,,,2021-2027,PROMOTING CONVIVENCE AND SOCIAL COHESION,PROMOVER LA CONVIVENCIA Y LA COHESIÓN SOCIAL,,,,,ES
https://linkedopendata.eu/entity/Q7508926,2021ES05SFPR011_019/CET/STC047/23/000067,Facilitate the access of persons with disabilities hired in special work centers to a job in the ordinary company,Facilitar el acceso de las personas con discapacidad contratadas en centros especiales de trabajo a un puesto de trabajo en la empresa ordinaria,Spain,01/01/2023,31/12/2023,40.0,97272.0,EUR,38908.8,https://linkedopendata.eu/entity/Q7504891,"41.8375,1.5377777777778",152.0,Measures to promote equal opportunities and active participation in society,,,PO04,Social Europe,ESO4.8,ESO4.8,ESF+,European Social Fund Plus,2021ES05SFPR011,Cataluna - ESF+,,,,,Catalonia,,,ES51,,2021-2027,Facilitate the access of persons with disabilities hired in special work centers to a job in the ordinary company,Facilitar el acceso de las personas con discapacidad contratadas en centros especiales de trabajo a un puesto de trabajo en la empresa ordinaria,,,,,ES
https://linkedopendata.eu/entity/Q7509018,2021ES05SFPR011_2024/008/ARIF/SOC0112024,"Improve the occupancy of the participants, facilitate their access to a job in the ordinary company and maintenance in it.","Mejorar la ocupabilidad de las personas participantes, facilitar su acceso a un puesto de trabajo en la empresa ordinaria y el mantenimiento en el mismo.",Spain,31/10/2024,30/10/2025,40.0,2535051.0,EUR,1014020.4,https://linkedopendata.eu/entity/Q7504662,"41.8375,1.5377777777778",134.0,Measures to improve access to employment,,,PO04,Social Europe,ESO4.1,ESO4.1,ESF+,European Social Fund Plus,2021ES05SFPR011,Cataluna - ESF+,,,,,Catalonia,,,ES51,,2021-2027,"Improve the occupancy of the participants, facilitate their access to a job in the ordinary company and maintenance in it.","Mejorar la ocupabilidad de las personas participantes, facilitar su acceso a un puesto de trabajo en la empresa ordinaria y el mantenimiento en el mismo.",,,,,ES
