Operation_Unique_Identifier,Operation_Local_Identifier,Operation_Name_English,Operation_Name_Programme_Language,Country,Operation_Start_Date,Operation_End_Date,Cofinancing_Rate,Total_Eligible_Expenditure_amount,Total_Eligible_Expenditure_Currency,Project_EU_Budget,Beneficiary_Unique_Identifier,Location_Indicator_latitude_longitude,Category_Of_Intervention,Category_Label,Thematic_Objective_ID,Thematic_Objective_Label,Policy_Objective_ID,Policy_Objective_Label,Specific_Objective_ID,Specific_Objective_Label,Fund_Code,Fund_Name,Programme_Code,Programme_Name,Postal_Code,LAU_IDs,LAU_Labels,NUTS1_Label,NUTS2_Label,NUTS3_Label,NUTS1_Code,NUTS2_Code,NUTS3_Code,Programming_Period,Operation_Summary_English,Operation_Summary_Programme_Language,ManagingAuthority,Image_URL,InfoRegio_ID,InfoRegio_URL,CountryCode
https://linkedopendata.eu/entity/Q7502698,2021HR05SFPR001_SF.3.4.11.01.0093,Hands Help - Phase 3,Ruke pomažu - faza 3,Croatia,01/03/2024,01/03/2027,85.0,540000.0,EUR,459000.0,https://linkedopendata.eu/entity/Q7501940,"45.37557,14.38382",159,Measures to enhancing the delivery of family and community-based care services,,,PO04,Social Europe,ESO4.11,ESO4.11,ESF+,European Social Fund Plus,2021HR05SFPR001,Efficient Human Resources – HR – ESF+,,HR_04952,Viškovo,,,Primorsko-goranska županija,,,HR031,2021-2027,"Overall objective: increasing social inclusion and preventing the institutionalisation of vulnerable groups by providing long-term care in the municipalities of Viškovo and Klana. Specific objective: providing support and support services in everyday life to the elderly and OSI in the municipalities of Viškovo and Klana. Activities: informing target groups about the possibility of inclusion in the project (radio, flyer, web page), employment of 12 people at 30 months. (6 persons in the municipality of Klana, 6 persons in the municipality of Viškovo) who will provide support and support in the daily life of 72 beneficiaries, procurement of basic hygiene supplies for the beneficiaries involved, monitoring and control of the services performed by the project team - project manager (Viškovo) and administrator (Klan).","Opći cilj: povećanje socijalne uključenosti i prevencija institucionalizacije ranjivih skupina osiguravanjem dugotrajne skrbi na području općina Viškovo i Klana. Specifični cilj: pružanje usluge potpore i podrške u svakodnevnom životu starijim osobama i OSI na području općina Viškovo i Klana. Aktivnosti: informiranje ciljanih skupina o mogućnosti uključivanja u projekt (radio, letak, web str.), zapošljavanje 12 osoba na 30 mj. (6 osoba u općini Klana, 6 osoba u općini Viškovo) koje će pružati potporu i podršku u svakodnevnom životu 72 korisnika, nabavka osnovnih higijenskih potrepština za uključene korisnike, praćenje i kontrola izvršenih usluga od strane projektnog tima - voditelja projekta (Viškovo) i administratora (Klana).",,,,,HR
https://linkedopendata.eu/entity/Q7503014,2021HR16FFPR001_PK.6.4.01.0001,Nedelišće Cultural Centre,Centar kulture Nedelišće,Croatia,30/01/2025,31/12/2027,85.0,4115984.52,EUR,3498586.83,https://linkedopendata.eu/entity/Q2761902,"46.4061943,16.5472278",166,"Protection, development and promotion of cultural heritage and cultural services",,,PO04,Social Europe,RSO4.6,RSO4.6,ERDF,European Regional Development Fund,2021HR16FFPR001,Competitiveness and cohesion – HR – CF/ERDF,,,,,,Međimurska županija,,,HR061,2021-2027,"The aim of the project ""Culture Centre Nedelišće"" is to contribute to the increase of cultural activity in the municipality of Nedelišće through the introduction of innovative services in culture for the population and through the preservation of culture, tradition and heritage of the local population to contribute to better social inclusion, attractiveness of the area as a place for a pleasant life and work, especially for young families. The central problem identified in this project proposal is the lack of space and services in the community that would encourage the local population, people of the third age, members of the Roma national minority, children and young people, Croatian war veterans and victims of the Homeland War, artists and the general public to increase social engagement in the field of cultural activities.","Cilj projekta „Centar kulture Nedelišće“ je doprinijeti povećanju kulturne djelatnosti u općini Nedelišće kroz uvođenje inovativnih usluga u kulturi za stanovništvo te kroz očuvanje kulture, tradicije i baštine lokalnog stanovništva doprinijeti boljoj socijalnoj uključenosti, atraktivnosti područja kao mjesta za ugodan život i rad, posebice za mlade obitelji. Središnji problem koji je identificiran u ovom projektnom prijedlogu je nedostatak prostora i usluga u zajednici koje bi potaknule lokalno stanovništvo, osobe treće životne dobi, pripadnike romske nac. manjine, djecu i mlade, hrv. branitelje i stradalnike Domovinskog rata, umjetnike i širu javnost na veći socijalni angažman u području kulturnih djelatnosti.",,,,,HR
https://linkedopendata.eu/entity/Q7503345,2021HR16FFPR001_PK.6.1.01.0122,Construction of a kindergarten in Karakasica,Izgradnja dječjeg vrtića u Karakašici,Croatia,26/08/2025,01/09/2028,33.36,1732770.49,EUR,577999.99,https://linkedopendata.eu/entity/Q2761036,"43.166666666667,16.5",121,Infrastructure for early childhood education and care,,,PO04,Social Europe,RSO4.2,RSO4.2,ERDF,European Regional Development Fund,2021HR16FFPR001,Competitiveness and cohesion – HR – CF/ERDF,,,,,,Split-Dalmatia County,,,HR035,2021-2027,"The implementation of the project Construction of a kindergarten in Karakasica will build and equip a new kindergarten facility for 4 new day stays (2 day stays for the nursery group, 2 day stays for the kindergarten group) for 64 children, which will create infrastructural and material capacities for the availability and provision of inclusive service in early childhood education and care (RPOO) in a smaller rural environment that will increase the participation of vulnerable groups in the RPOO, ensure quality socialization and psychophysical development of children, increase the employment rate, as well as the overall improvement of living conditions of children, parents and the total population of the City of Sinj. The planned services will also result in the recruitment of 13 employees.","Provedbom projekta Izgradnja dječjeg vrtića u Karakašici izgradit će se i opremiti novi objekt vrtića za 4 nova dnevna boravka (2 dnevna boravka za jasličku skupinu, 2 dnevna boravka za vrtićku skupinu) za 64 djece, čime će se stvoriti infrastrukturni i materijalni kapaciteti za dostupnost i pružanje inkluzivne usluge u ranom predškolskom odgoju i obrazovanju (RPOO) u manjoj ruralnoj sredini kojim će se povećati sudjelovanje ranjivih skupina u RPOO, osiguranje kvalitetne socijalizacije i psihofizičkog razvoja djece, povećanja stope zaposlenosti, kao i ukupno poboljšanje životnih uvjeta djece, roditelja i ukupnog stanovništva Grada Sinja. Planirane usluge rezultirat će i zapošljavanjem 13 djelatnika.",,,,,HR
https://linkedopendata.eu/entity/Q7502988,2021HR16FFPR001_PK.3.5.05.0001,Wastewater drainage and treatment system of the Agglomeration of Velika Gorica – Phase 2,Sustav odvodnje i pročišćavanja otpadnih voda Aglomeracije Velika Gorica – faza 2,Croatia,30/10/2024,30/06/2027,64.15,31250392.84,EUR,20047385.82,https://linkedopendata.eu/entity/Q2764343,"45.7017634,16.2347136",065,Waste water collection and treatment,,,PO02,"Greener, carbon-free Europe",RSO2.5,RSO2.5,CF,Cohesion Fund,2021HR16FFPR001,Competitiveness and cohesion – HR – CF/ERDF,,,,,,Zagrebačka županija,,,HR065,2021-2027,"The GREEN GORICA WASTE WASTE WATER SYSTEM SYSTEM includes the necessary investments in the sewage and wastewater treatment system in the Velika Gorica area for the purpose of meeting the requirements and in order to comply with the Urban Waste Water Treatment Directive 91/271/EEC. The project consists of two phases. • Phase 1 of the project includes investment investments within the OPKK 2014-2020 financial period. • Phase 2 of the project covers investment investments within the financial period of the PKK 2021-2027. Phase 2 consists of: • Upgrade of the UPOV, in accordance with the prescribed level of purification (74.000 ES, III. degree).","Projekt SUSTAV ODVODNJE I PROČIŠĆAVANJA OTPADNIH VODA AGLOMERACIJE VELIKA GORICA uključuje potrebna ulaganja u sustav odvodnje i pročišćavanja otpadnih voda na području Velike Gorice u svrhu ispunjavanja uvjeta i s ciljem usklađivanja s Direktivom o pročišćavanju komunalnih otpadnih voda 91/271/EEZ. Projekt se sastoji od dvije faze. • 1.faza projekta obuhvaća investicijska ulaganja unutar financijskog razdoblja OPKK 2014-2020. • 2.faza projekta obuhvaća investicijska ulaganja unutar financijskog razdoblja PKK 2021-2027. 2.faza se sastoji od: • Nadogradnja UPOV-a, sukladno propisanoj razini pročišćavanja (74.000 ES, III. stupanj).",,,,,HR
https://linkedopendata.eu/entity/Q7502991,2021HR16FFPR001_PK.1.3.03.0001,Loans for the modernization of production,Krediti za modernizaciju proizvodnje,Croatia,29/11/2024,,53.27,79756485.96,EUR,42487100.0,https://linkedopendata.eu/entity/Q2758340,"45.25,15.466667",021,"SME business development and internationalisation, including productive investments",,,PO01,Smarter Europe,RSO1.3,RSO1.3,ERDF,European Regional Development Fund,2021HR16FFPR001,Competitiveness and cohesion – HR – CF/ERDF,,,,,,,,,,2021-2027,"The aim of this financial instrument is to stimulate the productivity and competitiveness of micro, small and medium-sized enterprises by providing more favourable financing conditions for investments that contribute to the goals of the digital transformation of businesses and enterprises.","Cilj ovog financijskog instrumenta je poticanje produktivnosti i konkurentnosti mikro, malih i srednjih poduzetnika kroz omogućavanje povoljnijih uvjeta financiranja investicija kojima se pridonosi ciljevima digitalne transformacije poslovanja i poduzeća.",,,,,HR
https://linkedopendata.eu/entity/Q7502538,2021HR05SFPR001_SF.2.4.06.04.0060,the Da Vinci Laboratory,Da Vincijev laboratorij,Croatia,12/03/2025,12/03/2028,85.0,296552.84,EUR,252069.91,https://linkedopendata.eu/entity/Q7501860,"45.81444,15.97798",149,Support for primary to secondary education (excluding infrastructure),,,PO04,Social Europe,ESO4.6,ESO4.6,ESF+,European Social Fund Plus,2021HR05SFPR001,Efficient Human Resources – HR – ESF+,,HR_01333,Grad Zagreb,,,Grad Zagreb,,,HR041|HR050,2021-2027,"The project ""Da Vinci Lab"" includes scientific-popular events consisting of a theoretical and practical part. In the theoretical part, the participants learn about Leonardo da Vinci's life and discoveries, his paintings such as Vitruvius' man and key inventions such as the bird wing plane, perpetuum mobile, catapult, tank and bicycle. In the practical part, they use 3D pencils to make replicas of Vitruvius man and plane and construct a catapult. Participants retain their work. Finally, with the help of VR glasses, they explore virtual reconstructions of space or historic cities such as Florence. Workshops also cover the basics of VR and AR, hardware and software, design of VR/AR experiences, applications in STEM education, ethics.","Projekt ""Da Vincijev laboratorij"" obuhvaća znanstveno-popularna događanja koja se sastoje od teoretskog i praktičnog dijela. U teoretskom dijelu, sudionici se upoznaju sa životom i otkrićima Leonarda da Vincija, njegovim slikarskim djelima poput Vitruvijevog čovjeka te ključnim izumima kao što su avion s ptičjim krilima, perpetuum mobile, katapult, tenk i bicikl. U praktičnom dijelu koriste 3D olovke za izradu replika Vitruvijevog čovjeka i aviona te konstruiraju katapult. Sudionici zadržavaju svoje radove. Na kraju, uz pomoć VR naočala, istražuju virtualne rekonstrukcije svemira ili povijesnih gradova poput Firence. Radionice također pokrivaju osnove VR-a i AR-a, hardver i softver, dizajn VR/AR iskustava, primjene u STEM edukaciji, etiku.",,,,,HR
https://linkedopendata.eu/entity/Q7503404,2021HR16FFPR002_IP.2.1.07.0003,Construction of a bicycle-pedestrian path in the streets of A. Šenoe and V. Nazor in Koprivnica Bregim,Izgradnja biciklističko-pješačke staze u ulicama A. Šenoe i V. Nazora u Koprivničkim Bregima,Croatia,29/11/2024,29/11/2025,85.0,551718.0,EUR,468960.3,https://linkedopendata.eu/entity/Q7502349,"46.1254508,16.8221278",083,Cycling infrastructure,,,PO02,"Greener, carbon-free Europe",RSO2.8,RSO2.8,ERDF,European Regional Development Fund,2021HR16FFPR002,Integrated territorial programme – HR – ERDF/JTF,,,,,,Koprivničko-križevačka županija,,,HR063,2021-2027,"The project ‘Building a cycling-pedestrian path in the streets of A. Šenoa and V. Nazor in Koprivnički Bregim’ will combine the two existing cycling-pedestrian paths that will form a whole, thus solving the problem of an unsafe road that poses a danger to all road users. The road leads to the center of the settlement and all important facilities, and on the other side to the road that connects the settlement with the city of Koprivnica and it moves a large number of vehicles, agricultural machines, but also pedestrians and cyclists. The target group of the project is all residents of the village of Koprivnički Bregi, who pass the road on a daily basis, and who will use bicycles more as zero-carbon vehicles with the realization of the project.","Projektom „Izgradnje biciklističko-pješačke staze u ulicama A. Šenoe i V. Nazora u Koprivničkim Bregima“ spojit će se dvije postojeće biciklističko-pješačke staze koje će zajedno činiti cjelinu, čime će se riješiti problem nesigurne prometnice koja predstavlja opasnost za sve sudionike u prometu. Prometnica vodi prema središtu naselja i svim bitnim sadržajima, a s druge strane prema cesti koja spaja naselje s gradom Koprivnicom te se njome kreće velik broj vozila, poljoprivrednih strojeva, ali i pješaka i biciklista. Ciljnu skupinu projekta čine svi stanovnici naselja Koprivnički Bregi, koji svakodnevno prolaze prometnicom, a koji će realizacijom predmetnog projekta više upotrebljavati bicikle kao vozila s nultom stopom emisije ugljika.",,,,,HR
https://linkedopendata.eu/entity/Q7502721,2021HR05SFPR001_SF.3.4.11.01.0137,WANTS - GENERAL LOVAS - PHASE IV.,ZAŽELI - OPĆINA LOVAS - FAZA IV.,Croatia,14/02/2024,14/02/2027,85.0,1089000.0,EUR,925650.0,https://linkedopendata.eu/entity/Q7501964,"45.2260059,19.168701",159,Measures to enhancing the delivery of family and community-based care services,,,PO04,Social Europe,ESO4.11,ESO4.11,ESF+,European Social Fund Plus,2021HR05SFPR001,Efficient Human Resources – HR – ESF+,,HR_02399,Lovas,,,Vukovarsko-srijemska županija,,,HR026,2021-2027,"The objectives of the project are to increase social inclusion and prevent the institutionalization of vulnerable groups in the territory of the municipality of Lovas. The realization of the goals will be enabled by providing support and support services in everyday life for the elderly and people with disabilities. The main activities relate to the provision of support and support services in everyday life as well as the provision of long-term care. Activities are related to the provision of support and support services to persons over 65 years of age and adults with disabilities, related to the organization of food, performed household chores, maintaining personal hygiene and meeting other needs with the distribution of packages of necessities on a monthly basis.","Ciljevi projekta su povećanje socijalne uključenosti i prevencija institucionalizacije ranjivih skupina na području općine Lovas. Realizacija ciljeva omogućit će se pružanjem usluge potpore i podrške u svakodnevnom životu starijim osobama i osobama s invaliditetom. Glavne aktivnosti se odnose na pružanje usluge potpore i podrške u svakodnevnom životu kao i osiguranje dugotrajne skrbi. Aktivnosti se odnose na pružanje usluge potpore i podrške osobama starijim od 65 godina i odraslim osobama s invaliditetom, a koje se odnose na organiziranje prehrane, obavljane kućanskih poslova, održavanje osobne higijene te zadovoljenje drugih potreba uz podjelu paketa potrepština na mjesečnoj razini.",,,,,HR
https://linkedopendata.eu/entity/Q7503394,2021HR16FFPR002_IP.2.1.04.0001,Construction of a walking and cycling trail in Ivana Brlić Mažuranić Street in Ruščica,Izgradnja pješačke i biciklističke staze u Ulici Ivane Brlić Mažuranić u Ruščici,Croatia,15/11/2024,01/09/2025,85.0,451954.96,EUR,384161.71,https://linkedopendata.eu/entity/Q2762663,"45.1613948,17.8254972",083,Cycling infrastructure,,,PO02,"Greener, carbon-free Europe",RSO2.8,RSO2.8,ERDF,European Regional Development Fund,2021HR16FFPR002,Integrated territorial programme – HR – ERDF/JTF,,,,,,Brodsko-posavska županija,,,HR024,2021-2027,"The aim of the project is to build a pedestrian-cycling trail in Ivana Brlić Mažuranić Street in Ruščica in order to improve the safety of all road users, provide better connections on the daily migration line between Klakar Municipality, neighbouring municipalities and Slavonski Brod, and reduce pollutant emissions. In the street there is a regional school and a football stadium and it is the main link between the Municipality of Klakar and Slavonski Brod. Given the inadequacy of the existing infrastructure, there is a high risk of endangerment of all transport stakeholders, and the implementation of the proposed project will largely mitigate it. The target groups of the project are children, parents of young children, local population, recreational cyclists and cyclotourists.","Cilj projekta je izgradnja pješačko-biciklističke staze u Ulici Ivane Brlić Mažuranić u Ruščici kako bi se unaprijedila sigurnost svih sudionika u prometu, omogućila bolja povezanost na liniji dnevnih migracija između Općine Klakar, susjednih općina i Slavonskog broda te smanjile emisije onečišćujućih tvari. U ulici se nalazi područna škola i nogometni stadion te je upravo ona glavna poveznica između Općine Klakar i Slavonskog broda. S obzirom na neadekvatnost postojeće infrastrukture, izražen je visok rizik ugroženost svih dionika u prometu, te će se isti provedbom predloženog projekta u znatnoj mjeri mitigirati. Ciljne skupine projekta su djeca, roditelji male djece, lokalno stanovništvo, rekreativni biciklisti i cikloturisti.",,,,,HR
https://linkedopendata.eu/entity/Q7502536,2021HR05SFPR001_SF.2.4.06.04.0058,SKIIZ - STEM Through Game and Entertainment,SKIIZ – STEM Kroz Igru i Zabavu,Croatia,12/03/2025,12/03/2028,85.0,291409.86,EUR,247698.38,https://linkedopendata.eu/entity/Q7501859,"45.81444,15.97798",149,Support for primary to secondary education (excluding infrastructure),,,PO04,Social Europe,ESO4.6,ESO4.6,ESF+,European Social Fund Plus,2021HR05SFPR001,Efficient Human Resources – HR – ESF+,,HR_01333,Grad Zagreb,,,Grad Zagreb,,,HR041|HR050,2021-2027,"The project to strengthen the capacity of civil society organisations to promote STEM reflects the medium-term vision of the National Education Plan until 2027. Problems in early childhood education, vocational education and the use of digital technologies were identified. The project proposes a holistic approach to the popularization of STEM through cooperation between CSOs, schools and scientific institutions, strengthening teachers' capacities and promoting STEM knowledge among 930 children and dozens of teachers. It will include 4 schools, 1 kindergarten, 370+ workshops and 36+ public events with the aim of creating an inclusive STEM community that will stimulate interest and further education of children and teachers.","Projekt za jačanje kapaciteta organizacija civilnoga društva u promociji STEM-a odražava srednjoročnu viziju Nacionalnog plana obrazovanja do 2027. Identificirani su problemi u ranih i predškolskim odgoju, strukovnom obrazovanju te primjeni digitalnih tehnologija. Projekt predlaže holistički pristup popularizaciji STEM-a kroz suradnju OCD-a, škola i znanstvenih institucija, ojačavajući kapacitete učitelja te promičući STEM znanja među 930 djece i desecima učitelja. Obuhvatit će 4 škole, 1 vrtić, 370+ radionica i 36+ javnih događanja s ciljem stvaranja inkluzivne STEM zajednice koja će potaknuti interes i daljnje obrazovanje djece i učitelja.",,,,,HR
