Operation_Unique_Identifier,Operation_Local_Identifier,Operation_Name_English,Operation_Name_Programme_Language,Country,Operation_Start_Date,Operation_End_Date,Cofinancing_Rate,Total_Eligible_Expenditure_amount,Total_Eligible_Expenditure_Currency,Project_EU_Budget,Beneficiary_Unique_Identifier,Location_Indicator_latitude_longitude,Category_Of_Intervention,Category_Label,Thematic_Objective_ID,Thematic_Objective_Label,Policy_Objective_ID,Policy_Objective_Label,Specific_Objective_ID,Specific_Objective_Label,Fund_Code,Fund_Name,Programme_Code,Programme_Name,Postal_Code,LAU_IDs,LAU_Labels,NUTS1_Label,NUTS2_Label,NUTS3_Label,NUTS1_Code,NUTS2_Code,NUTS3_Code,Programming_Period,Operation_Summary_English,Operation_Summary_Programme_Language,ManagingAuthority,Image_URL,InfoRegio_ID,InfoRegio_URL,CountryCode
https://linkedopendata.eu/entity/Q7361374,2021IE16JTPR001_41694,Tourism Learning Network Programme,Tourism Learning Network Programme,Ireland,08/01/2024,31/10/2026,50.0,0.0,EUR,0.0,https://linkedopendata.eu/entity/Q7361272,"53.176199987311,-6.947392978892|53.5577902,-7.3478558|52.9984575,-7.3980338|53.750748873561,-7.8038658267196|53.1361722,-7.8103408|52.4734839,-8.1614446|53.728973746337,-8.3626566419304|53.2744122,-9.0490601",21,"SME business development and internationalisation, including productive investments",,,PO08,Just Transition,JTF,JTF,JTF,Just Transition Fund,2021IE16JTPR001,Just Transition - IE – JTF,,IE_13190401|IE_01360421|IE_13210404|IE_01380404|IE_13100401|IE_13130402|IE_13180400|IE_13230403,Roscommon|Galway City Central|Cashel-Tipperary|Kildare|Portlaoise|Longford|Birr|Mullingar,,,"Mid-West Region|Midlands Region|West Region, Ireland|Mid-East Region, Ireland",,,IE051|IE012|IE063|IE042|IE062,2021-2027,Tourism Learning Network,Tourism Learning Network,,,,,IE
https://linkedopendata.eu/entity/Q7361313,2021IE16JTPR001_40995,Migrant Traineeship and English language to meet Construction Skills Gaps,Migrant Traineeship and English language to meet Construction Skills Gaps,Ireland,01/04/2024,28/02/2026,50.0,999791.0,EUR,499895.5,https://linkedopendata.eu/entity/Q7361225,"52.4734839,-8.1614446",169,"Territorial development initiatives, including preparation of territorial strategies",,,PO08,Just Transition,JTF,JTF,JTF,Just Transition Fund,2021IE16JTPR001,Just Transition - IE – JTF,,IE_13210404,Cashel-Tipperary,,,Mid-West Region,,,IE051,2021-2027,"To fund Migrant Traineeship and English language to meet Construction Skills Gaps. The applicant will develop a Pre-Apprenticeship programme to respond to construction skills shortages. The applicant will train the workforce that is available through the International Protection and Beneficiaries of Temporary protection (BoTP) that are resident in the Just Transition Area of Thurles MD and Carrick-on-Suir MD. Training programmes will include ESOL English language and construction traineeship which includes wrap around support of mentoring and job placement. The project is being led by the Tipperary Education Board in partnership with Tipperary County Council, and in consultation with the Construction Industry Federation of Ireland and North Tipperary Development Company (NTDC).","To fund Migrant Traineeship and English language to meet Construction Skills Gaps. The applicant will develop a Pre-Apprenticeship programme to respond to construction skills shortages. The applicant will train the workforce that is available through the International Protection and Beneficiaries of Temporary protection (BoTP) that are resident in the Just Transition Area of Thurles MD and Carrick-on-Suir MD. Training programmes will include ESOL English language and construction traineeship which includes wrap around support of mentoring and job placement. The project is being led by the Tipperary Education Board in partnership with Tipperary County Council, and in consultation with the Construction Industry Federation of Ireland and North Tipperary Development Company (NTDC).",,,,,IE
https://linkedopendata.eu/entity/Q7361395,2021IE16RFPR002_32032,CREDIT,CREDIT,Ireland,01/05/2023,31/12/2029,40.0,1941866.0,EUR,776746.4,https://linkedopendata.eu/entity/Q2531998,"53.3979685,-7.0276759",12,"Research and innovation activities in public research centres, higher education and centres of competence including networking (industrial research, experimental development, feasibility studies)",,,PO01,Smarter Europe,RSO1.1,RSO1.1,ERDF,European Regional Development Fund,2021IE16RFPR002,"Southern, Eastern and Midland - IE – ERDF",,,,,Eastern and Midland,,,IE06,,2021-2027,"The CREDIT Technology Gateway is a Wind & Distributed Energy, Zero Carbon & Energy Optimisation and Energy Integration research group that applies emerging technologies, expertise and specialist knowledge across the energy and renewables sector to help innovative businesses and companies succeed in the introduction of new and improved processes, products and services. This operation will fund personnel in the Gateway whose role it is to increase the level of engagement with industry.","The CREDIT Technology Gateway is a Wind & Distributed Energy, Zero Carbon & Energy Optimisation and Energy Integration research group that applies emerging technologies, expertise and specialist knowledge across the energy and renewables sector to help innovative businesses and companies succeed in the introduction of new and improved processes, products and services. This operation will fund personnel in the Gateway whose role it is to increase the level of engagement with industry.",,,,,IE
https://linkedopendata.eu/entity/Q7361352,2021IE16JTPR001_42436,Greenway Animation and Interpretation - Royal Canal Greenway,Greenway Animation and Interpretation - Royal Canal Greenway,Ireland,01/07/2024,01/08/2026,50.0,487500.0,EUR,243750.0,https://linkedopendata.eu/entity/Q7361259,"53.176199987311,-6.947392978892|53.750748873561,-7.8038658267196",21,"SME business development and internationalisation, including productive investments",,,PO08,Just Transition,JTF,JTF,JTF,Just Transition Fund,2021IE16JTPR001,Just Transition - IE – JTF,,IE_01380404|IE_13130402,Kildare|Longford,,,"Midlands Region|Mid-East Region, Ireland",,,IE012|IE063|IE062,2021-2027,"The project is for the enhancement of 130km the Royal Canal Greenway from Maynooth to Longford town and Cloondara covering four counties, three of which are in the JTF territory*. This project will build on the previous €12m investment, to provide interpretation signage, signature points, and waymarking, differentiating it from other greenways","The project is for the enhancement of 130km the Royal Canal Greenway from Maynooth to Longford town and Cloondara covering four counties, three of which are in the JTF territory*. This project will build on the previous €12m investment, to provide interpretation signage, signature points, and waymarking, differentiating it from other greenways",,,,,IE
https://linkedopendata.eu/entity/Q7361458,2021IE16RFPR002_44006,Greentech HQ SMART Regions Stream 3,Greentech HQ SMART Regions Stream 3,Ireland,18/11/2024,18/11/2027,40.0,992000.0,EUR,396800.0,https://linkedopendata.eu/entity/Q7361303,"53.41291,-8.24389",26,"Support for innovation clusters including between businesses, research organisations and public authorities and business networks primarily benefiting SMEs",,,PO01,Smarter Europe,RSO1.3,RSO1.3,ERDF,European Regional Development Fund,2021IE16RFPR002,"Southern, Eastern and Midland - IE – ERDF",,,,,Southern,,,IE05,,2021-2027,To deliver business development programmes to support SMEs in the Southeast to implement growth and sustainability strategies,To deliver business development programmes to support SMEs in the Southeast to implement growth and sustainability strategies,,,,,IE
https://linkedopendata.eu/entity/Q7361494,2021IE16RFPR001_42951,Leitrim Economic Growth and Capital Development,Leitrim Economic Growth and Capital Development,Ireland,25/09/2024,25/09/2025,60.0,32400.0,EUR,19440.0,https://linkedopendata.eu/entity/Q7361479,"53.963472222222,-7.3574444444444",26,"Support for innovation clusters including between businesses, research organisations and public authorities and business networks primarily benefiting SMEs",,,PO01,Smarter Europe,RSO1.3,RSO1.3,ERDF,European Regional Development Fund,2021IE16RFPR001,Northern and Western - IE – ERDF,,,,,,Border Region,,,IE041,2021-2027,To undertake Feasibility Study to examine potential for development of a state-of-the-art Smart Technology Platform at Carrick on Shannon Business Campus,To undertake Feasibility Study to examine potential for development of a state-of-the-art Smart Technology Platform at Carrick on Shannon Business Campus,,,,,IE
https://linkedopendata.eu/entity/Q7361321,2021IE16JTPR001_41182,Rathcroghan Heritage Farming Project,Rathcroghan Heritage Farming Project,Ireland,01/05/2024,31/03/2026,50.0,886634.0,EUR,443317.0,https://linkedopendata.eu/entity/Q7361231,"53.728973746337,-8.3626566419304",169,"Territorial development initiatives, including preparation of territorial strategies",,,PO08,Just Transition,JTF,JTF,JTF,Just Transition Fund,2021IE16JTPR001,Just Transition - IE – JTF,,IE_13190401,Roscommon,,,"West Region, Ireland",,,IE042,2021-2027,"Rathcroghan is a world class archaeological landscape situated in County Roscommon with 240 archaeological monuments, 70 of which are national monuments and is one of the best-preserved Royal landscapes in Ireland. The site is currently part of a serial nomination for inscription to the UNESCO World Heritage Site (WHS) list.","Rathcroghan is a world class archaeological landscape situated in County Roscommon with 240 archaeological monuments, 70 of which are national monuments and is one of the best-preserved Royal landscapes in Ireland. The site is currently part of a serial nomination for inscription to the UNESCO World Heritage Site (WHS) list.",,,,,IE
https://linkedopendata.eu/entity/Q7361424,2021IE16RFPR002_41047,"John's Quay, Kilkenny - THRIVE Strand One","John's Quay, Kilkenny - THRIVE Strand One",Ireland,01/06/2024,30/06/2025,40.0,200000.0,EUR,80000.0,https://linkedopendata.eu/entity/Q7361280,"53.41291,-8.24389",169,"Territorial development initiatives, including preparation of territorial strategies",,,PO05,Europe closer to citizens,RSO5.1,RSO5.1,ERDF,European Regional Development Fund,2021IE16RFPR002,"Southern, Eastern and Midland - IE – ERDF",,,,,Southern,,,IE05,,2021-2027,"Kilkenny County Council was awarded €200,000 under THRIVE Strand 1. This funding will be utilised to create a new integrated urban strategy for John’s Quay/John Street Kilkenny, to identify a pipeline of projects for regeneration and to bring one project to a stage of readiness to be included in a THRIVE Strand 2 application. A Town Team will be established for Kilkenny and stakeholder and citizen engagement will align with the Town Centre First framework which will be multi-disciplinary, participatory and community led. Buildings surveys, underground utility survey, conservation and heritage surveys, traffic & parking survey, archaeological impact assessment, environmental impact assessment and appropriate assessment screening will be conducted for a selected heritage building project to ensure this project is investment ready and can be included within a THRIVE Strand 2 application.","Kilkenny County Council was awarded €200,000 under THRIVE Strand 1. This funding will be utilised to create a new integrated urban strategy for John’s Quay/John Street Kilkenny, to identify a pipeline of projects for regeneration and to bring one project to a stage of readiness to be included in a THRIVE Strand 2 application. A Town Team will be established for Kilkenny and stakeholder and citizen engagement will align with the Town Centre First framework which will be multi-disciplinary, participatory and community led. Buildings surveys, underground utility survey, conservation and heritage surveys, traffic & parking survey, archaeological impact assessment, environmental impact assessment and appropriate assessment screening will be conducted for a selected heritage building project to ensure this project is investment ready and can be included within a THRIVE Strand 2 application.",,,,,IE
https://linkedopendata.eu/entity/Q7361402,2021IE16RFPR002_33767,SETU KT Boost,SETU KT Boost,Ireland,01/01/2024,31/12/2027,40.0,1591067.0,EUR,636426.8,https://linkedopendata.eu/entity/Q7361276,"53.41291,-8.24389",28,"Technology transfer and cooperation between enterprises, research centres and higher education sector",,,PO01,Smarter Europe,RSO1.1,RSO1.1,ERDF,European Regional Development Fund,2021IE16RFPR002,"Southern, Eastern and Midland - IE – ERDF",,,,,Southern,,,IE05,,2021-2027,"To further the development of the capacity and capability in South East Technological University to support knowledge and technology transfer and associated outcomes, increase knowledge transfer outcomes within the sector and enhance associated operational quality across the sector.","To further the development of the capacity and capability in South East Technological University to support knowledge and technology transfer and associated outcomes, increase knowledge transfer outcomes within the sector and enhance associated operational quality across the sector.",,,,,IE
https://linkedopendata.eu/entity/Q7361393,2021IE16RFPR002_32035,CREST,CREST,Ireland,01/05/2023,31/12/2029,40.0,2163000.0,EUR,865200.0,https://linkedopendata.eu/entity/Q7361277,"53.3979685,-7.0276759",12,"Research and innovation activities in public research centres, higher education and centres of competence including networking (industrial research, experimental development, feasibility studies)",,,PO01,Smarter Europe,RSO1.1,RSO1.1,ERDF,European Regional Development Fund,2021IE16RFPR002,"Southern, Eastern and Midland - IE – ERDF",,,,,Eastern and Midland,,,IE06,,2021-2027,"The CREST Gateway, based in TU Dublin, delivers coatings innovation solutions for industry in the engineering, construction, healthcare and biomedical industries. This operation will fund personnel in the Gateway whose role it is to increase the level of engagement with industry.","The CREST Gateway, based in TU Dublin, delivers coatings innovation solutions for industry in the engineering, construction, healthcare and biomedical industries. This operation will fund personnel in the Gateway whose role it is to increase the level of engagement with industry.",,,,,IE
