Operation_Unique_Identifier,Operation_Local_Identifier,Operation_Name_English,Operation_Name_Programme_Language,Country,Operation_Start_Date,Operation_End_Date,Cofinancing_Rate,Total_Eligible_Expenditure_amount,Total_Eligible_Expenditure_Currency,Project_EU_Budget,Beneficiary_Unique_Identifier,Location_Indicator_latitude_longitude,Category_Of_Intervention,Category_Label,Thematic_Objective_ID,Thematic_Objective_Label,Policy_Objective_ID,Policy_Objective_Label,Specific_Objective_ID,Specific_Objective_Label,Fund_Code,Fund_Name,Programme_Code,Programme_Name,Postal_Code,LAU_IDs,LAU_Labels,NUTS1_Label,NUTS2_Label,NUTS3_Label,NUTS1_Code,NUTS2_Code,NUTS3_Code,Programming_Period,Operation_Summary_English,Operation_Summary_Programme_Language,ManagingAuthority,Image_URL,InfoRegio_ID,InfoRegio_URL,CountryCode
https://linkedopendata.eu/entity/Q7428465,2021LT16FFPR001_02-011-K-0013,UAB ABC Nordic 550 kW RES,UAB „ABC Nordic“ 550 kW AEI,Lithuania,16/08/2023,30/06/2024,54.26,391622.78,EUR,212505.0,https://linkedopendata.eu/entity/Q4217197,"55.1405549,24.3381715",48,Renewable energy: solar,,,PO02,"Greener, carbon-free Europe",RSO2.2,RSO2.2,ERDF,European Regional Development Fund,2021LT16FFPR001,EU Funds’ Investments – LT – ERDF/ESF+/CF/JTF,,LT_46,Jonavos rajono savivaldybė,,,Kauno apskritis,,,LT022,2021-2027,Increase the production of RES in final energy consumption.,Didinti AEI dalies gamybą galutiniame energijos vartojime.,,,,,LT
https://linkedopendata.eu/entity/Q7429831,2021LT16FFPR001_02-040-K-0020,"MB ""Tree Design"" service design development and implementation and implementation of non-technological process and organizational innovations increasing integration into international value chains","MB ""Medžio dizainas“ paslaugos dizainų kūrimas ir diegimas ir netechnologinių proceso ir organizacines inovacijas diegimas didinantis integraciją į tarptautinės vertės grandines",Lithuania,11/11/2024,11/11/2026,50.0,127116.0,EUR,63558.0,https://linkedopendata.eu/entity/Q7428255,"54.8986536,23.9071189",28,"Technology transfer and cooperation between enterprises, research centres and higher education sector",,,PO01,Smarter Europe,RSO1.1,RSO1.1,ERDF,European Regional Development Fund,2021LT16FFPR001,EU Funds’ Investments – LT – ERDF/ESF+/CF/JTF,,LT_19,Kauno miesto savivaldybė,,,Kauno apskritis,,,LT022,2021-2027,"The aim of the project is to create MB Wood Design service design, process and organizational innovations, thus increasing the company's export volumes and involvement in international value chains.","Projekto tikslas - sukurti MB Medžio dizainas paslaugos dizainą, proceso ir organizacines inovacijas, taip didinant įmonės eksporto apimtis ir įsitraukimą į tarptautinės vertės grandines.",,,,,LT
https://linkedopendata.eu/entity/Q7428887,2021LT16FFPR001_02-020-K-0036,R&D for the development of a robotic system for neurovascular interventions,Neurovaskulinėms intervencijoms skirtos robotinės sistemos sukūrimo MTEP,Lithuania,10/06/2024,10/06/2026,65.93,3030980.72,EUR,1998207.55,https://linkedopendata.eu/entity/Q3820740,"54.8986536,23.9071189",10,"Research and innovation activities in SMEs, including networking",,,PO01,Smarter Europe,RSO1.1,RSO1.1,ERDF,European Regional Development Fund,2021LT16FFPR001,EU Funds’ Investments – LT – ERDF/ESF+/CF/JTF,,LT_19,Kauno miesto savivaldybė,,,Kauno apskritis,,,LT022,2021-2027,The aim of the project is to develop a robotic system for neurovascular interventions.,Projekto tikslas – sukurti neurovaskulinėms intervencijoms skirtą robotinę sistemą.,,,,,LT
https://linkedopendata.eu/entity/Q7429138,2021LT16FFPR001_02-033-K-0247,"Digitalization of UAB ""DM FIX""","UAB ""DM FIX"" skaitmeninimas",Lithuania,22/05/2024,31/05/2025,50.0,49241.4,EUR,24620.7,https://linkedopendata.eu/entity/Q7427929,"55.8979712,23.3471005",13,"Digitising SMEs (including e-Commerce, e-Business and networked business processes, digital innovation hubs, living labs, web entrepreneurs and ICT start-ups, B2B)",,,PO01,Smarter Europe,RSO1.2,RSO1.2,ERDF,European Regional Development Fund,2021LT16FFPR001,EU Funds’ Investments – LT – ERDF/ESF+/CF/JTF,,LT_29,Šiaulių miesto savivaldybė,,,Šiaulių apskritis,,,LT026,2021-2027,"Implementation of sales transaction solutions for UAB DM FIX e-shop, configuration and visualisation of services and products in order to refocus on the digitalisation of products (services/goods), e-commerce and delivery.","UAB „DM FIX“ e. parduotuvės pardavimo sandorių sudarymo sprendimų diegimas, paslaugų ir produktų konfigūravimas ir vizualizacija, siekiant persiorientuoti į produktų (paslaugų/prekių) skaitmeninimą, elektroninę prekybą ir pristatymą.",,,,,LT
https://linkedopendata.eu/entity/Q7429589,2021LT16FFPR001_02-035-K-0331,"Development of skills of employees of ""Modern home solutions"" UAB","UAB ""Modern home solutions"" darbuotojų įgūdžių ugdymas",Lithuania,22/08/2024,22/08/2026,50.0,56341.06,EUR,28170.53,https://linkedopendata.eu/entity/Q7427841,"54.6759715,25.2867413",23,"Skills development for smart specialisation, industrial transition, entrepreneurship and adaptability of enterprises to change",,,PO01,Smarter Europe,RSO1.4,RSO1.4,ERDF,European Regional Development Fund,2021LT16FFPR001,EU Funds’ Investments – LT – ERDF/ESF+/CF/JTF,,LT_13,Vilniaus miesto savivaldybė,,,Vilnius County,,,LT011,2021-2027,"To develop competencies of employees of ""Modern home solutions"" UAB in the areas of flexible processes, digital skills and cyber security","Ugdyti UAB ""Modern home solutions"" darbuotojų kompetencijas lanksčių procesų, skaitmeninių įgūdžių ir kibernetinio saugumo srityse",,,,,LT
https://linkedopendata.eu/entity/Q7430171,2021LT16FFPR001_02-062-K-0020,Installation of alternative fuels in UAB METALIKA LT,Alternatyvaus kuro diegimas UAB „METALIKA LT“,Lithuania,21/02/2024,31/08/2026,85.0,49891.0,EUR,42407.35,https://linkedopendata.eu/entity/Q3816008,"54.8986536,23.9071189",76,Support to environmentally-friendly production processes and resource efficiency in large enterprises,,,PO08,Just Transition,JTF,JTF,JTF,Just Transition Fund,2021LT16FFPR001,EU Funds’ Investments – LT – ERDF/ESF+/CF/JTF,,LT_19,Kauno miesto savivaldybė,,,Kauno apskritis,,,LT022,2021-2027,Reduce the use of fossil fuels by replacing them with alternative ones and reduce greenhouse gas emissions in the industry.,"Mažinti sunaudojamo iškastinio kuro kiekį, keičiant jį alternatyviuoju, bei išmetamų šiltnamio efektą sukeliančių dujų kiekį pramonės įmonės veikloje.",,,,,LT
https://linkedopendata.eu/entity/Q7429317,2021LT16FFPR001_02-033-K-0544,"Implementation of e-sales transactions solutions in UAB ""Jaukushotel""",E. pardavimo sandorių sudarymo sprendimų diegimas įmonėje UAB „Jaukus viešbutis“,Lithuania,17/06/2024,17/06/2025,50.0,49969.0,EUR,24984.5,https://linkedopendata.eu/entity/Q7428072,"54.0049069,23.9864279",13,"Digitising SMEs (including e-Commerce, e-Business and networked business processes, digital innovation hubs, living labs, web entrepreneurs and ICT start-ups, B2B)",,,PO01,Smarter Europe,RSO1.2,RSO1.2,ERDF,European Regional Development Fund,2021LT16FFPR001,EU Funds’ Investments – LT – ERDF/ESF+/CF/JTF,,LT_15,Druskininkų savivaldybė,,,Alytaus apskritis,,,LT021,2021-2027,Deployment of e-sales solutions to refocus on digitalisation of services and increase revenue growth,"E. pardavimo sandorių sudarymo sprendimų diegimas, siekiant persiorientuoti į teikiamų paslaugų skaitmeninimą bei padidinti pajamų augimą",,,,,LT
https://linkedopendata.eu/entity/Q7430142,2021LT16FFPR001_02-056-K-0046,"UAB ""Abepa"" energy efficiency improvement","UAB ""Abepa"" energijos vartojimo efektyvumo kėlimas",Lithuania,22/08/2024,22/08/2027,55.0,1503646.0,EUR,827005.0,https://linkedopendata.eu/entity/Q3827271,"54.8986536,23.9071189",40,Energy efficiency and demonstration projects in SMEs or large enterprises and supporting measures compliant with energy efficiency criteria,,,PO02,"Greener, carbon-free Europe",RSO2.1,RSO2.1,ERDF,European Regional Development Fund,2021LT16FFPR001,EU Funds’ Investments – LT – ERDF/ESF+/CF/JTF,,LT_19,Kauno miesto savivaldybė,,,Kauno apskritis,,,LT022,2021-2027,Implement an energy efficiency solution and reduce greenhouse gas emissions in the technological process by at least 30%.,Įdiegti energijos vartojimo efektyvumo didinimo sprendimą ir ne mažiau kaip 30 proc. sumažinti išmetamų šiltnamio efektą sukeliančių dujų kiekį technologiniame procese.,,,,,LT
https://linkedopendata.eu/entity/Q7429854,2021LT16FFPR001_02-040-K-0078,"Implementation of non-technological innovations by UAB Metalika LT, increasing the company's integration into international value chains","UAB ""Metalika LT"" netechnologinių inovacijų diegimas, didinantis įmonės integraciją į tarptautinės vertės grandines",Lithuania,28/10/2024,28/10/2026,49.0,116865.4,EUR,57264.04,https://linkedopendata.eu/entity/Q3816008,"54.8986536,23.9071189",28,"Technology transfer and cooperation between enterprises, research centres and higher education sector",,,PO01,Smarter Europe,RSO1.1,RSO1.1,ERDF,European Regional Development Fund,2021LT16FFPR001,EU Funds’ Investments – LT – ERDF/ESF+/CF/JTF,,LT_19,Kauno miesto savivaldybė,,,Kauno apskritis,,,LT022,2021-2027,"Introduce process and organisational innovation, thereby increasing export volumes and engagement in international value chains.","Įdiegti proceso ir organizacines inovacijas, taip didinant eksporto apimtis ir įsitraukimą į tarptautinės vertės grandines.",,,,,LT
https://linkedopendata.eu/entity/Q7429035,2021LT16FFPR001_02-033-K-0110,Deployment of e-sales solutions,E. pardavimo sandorių sudarymo sprendimų diegimas,Lithuania,17/07/2024,17/07/2025,48.54,51360.0,EUR,24931.0,https://linkedopendata.eu/entity/Q4216881,"54.6759715,25.2867413",13,"Digitising SMEs (including e-Commerce, e-Business and networked business processes, digital innovation hubs, living labs, web entrepreneurs and ICT start-ups, B2B)",,,PO01,Smarter Europe,RSO1.2,RSO1.2,ERDF,European Regional Development Fund,2021LT16FFPR001,EU Funds’ Investments – LT – ERDF/ESF+/CF/JTF,,LT_13,Vilniaus miesto savivaldybė,,,Vilnius County,,,LT011,2021-2027,Implement e-sales solutions to increase the company's sales revenue.,"Diegti e. pardavimo sudarymo sprendinius, kurie leistų didinti įmonės pardavimo pajamas.",,,,,LT
