Operation_Unique_Identifier,Operation_Local_Identifier,Operation_Name_English,Operation_Name_Programme_Language,Country,Operation_Start_Date,Operation_End_Date,Cofinancing_Rate,Total_Eligible_Expenditure_amount,Total_Eligible_Expenditure_Currency,Project_EU_Budget,Beneficiary_Unique_Identifier,Location_Indicator_latitude_longitude,Category_Of_Intervention,Category_Label,Thematic_Objective_ID,Thematic_Objective_Label,Policy_Objective_ID,Policy_Objective_Label,Specific_Objective_ID,Specific_Objective_Label,Fund_Code,Fund_Name,Programme_Code,Programme_Name,Postal_Code,LAU_IDs,LAU_Labels,NUTS1_Label,NUTS2_Label,NUTS3_Label,NUTS1_Code,NUTS2_Code,NUTS3_Code,Programming_Period,Operation_Summary_English,Operation_Summary_Programme_Language,ManagingAuthority,Image_URL,InfoRegio_ID,InfoRegio_URL,CountryCode
https://linkedopendata.eu/entity/Q7503613,2021LU05FFPR001_2010,Height Training,Height Training,Luxembourg,01/07/2023,30/06/2025,40.0,163000.0,EUR,65200.0,https://linkedopendata.eu/entity/Q7503579,"49.521188235059,6.0845686331659",146,"Support for adaptation of workers, enterprises and entrepreneurs to change",,,PO04,Social Europe,ESO4.7,ESO4.7,ESF+,European Social Fund Plus,2021LU05FFPR001,Investing in the Future - LU - ESF+/JTF,,LU_0201,Bettembourg,,,Luxembourg,,,LU000,2021-2027,"Given the technical developments in construction, especially with prefabrication, employees are required to work more and more at height. On construction sites, it is not always possible to place collective protections, therefore the only way to protect the employee against falling at height remains the wearing of personal protection because a fall of an employee often has a fatal outcome for the latter. It is therefore essential to train employees in the sector to wear this personal protection. The aim of the project is therefore to raise awareness among employees in the construction sector of the risks of falls from a height and to take appropriate preventive measures.","Compte tenu des évolutions techniques de construction notamment avec la préfabrication, les salariés sont amenés à travailler de plus en plus en hauteur. Sur les chantiers de construction, il n'est pas toujours possible de placer des protections collectives, par conséquent le seul moyen pour protéger le salarié contre la chute en hauteur reste le port de la protection individuelle car une chute d'un salarié a souvent une issue fatale pour ce dernier. Il est donc indispensable de former les salariés du secteur au port de cette protection individuelle. Le but du projet est donc de sensibiliser les salariés du secteur de la construction aux risques de chutes de hauteur et à prendre les mesures de prévention appropriées.",,,,,LU
https://linkedopendata.eu/entity/Q7503641,2021LU05FFPR001_2061,Community with Impact,Community with Impact,Luxembourg,01/01/2025,31/12/2026,70.0,210000.0,EUR,147000.0,https://linkedopendata.eu/entity/Q7503576,"49.61407716459,6.1267143840571",138,Support for social economy and social enterprises,,,PO04,Social Europe,ESO4.7,ESO4.7,ESF+,European Social Fund Plus,2021LU05FFPR001,Investing in the Future - LU - ESF+/JTF,,LU_0304,Luxembourg,,,Luxembourg,,,LU000,2021-2027,"Community With Impact This project aims to strengthen links between companies and SSE structures in Luxembourg through sustainable partnerships. It promotes responsible purchasing and values the social and environmental impact of SSE structures. On the agenda: 2 speed meetings for 140 participants, 4 preparatory workshops, 1 partnership guide and a Commitment Day. Objectives: 80 partnerships created, 40 SSE structures supported, 200 participants involved. This project acts as a lever for societal impact through intersectoral cooperation.","Community With Impact Ce projet vise à renforcer les liens entre entreprises et structures de l’ESS au Luxembourg via des partenariats durables. Il promeut les achats responsables et valorise l’impact social et environnemental des structures ESS. Au programme : 2 speed meetings pour 140 participant·es, 4 workshops préparatoires, 1 guide des partenariats et une Journée de l’Engagement. Objectifs : 80 partenariats créés, 40 structures ESS accompagnées, 200 participant·es impliqué·es. Ce projet agit comme levier d’impact sociétal via la coopération intersectorielle.",,,,,LU
https://linkedopendata.eu/entity/Q7503619,2021LU05FFPR001_2022,Languages and cultures,Langues et cultures,Luxembourg,01/07/2023,31/12/2025,40.0,67500.0,EUR,27000.0,https://linkedopendata.eu/entity/Q7503577,"49.61407716459,6.1267143840571",163,"Promoting social integration of people at risk of poverty or social exclusion, including the most deprived and children",,,PO04,Social Europe,ESO4.6,ESO4.6,ESF+,European Social Fund Plus,2021LU05FFPR001,Investing in the Future - LU - ESF+/JTF,,LU_0304,Luxembourg,,,Luxembourg,,,LU000,2021-2027,"Given that about half of Luxembourg’s pupils have a foreign background and that more than 60% speak another language at home than Luxembourgish, teaching and socio-educational staff, as well as SECAM staff, face a very diverse population. It is very difficult, if not impossible, to know all the linguistic and cultural variations or the school systems of all the countries of origin of the students. Therefore, this project, which is part of a plurilingual and intercultural approach, aims to contribute to a more adapted, complete and targeted management of students' knowledge and cultural and linguistic background. This approach is also compatible with the European Child Guarantee as it is an effective measure to combat social exclusion and also a measure that promotes equal opportunities for children and young people newly arrived in Luxembourg. As regards the practical application of the project, the Language and Culture sheets are put into practice in an insertion class for young adults, thus with 15 students aged 16 to 17.","Étant donné qu’environ la moitié des élèves du Luxembourg a une origine étrangère et que plus de 60% parlent une autre langue à la maison que le luxembourgeois, le personnel enseignant et socio-éducatif, ainsi que le personnel du SECAM font face à une population très diversifiée. Il est très difficile, voire impossible, de connaître toutes les variations linguistiques et culturelles ou encore les systèmes scolaires de tous les pays d'origine des élèves. Par conséquent, ce projet, qui s'inscrit dans une approche plurilingue et interculturelle, vise à contribuer à une prise en charge plus adaptée, plus complète et plus ciblée des connaissances et du bagage culturel et langagier des élèves. Cette approche est également compatible avec la Garantie européenne pour l’enfance comme il s'agit d'une mesure efficace de lutte contre l'exclusion sociale et aussi d'une mesure qui favorise l'égalité des chances des enfants et des jeunes nouvellement arrivés au Luxembourg. En ce qui concerne l'application concrète du projet, les fiches Langues et Cultures sont mises en pratique dans une classe d'insertion pour jeunes adultes, donc auprès de 15 élèves âgés de 16 à 17 ans.",,,,,LU
https://linkedopendata.eu/entity/Q7503647,2021LU05FFPR001_2072,"KE3, Kanner,Ekippen,Elteren,Empowerment","KE3, Kanner,Ekippen,Elteren,Empowerment",Luxembourg,01/01/2025,31/12/2026,40.0,667300.0,EUR,266920.0,https://linkedopendata.eu/entity/Q7503601,"49.981163381881,5.9372637289084",163,"Promoting social integration of people at risk of poverty or social exclusion, including the most deprived and children",,,PO04,Social Europe,ESO4.6,ESO4.6,ESF+,European Social Fund Plus,2021LU05FFPR001,Investing in the Future - LU - ESF+/JTF,,LU_0807,Wiltz,,,Luxembourg,,,LU000,2021-2027,"The non-profit organisation Kannerhaus Wooltz works to ensure that every child, including those with special needs, is accommodated in its facilities. However, the KE3 team observes a lack of resources and expertise in the north of the country, increasing the risks of social exclusion. Through local and low-threshold support, KE3 supports children, families and educational teams, thus promoting inclusion adapted to local living realities and better access to essential services.","L’asbl Kannerhaus Wooltz agit pour que chaque enfant, y compris ceux à besoins spécifiques, soit accueilli dans ses structures. L’équipe KE3 observe cependant un manque de ressources et d’expertise dans le nord du pays, renforçant les risques d’exclusion sociale. Grâce à un accompagnement de proximité et à bas seuil, KE3 soutient enfants, familles et équipes éducatives, favorisant ainsi une inclusion adaptée aux réalités de vie locales et un meilleur accès aux services essentiels.",,,,,LU
https://linkedopendata.eu/entity/Q7503651,2021LU05FFPR001_2039,Fit4Inclusion,Fit4Inclusion,Luxembourg,01/01/2024,31/12/2025,40.0,391200.0,EUR,156480.0,https://linkedopendata.eu/entity/Q3113580,"49.61407716459,6.1267143840571",154,"Measures to improve access of marginalised groups such as the Roma to education, employment and to promote their social inclusion",,,PO04,Social Europe,ESO4.8,ESO4.8,ESF+,European Social Fund Plus,2021LU05FFPR001,Investing in the Future - LU - ESF+/JTF,,LU_0304,Luxembourg,,,Luxembourg,,,LU000,2021-2027,"A strategic partnership between the Employment Development Agency (ADEM), the House of Training and the National Institute for Sustainable Development and CSR (INDR), the Fit4Inclusion project aims, on the one hand, to support 80 jobseekers with disabilities or on reclassification in their (re)integration into the labour market and, on the other hand, to make companies aware of the recruitment of the target audience.","Partenariat stratégique entre l’Agence pour le développement de l’emploi (ADEM), la House of Training et l’Institut national pour le développement durable et la RSE (INDR), le projet Fit4Inclusion vise d'une part à accompagner 80 demandeurs d'emplois en situation de handicap ou en reclassement professionnel dans leur (ré)insertion sur le marché de l’emploi et de l'autre, à sensibiliser les entreprises à l'embauche du public ciblé.",,,,,LU
https://linkedopendata.eu/entity/Q7503660,2021LU16FFPR001_11,Sustainable public transportation operated with electric buses,Sustainable public transportation operated with electric buses,Luxembourg,16/01/2023,31/12/2025,50.0,3100000.0,EUR,1550000.0,https://linkedopendata.eu/entity/Q7322356,"49.6271194,6.1306279",82,Clean urban transport rolling stock,,,PO08,Just Transition,JTF,JTF,JTF,Just Transition Fund,2021LU16FFPR001,Smarter and greener Europe – LU – ERDF/JTF,,LU_0304,Luxembourg,,,Luxembourg,,,LU000,2021-2027,"The CTBT has the ambitious ""no-emission"" goal for the renewal of its bus fleet that serves the southern region of the country. By 2030, the bus fleet will be completely converted into alternative propulsion, making the use of diesel-burning buses obsolete. The future fleet will consist of battery-powered electric motor buses, fuel cell buses and CNG (compressed natural gas) efficient hybrid buses. The purpose of this JTF project is limited to the acquisition of 5 buses equipped with a battery-powered electric motor.","Le TICE a l'objectif ambitieux « no-emission » pour le renouvellement de sa flotte de bus qui assure la desserte de la région Sud du pays. A l'horizon 2030, la flotte de bus sera complètement convertie en propulsions alternatives, rendant obsolète l'utilisation de bus à combustion de diesel. La future flotte sera composée de bus à moteur électrique alimenté par batterie, de bus équipés d’une pile à combustible et de bus efficienthybrid à CNG (compressed natural gaz). L’objet de ce projet FTJ se limite à l'acquisition de 5 bus équipés d’un moteur électrique alimenté par batterie.",,,,,LU
https://linkedopendata.eu/entity/Q7503648,2021LU05FFPR001_2030,Combating material deprivation,Lutte contre la privation matérielle,Luxembourg,01/01/2024,31/12/2027,90.0,1400433.0,EUR,1260389.7,https://linkedopendata.eu/entity/Q7503583,"49.61407716459,6.1267143840571",164,"Addressing material deprivation through food and/or material assistance to the most deprived, including accompanying measures",,,PO04,Social Europe,ESO4.13,ESO4.13,ESF+,European Social Fund Plus,2021LU05FFPR001,Investing in the Future - LU - ESF+/JTF,,LU_0304,Luxembourg,,,Luxembourg,,,LU000,2021-2027,"With its project to help the most deprived under the ESF + Investing in the future 2020-2027, the Ministry of the Family, Solidarity, Living Together and Home Affairs intends to continue the commitment made with the FEAD, the Fund for Aid to the Most Deprived over the period 2014-2023, to provide material support to some 5,400 households living in poverty with food and basic necessities. The support is provided throughout Luxembourg by the Ministry’s partner organisations; the Spëndchen asbl which acquires the products and delivers them to the distribution points, which are the 12 social grocery stores of HUT and the Luxembourg Red Cross, the 3 Cent Butteks of the asbl ‘Den Cent Buttek’; ""Eis Epicerie Zolwer"" and the Food Bank.","Avec son projet d’aide aux plus démunis dans le cadre du FSE + « Investir dans le futur » 2020-2027, le ministère de la Famille, des Solidarités, du Vivre ensemble et de l’Accueil entend perdurer l’engagement pris avec le FEAD, le Fonds d’aide aux plus démunis sur la période 2014-2023, à savoir soutenir matériellement quelques 5.400 ménages qui vivent dans la pauvreté avec des produits alimentaires et des biens de première nécessité. L’aide est assurée sur l’ensemble du territoire luxembourgeois par les organisations partenaires du ministère; la Spëndchen asbl qui acquiert les produits et les livre aux points de distribution qui sont les 12 épiceries sociales de HUT et de la Croix-Rouge luxembourgeoise, les 3 Cent-Butteks de l’asbl « Den Cent Buttek » ; « Eis Epicerie Zolwer » et la Banque alimentaire.",,,,,LU
https://linkedopendata.eu/entity/Q7503637,2021LU05FFPR001_2053,CLALT,CLALT,Luxembourg,01/07/2024,31/12/2026,40.0,81900.0,EUR,32760.0,https://linkedopendata.eu/entity/Q7503588,"49.6926081,6.1416258",153,Pathways to integration and re-entry into employment for disadvantaged people,,,PO04,Social Europe,ESO4.8,ESO4.8,ESF+,European Social Fund Plus,2021LU05FFPR001,Investing in the Future - LU - ESF+/JTF,,LU_0408,Lorentzweiler,,,Luxembourg,,,LU000,2021-2027,"Language and integration: A secure command of French is essential for integration. This project offers targeted language courses for beneficiaries of an activation measure at the CNDS asbl, in order to facilitate team communication, understanding of instructions and professional inclusion. Faced with an insufficient supply, especially in the north of the country, classes will be held 2 times a week for 11 weeks, 4 times a year, or 176 hours a year. Groups will have 5 to 10 participants. Objective: train 90 people by 2026, ensuring proximity, regularity and progression adapted to the needs of the field.","Langue et intégration : un levier pour l’inclusion Une maîtrise sécurisée du français est essentielle à l’intégration. Ce projet propose des cours de langue ciblés pour les bénéficiaires d’une mesure d’activation auprès du CNDS asbl, afin de faciliter la communication en équipe, la compréhension des consignes et l’inclusion professionnelle. Face à une offre insuffisante, surtout dans le nord du pays, les cours auront lieu 2 fois par semaine pendant 11 semaines, 4 fois par an, soit 176 heures par an. Les groupes compteront 5 à 10 participants. Objectif : former 90 personnes d’ici 2026, en garantissant proximité, régularité et progression adaptée aux besoins du terrain.",,,,,LU
https://linkedopendata.eu/entity/Q7503631,2021LU05FFPR001_2046,0CO2Chantier,0CO2Chantier,Luxembourg,01/07/2024,30/06/2026,50.0,306300.0,EUR,153150.0,https://linkedopendata.eu/entity/Q7503579,"49.521188235059,6.0845686331659",146,"Support for adaptation of workers, enterprises and entrepreneurs to change",,,PO08,Just Transition,JTF,JTF,JTF,Just Transition Fund,2021LU05FFPR001,Investing in the Future - LU - ESF+/JTF,,LU_0201,Bettembourg,,,Luxembourg,,,LU000,2021-2027,"Reducing the carbon footprint on construction sites Project 0 (Zero) CO2 Chantier aims to reduce the carbon impact of construction sites through practical training on low-carbon solutions. Aimed at manual workers, machine operators and supervisors, the programme addresses the operation of electric machines, the optimisation of construction sites and the integration of local energy strategies. This project responds to the climate emergency and the need for retraining in the sector. The IFSB thus supports companies in their energy transition, strengthening skills for a more sustainable future.","Réduire l’empreinte carbone sur les chantiers Le projet 0 (Zéro) CO2 Chantier vise à diminuer l’impact carbone des chantiers de construction via des formations pratiques sur les solutions bas carbone. Destiné aux salariés manuels, conducteurs d’engins et encadrants, le programme aborde la conduite d’engins électriques, l’optimisation des chantiers et l’intégration de stratégies énergétiques locales. Ce projet répond à l’urgence climatique et au besoin de reconversion professionnelle dans le secteur. L’IFSB accompagne ainsi les entreprises dans leur transition énergétique, en renforçant les compétences pour un avenir plus durable.",,,,,LU
https://linkedopendata.eu/entity/Q7503670,2021LU16FFPR001_19,"CENSOR - Competence Centre for Digitization and Optimization of Energy, Resources and Processes","CENSOR - Competence Centre for Digitization and Optimization of Energy, Resources and Processes",Luxembourg,01/10/2024,30/06/2028,40.0,750000.0,EUR,300000.0,https://linkedopendata.eu/entity/Q3113563,"49.6271194,6.1306279",29,"Research and innovation processes, technology transfer and cooperation between enterprises, research centres and universities, focusing on the low carbon economy, resilience and adaptation to climate change",,,PO01,Smarter Europe,RSO1.1,RSO1.1,ERDF,European Regional Development Fund,2021LU16FFPR001,Smarter and greener Europe – LU – ERDF/JTF,,LU_0304,Luxembourg,,,Luxembourg,,,LU000,2021-2027,"The project aims to create a Competence Centre for digitalisation and optimisation in energy, resources and processes within the University of Luxembourg. The objectives of this project are to develop models (via digital twins) on energy efficiency, reducing CO2 emissions, developing new technological sensors and optimising transport, material and energy flows in industrial processes. Reducing energy and resource consumption in the production of materials/processes is the overarching objective.","Le projet vise la création d’un Centre de Compétence de digitalisation et d’optimisation en énergie, ressources et procédés au sein de l’Université du Luxembourg. Les objectifs de ce projet consistent à développer des modèles (via des digital-twins) portant sur l’efficience énergétique, la réduction des émissions de CO2, le développement de nouveaux capteurs technologiques et l’optimisation des flux de transports, de matériaux et d’énergie dans les processus industriels. La réduction de la consommation d’énergie et des ressources dans la production de matériaux/procédés est l’objectif primordial.",,,,,LU
