Operation_Unique_Identifier,Operation_Local_Identifier,Operation_Name_English,Operation_Name_Programme_Language,Country,Operation_Start_Date,Operation_End_Date,Cofinancing_Rate,Total_Eligible_Expenditure_amount,Total_Eligible_Expenditure_Currency,Project_EU_Budget,Beneficiary_Unique_Identifier,Location_Indicator_latitude_longitude,Category_Of_Intervention,Category_Label,Thematic_Objective_ID,Thematic_Objective_Label,Policy_Objective_ID,Policy_Objective_Label,Specific_Objective_ID,Specific_Objective_Label,Fund_Code,Fund_Name,Programme_Code,Programme_Name,Postal_Code,LAU_IDs,LAU_Labels,NUTS1_Label,NUTS2_Label,NUTS3_Label,NUTS1_Code,NUTS2_Code,NUTS3_Code,Programming_Period,Operation_Summary_English,Operation_Summary_Programme_Language,ManagingAuthority,Image_URL,InfoRegio_ID,InfoRegio_URL,CountryCode
https://linkedopendata.eu/entity/Q7359240,2021MT05SFPR001_ESF+.04.188,Food 4 You Support Project,Food 4 You Support Project,Malta,09/01/2022,30/06/2029,90.0,5000000.0,EUR,4500000.0,https://linkedopendata.eu/entity/Q7359221,"35.883333333333,14.5",,,,,PO04,Social Europe,ESO4.13,ESO4.13,ESF+,European Social Fund Plus,2021MT05SFPR001,Human Resources and Skills – MT – ESF+,VLT,,,,,,,,,2021-2027,"Deprived households, particularly those including children and the elderly, will be targeted through periodic food aid. An emphasis will be placed on improving the living standards of people living in these households and alleviating their risk of poverty. Families will be supported through the distribution of food aid and will also be provided with accompanying social support from professional officers in the area of social welfare services. The eligible households are envisaged to indicatively receive the food aid three times per year. The distribution of food packages to the end recipients will fall under the responsibility of the Partner Organisation (PO). End recipients will be able to collect their food packages from the distribution centres run by the PO upon presentation of the entitlement letter.","Deprived households, particularly those including children and the elderly, will be targeted through periodic food aid. An emphasis will be placed on improving the living standards of people living in these households and alleviating their risk of poverty. Families will be supported through the distribution of food aid and will also be provided with accompanying social support from professional officers in the area of social welfare services. The eligible households are envisaged to indicatively receive the food aid three times per year. The distribution of food packages to the end recipients will fall under the responsibility of the Partner Organisation (PO). End recipients will be able to collect their food packages from the distribution centres run by the PO upon presentation of the entitlement letter.",,,,,MT
https://linkedopendata.eu/entity/Q7359237,2021MT05SFPR001_ESF+.03.985,Further Studies Made Affordable (FSMA),Further Studies Made Affordable (FSMA),Malta,23/08/2021,31/12/2027,60.0,5000000.0,EUR,3000000.0,https://linkedopendata.eu/entity/Q7359222,"35.883333333333,14.5",150,Support for tertiary education (excluding infrastructure),,,PO04,Social Europe,ESO4.6,ESO4.6,ESF+,European Social Fund Plus,2021MT05SFPR001,Human Resources and Skills – MT – ESF+,FRN,,,,,,,,,2021-2027,"The FSMA Financial Instrument (FI) was established with the aim to support students or professionals who are seeking to further their studies in Malta or abroad. The loan is applicable to those who are seeking to pursue a study programme for accredited courses in MQF Level 5, 6, 7 and 8 as well as other internationally-recognised certificates. Eligible study will be entitled to receive support through the FI for the activities related to tuition fees, accommodation costs, subsistence expenses and other expenses. The Purpose of the FI is to support eligible students by enhancing their access to bank loans. the eligible students will benefit from zero interest payment during the moratorium period. The loan will be covered with a guarantee offered through the financial instrument to the financial institutions for a maximum term of 15 years covering the moratorium period of up to a maximum of 5 years and the loan repayment of up to a maximum of 10 years following the moratorium period. Eligible students will not be requested to put up upfront contribution. Eligible loans are covered at a guarantee rate of each eligible loan subject to a maximum liability in respect of loan losses expressed as a guarantee cap amount of a maximum amount established at Portfolio level. The ESF+ contribution amounts to €5M. Expected leverage is of x5 and the advantages of the Final Recipients will also include an interest rate reduction.","The FSMA Financial Instrument (FI) was established with the aim to support students or professionals who are seeking to further their studies in Malta or abroad. The loan is applicable to those who are seeking to pursue a study programme for accredited courses in MQF Level 5, 6, 7 and 8 as well as other internationally-recognised certificates. Eligible study will be entitled to receive support through the FI for the activities related to tuition fees, accommodation costs, subsistence expenses and other expenses. The Purpose of the FI is to support eligible students by enhancing their access to bank loans. the eligible students will benefit from zero interest payment during the moratorium period. The loan will be covered with a guarantee offered through the financial instrument to the financial institutions for a maximum term of 15 years covering the moratorium period of up to a maximum of 5 years and the loan repayment of up to a maximum of 10 years following the moratorium period. Eligible students will not be requested to put up upfront contribution. Eligible loans are covered at a guarantee rate of each eligible loan subject to a maximum liability in respect of loan losses expressed as a guarantee cap amount of a maximum amount established at Portfolio level. The ESF+ contribution amounts to €5M. Expected leverage is of x5 and the advantages of the Final Recipients will also include an interest rate reduction.",,,,,MT
https://linkedopendata.eu/entity/Q7359242,2021MT16FFPR001_JTF.08.988,Provision of High voltage shore connections system along North Quay Terminal 1 and North Quay Terminal 2 within Malta Freeport in the TEN-T Core Port of Marsaxlokk,Provision of High voltage shore connections system along North Quay Terminal 1 and North Quay Terminal 2 within Malta Freeport in the TEN-T Core Port of Marsaxlokk,Malta,01/05/2021,31/12/2026,70.0,9850220.05,EUR,6895154.04,https://linkedopendata.eu/entity/Q7359229,"35.81641531305,14.538876041662",086,Alternative fuels infrastructure,,,PO08,Just Transition,JTF,JTF,JTF,Just Transition Fund,2021MT16FFPR001,Investment in jobs and development – MT – CF/ERDF/JTF,,MT_MT01315,Birżebbuġa,,,Malta,,,MT001,2021-2027,"The proposed investment focuses on climate mitigation and environmental enhancement. Cargo Container maritime vessels require energy whilst berthed throughout operations. The vessels retain their auxiliary engines switched on while they are berthed along the quays within the Malta Freeport, which is located within the TEN-T Core port of Marsaxlokk, and in doing so, the vessels burn marine gas oil to meet their energy requirements. Thus, these vessels generate and release emissions such as CO2, NOx, SO2 and particulates into the air. Furthermore, these vessels also generate a significant amount of noise pollution. Therefore, the proposed project seeks to invest in the provision of on-shore high frequency power supply along the North Quay of Terminal 1 and the North Quay of Terminal 2, with the scope of providing electrical power to the berthed vessels.","The proposed investment focuses on climate mitigation and environmental enhancement. Cargo Container maritime vessels require energy whilst berthed throughout operations. The vessels retain their auxiliary engines switched on while they are berthed along the quays within the Malta Freeport, which is located within the TEN-T Core port of Marsaxlokk, and in doing so, the vessels burn marine gas oil to meet their energy requirements. Thus, these vessels generate and release emissions such as CO2, NOx, SO2 and particulates into the air. Furthermore, these vessels also generate a significant amount of noise pollution. Therefore, the proposed project seeks to invest in the provision of on-shore high frequency power supply along the North Quay of Terminal 1 and the North Quay of Terminal 2, with the scope of providing electrical power to the berthed vessels.",,,,,MT
https://linkedopendata.eu/entity/Q7359234,2021MT05SFPR001_ESF+.01.195,Training for Employment,Training for Employment,Malta,02/01/2024,31/12/2029,60.0,12123611.25,EUR,7274166.75,https://linkedopendata.eu/entity/Q3127477,"35.883333333333,14.5",134|135,Measures to improve access to employment|Measures to promote access to employment of long-term unemployed,,,PO04,Social Europe,ESO4.1,ESO4.1,ESF+,European Social Fund Plus,2021MT05SFPR001,Human Resources and Skills – MT – ESF+,BBG,,,,,,,,,2021-2027,"This Project aims to facilitate the access to developing the knowledge, skills and competences of the working age population. The scope behind it is to offer training assistance to jobseekers needing to improve their skills to enter the labour market and to upgrade the existing skills of those individuals who wish to re-enter the labour market, find alternative employment and/or acquire new skills to meet the labour market demands. It is expected outcome is to increase the employability and growth of the local workforce.","This Project aims to facilitate the access to developing the knowledge, skills and competences of the working age population. The scope behind it is to offer training assistance to jobseekers needing to improve their skills to enter the labour market and to upgrade the existing skills of those individuals who wish to re-enter the labour market, find alternative employment and/or acquire new skills to meet the labour market demands. It is expected outcome is to increase the employability and growth of the local workforce.",,,,,MT
https://linkedopendata.eu/entity/Q7359239,2021MT05SFPR001_ESF+.03.185,Endeavour II,Endeavour II,Malta,01/04/2022,31/12/2029,60.0,9720000.0,EUR,5832000.0,https://linkedopendata.eu/entity/Q7359230,"35.883333333333,14.5",150,Support for tertiary education (excluding infrastructure),,,PO04,Social Europe,ESO4.6,ESO4.6,ESF+,European Social Fund Plus,2021MT05SFPR001,Human Resources and Skills – MT – ESF+,VLT,,,,,,,,,2021-2027,"The ENDEAVOUR II Scholarships Scheme is to enable access, support good quality tertiary education as well as to ensure upskilling and reskilling within the varied set of prioritized fields. The Endeavour II Scholarship Scheme offer flexible education pathways to accommodate diverse learning styles and career aspirations. This scheme widens access to enhance capacity building of population. This is to ensure that the Maltese labour market is supplied with adequately skilled individuals so as to guarantee that Malta is in a better position to compete at an international level. Therefore, the project aims are two-fold; as it will enable access towards education and encourage lifelong learning, as well as improve research and innovation in the Maltese Islands.","The ENDEAVOUR II Scholarships Scheme is to enable access, support good quality tertiary education as well as to ensure upskilling and reskilling within the varied set of prioritized fields. The Endeavour II Scholarship Scheme offer flexible education pathways to accommodate diverse learning styles and career aspirations. This scheme widens access to enhance capacity building of population. This is to ensure that the Maltese labour market is supplied with adequately skilled individuals so as to guarantee that Malta is in a better position to compete at an international level. Therefore, the project aims are two-fold; as it will enable access towards education and encourage lifelong learning, as well as improve research and innovation in the Maltese Islands.",,,,,MT
https://linkedopendata.eu/entity/Q7359241,2021MT05SFPR001_ESF+.03.S1,Investing in Skills,Investing in Skills,Malta,18/09/2023,31/12/2030,60.0,10000000.0,EUR,6000000.0,https://linkedopendata.eu/entity/Q3127477,"35.883333333333,14.5",146,"Support for adaptation of workers, enterprises and entrepreneurs to change",,,PO04,Social Europe,ESO4.7,ESO4.7,ESF+,European Social Fund Plus,2021MT05SFPR001,Human Resources and Skills – MT – ESF+,BBG,,,,,,,,,2021-2027,Investing in skills scheme promotes training of persons actively participating in the Maltese Labour Market with the aim to increase productivity and enhance adaptability. Training grants will be provided to eligible undertakings to partly make good for the training costs they incur to train their employees. The scheme aims at bridging the gap between current skills and any skills gap identified by employers and to increase productivity and enhancing adaptability in the local workforce. Actions will be also directed towards providing older people with opportunities to update and extend their skills and qualifications.,Investing in skills scheme promotes training of persons actively participating in the Maltese Labour Market with the aim to increase productivity and enhance adaptability. Training grants will be provided to eligible undertakings to partly make good for the training costs they incur to train their employees. The scheme aims at bridging the gap between current skills and any skills gap identified by employers and to increase productivity and enhancing adaptability in the local workforce. Actions will be also directed towards providing older people with opportunities to update and extend their skills and qualifications.,,,,,MT
https://linkedopendata.eu/entity/Q7359235,2021MT05SFPR001_ESF+.01.S1,Access to Employment,Access to Employment,Malta,24/01/2023,31/12/2030,60.0,12000000.0,EUR,7200000.0,https://linkedopendata.eu/entity/Q3127477,"35.883333333333,14.5",134,Measures to improve access to employment,,,PO04,Social Europe,ESO4.1,ESO4.1,ESF+,European Social Fund Plus,2021MT05SFPR001,Human Resources and Skills – MT – ESF+,BBG,,,,,,,,,2021-2027,Access to Employment (A2E) Scheme provides employment aid to enterprises in Malta and Gozo to promote the recruitment of the more challenged amongst jobseekers and inactive persons. Through this scheme the integration into the labour is facilitated by enhancing opportunities to access the labour market and providing work experience to those furthest away from gainful employment; bridging the gap between labour market supply and demand and increasing social cohesion.,Access to Employment (A2E) Scheme provides employment aid to enterprises in Malta and Gozo to promote the recruitment of the more challenged amongst jobseekers and inactive persons. Through this scheme the integration into the labour is facilitated by enhancing opportunities to access the labour market and providing work experience to those furthest away from gainful employment; bridging the gap between labour market supply and demand and increasing social cohesion.,,,,,MT
https://linkedopendata.eu/entity/Q7359236,2021MT05SFPR001_ESF+.03.184,One Device per Child (ODPC),One Device per Child (ODPC),Malta,01/12/2021,29/12/2028,60.0,54107262.0,EUR,32464357.2,https://linkedopendata.eu/entity/Q7359226,"35.883333333333,14.5",145|149|150,Support for the development of digital skills|Support for primary to secondary education (excluding infrastructure)|Support for tertiary education (excluding infrastructure),,,PO04,Social Europe,ESO4.6,ESO4.6,ESF+,European Social Fund Plus,2021MT05SFPR001,Human Resources and Skills – MT – ESF+,FRN,,,,,,,,,2021-2027,"The ODPC project adopts a multi-faceted approach aimed to progressively equip all secondary school students in Malta, from Year 7 to Year 11, and educators with training, tools and digital content integrated around a classroom management system which takes pedagogy to a new web-enabled level. Whilst the project delivery focuses on the baseline provision of a laptop per child, they will also be granted access to various digital content and resources.","The ODPC project adopts a multi-faceted approach aimed to progressively equip all secondary school students in Malta, from Year 7 to Year 11, and educators with training, tools and digital content integrated around a classroom management system which takes pedagogy to a new web-enabled level. Whilst the project delivery focuses on the baseline provision of a laptop per child, they will also be granted access to various digital content and resources.",,,,,MT
https://linkedopendata.eu/entity/Q7359243,2021MT16FFPR001_JTF.08.989,Provision of High and Low Onshore Power Supply System in the South Harbour Region of the Grand Harbour,Provision of High and Low Onshore Power Supply System in the South Harbour Region of the Grand Harbour,Malta,10/01/2021,31/12/2026,70.0,23386527.95,EUR,16370569.56,https://linkedopendata.eu/entity/Q3064625,"35.87937672069,14.49970263321|35.883187124661,14.505596919724|35.884660215416,14.507435772049|35.885890884138,14.513877982827",086,Alternative fuels infrastructure,,,PO08,Just Transition,JTF,JTF,JTF,Just Transition Fund,2021MT16FFPR001,Investment in jobs and development – MT – CF/ERDF/JTF,,MT_MT01105|MT_MT01134|MT_MT01145,Citta' Cospicua|Marsa|Paola,,,Malta,,,MT001,2021-2027,"Malta, which is centrally located in the Mediterranean Sea, provides a hub for the activity of several blue economy sectors, such as tourism, fisheries, transport, shipbuilding and ship repairs, which are considered pillars of our economy. The proposed investment for the provision of Onshore Power Supply, along the Southern region of the Grand Harbour entails the development of onshore power supply infrastructure along quays within region to extend the supply of shore-side electricity to ships berthing in this area. The proposed development investment will cater for vessels that are berthed in the port whilst in service as well as those docked or berthed in the Harbour for repair and maintenance services and conveyance vessels that provide necessary supplies to ships in international waters. The aim is to maximise the potential social and environmental benefits of the use of OPS within the Southern region of the Grand Harbour.","Malta, which is centrally located in the Mediterranean Sea, provides a hub for the activity of several blue economy sectors, such as tourism, fisheries, transport, shipbuilding and ship repairs, which are considered pillars of our economy. The proposed investment for the provision of Onshore Power Supply, along the Southern region of the Grand Harbour entails the development of onshore power supply infrastructure along quays within region to extend the supply of shore-side electricity to ships berthing in this area. The proposed development investment will cater for vessels that are berthed in the port whilst in service as well as those docked or berthed in the Harbour for repair and maintenance services and conveyance vessels that provide necessary supplies to ships in international waters. The aim is to maximise the potential social and environmental benefits of the use of OPS within the Southern region of the Grand Harbour.",,,,,MT
https://linkedopendata.eu/entity/Q7359249,2021MT16FFPR001_ERDF.02.986,"Development, Construction, and Commissioning of a Second Electrical Cable Interconnector between Malta and Italy","Development, Construction, and Commissioning of a Second Electrical Cable Interconnector between Malta and Italy",Malta,01/06/2022,31/12/2027,60.0,165347846.7,EUR,99208708.02,https://linkedopendata.eu/entity/Q7359232,"35.938869859959,14.442037377493|36.880998469486,14.680975609111",053,Smart Energy Systems (including smart grids and ICT systems) and related storage,,,PO02,"Greener, carbon-free Europe",RSO2.3,RSO2.3,ERDF,European Regional Development Fund,2021MT16FFPR001,Investment in jobs and development – MT – CF/ERDF/JTF,,MT_MT01544|MT_MT02643,Naxxar|Nadur,,,Malta|Gozo and Comino/Għawdex u Kemmuna,,,MT001|MT002,2021-2027,"Malta’s energy sources and its reliance on the existing electricity interconnector do not provide a secure energy supply. Considering this and increasing energy demands, securing the supply of electricity imports, including green energy, is crucial to enable the grid to meet energy demands and to cater for contingency/emergency situations such as temporary damage to the existing interconnector. The project proposal submitted in response to this call seeks to develop a second cable interconnector, which is expected to double the electricity interconnectivity capacity with the European electricity network. This will help Malta meet the forecasted increase in electricity demand. The project shall consist of an underwater and onshore AC cable link with a nominal continuous rating capacity of 200MW and a total length of 122km, operating at 220kV between Malta (Maghtab) and Sicily (Ragusa). It is to be laid in parallel but at a safe distance to the existing first cable interconnector.","Malta’s energy sources and its reliance on the existing electricity interconnector do not provide a secure energy supply. Considering this and increasing energy demands, securing the supply of electricity imports, including green energy, is crucial to enable the grid to meet energy demands and to cater for contingency/emergency situations such as temporary damage to the existing interconnector. The project proposal submitted in response to this call seeks to develop a second cable interconnector, which is expected to double the electricity interconnectivity capacity with the European electricity network. This will help Malta meet the forecasted increase in electricity demand. The project shall consist of an underwater and onshore AC cable link with a nominal continuous rating capacity of 200MW and a total length of 122km, operating at 220kV between Malta (Maghtab) and Sicily (Ragusa). It is to be laid in parallel but at a safe distance to the existing first cable interconnector.",,,,,MT
