Operation_Unique_Identifier,Operation_Local_Identifier,Operation_Name_English,Operation_Name_Programme_Language,Country,Operation_Start_Date,Operation_End_Date,Cofinancing_Rate,Total_Eligible_Expenditure_amount,Total_Eligible_Expenditure_Currency,Project_EU_Budget,Beneficiary_Unique_Identifier,Location_Indicator_latitude_longitude,Category_Of_Intervention,Category_Label,Thematic_Objective_ID,Thematic_Objective_Label,Policy_Objective_ID,Policy_Objective_Label,Specific_Objective_ID,Specific_Objective_Label,Fund_Code,Fund_Name,Programme_Code,Programme_Name,Postal_Code,LAU_IDs,LAU_Labels,NUTS1_Label,NUTS2_Label,NUTS3_Label,NUTS1_Code,NUTS2_Code,NUTS3_Code,Programming_Period,Operation_Summary_English,Operation_Summary_Programme_Language,ManagingAuthority,Image_URL,InfoRegio_ID,InfoRegio_URL,CountryCode
https://linkedopendata.eu/entity/Q7360826,2021NL16RFPR002_KVW3-00071,Non-Silicone and Fossil-Free Release Coatings,Non-Silicone and Fossil-Free Release Coatings,Netherlands,16/11/2022,31/12/2025,36.25,919465.0,EUR,333333.34,https://linkedopendata.eu/entity/Q7359401|https://linkedopendata.eu/entity/Q7359748|https://linkedopendata.eu/entity/Q7359749|https://linkedopendata.eu/entity/Q7359750,"52.35396,5.19557",029,"Research and innovation processes, technology transfer and cooperation between enterprises, research centres and universities, focusing on the low carbon economy, resilience and adaptation to climate change",,,PO01,Smarter Europe,RSO1.1,RSO1.1,ERDF,European Regional Development Fund,2021NL16RFPR002,West-Nederland – NL – ERDF,,NL_GM0034,Almere,,,Flevoland,,,NL230,2021-2027,"Within this Opportunities for West III project, Phoenix Release, Maan Glueing Technologies, Rowat and New Horizon Consultancy are working together on the development of silicone-free and fossil-free release coatings and new innovative production technology(s) for their production. More information: phoenixrelease.com ERDF- 333.333,34 euro","Binnen dit Kansen voor West III-project werken Phoenix Release, Maan Glueing Technologies, Rowat en New Horizon Consultancy samen aan de ontwikkeling van siliconenvrije en fossielvrije release coatings en nieuwe innovatieve productietechniek(en) voor de productie ervan. Meer informatie: phoenixrelease.com EFRO- 333.333,34 euro",,,,,NL
https://linkedopendata.eu/entity/Q7360872,2021NL16RFPR002_KVW3-00141,Innovative drying system for flower bulbs,Innovatief droogsysteem voor Bloembollen,Netherlands,15/05/2023,30/09/2026,39.87,611071.59,EUR,243606.0,https://linkedopendata.eu/entity/Q7359838|https://linkedopendata.eu/entity/Q7359839|https://linkedopendata.eu/entity/Q7359840,"52.62384,5.85754",040,Energy efficiency and demonstration projects in SMEs or large enterprises and supporting measures compliant with energy efficiency criteria,,,PO01,Smarter Europe,RSO1.1,RSO1.1,ERDF,European Regional Development Fund,2021NL16RFPR002,West-Nederland – NL – ERDF,,NL_GM0171,Noordoostpolder,,,Flevoland,,,NL230,2021-2027,The demonstration project is based on the use of a tyre drying system for flower bulbs. A tire-drying installation is being built consisting of 19 conveyor belts of 2 meters wide and 12 meters long. These are built on top of each other. The design is such that flower bulbs are spread on top of the band and in a maximum of two hours where the now hand-dry bulbs can be further processed. An air circulation is built up over the drying belts with which the moisture is removed from the bulbs. More information: balkbloembollen.nl ERDF - 243.606 euro,Het demonstratieproject is gebaseerd op inzet van een bandendroogsysteem voor bloembollen. Een bandendroog installatie wordt gebouwd bestaande uit 19 transportbanden van 2 meter breed en 12 meter lang. Deze worden boven elkaar gebouwd. Het ontwerp is zodanig dat bloembollen boven op de band worden verspreid en in maximaal twee uur waar de inmiddels handdroge bollen verder verwerkt kunnen worden. Over de droogbanden wordt een luchtcirculatie opgebouwd waarmee het vocht van de bollen wordt afgevoerd. Meer informatie: balkbloembollen.nl EFRO- 243.606 euro,,,,,NL
https://linkedopendata.eu/entity/Q7360912,2021NL16RFPR002_KVW3-00209,Scalable AI for patients with chest pain,Schaalbare AI voor patiënten met pijn op de borst,Netherlands,01/03/2024,28/02/2026,40.0,1989220.0,EUR,795688.0,https://linkedopendata.eu/entity/Q7359941|https://linkedopendata.eu/entity/Q7359942,"52.36665,4.83608",010,"Research and innovation activities in SMEs, including networking",,,PO01,Smarter Europe,RSO1.1,RSO1.1,ERDF,European Regional Development Fund,2021NL16RFPR002,West-Nederland – NL – ERDF,,NL_GM0363,Amsterdam,,,Groot-Amsterdam,,,NL329,2021-2027,"The MEDxAI and Expertise Centre Healthcare Algorithms partnership brings an algorithm to the market that supports cardiologists in their work. Based on the prediction, the cardiologist decides whether to request a CT scan. The partners offer this algorithm via their own software platform that is in contact with the electronic health record (EHR) and integrated into the interface of the doctor. The project is supported by several hospitals in the West region.",Het samenwerkingsverband MEDxAI en Expertisecentrum Zorgalgoritmen brengt een algoritme op de markt dat cardiologen ondersteunt in hun werkzaamheden. Op basis van de voorspelling beslist de cardioloog of er een CT-scan wordt aangevraagd. De partners bieden dit algoritme aan via hun eigen softwareplatform dat in contact staat met het elektronisch patiëntendossier (EPD) en geïntegreerd wordt in de interface van de arts. Het project wordt ondersteund door verschillende ziekenhuizen in de regio West.,,,,,NL
https://linkedopendata.eu/entity/Q7360911,2021NL16RFPR002_KVW3-00208,TommyTomato turns children in The Hague into vegetable eaters for life.,TommyTomato maakt van kinderen in Den Haag groente-eters voor het leven.,Netherlands,01/01/2024,31/12/2025,40.0,1762501.49,EUR,705000.6,https://linkedopendata.eu/entity/Q7359940,"52.080329,4.30965",046,"Support to entities that provide services contributing to the low carbon economy and to resilience to climate change, including awareness-raising measures",,,PO05,Europe closer to citizens,RSO5.1,RSO5.1,ERDF,European Regional Development Fund,2021NL16RFPR002,West-Nederland – NL – ERDF,,NL_GM0518,'s-Gravenhage,,,Agglomeratie's-Gravenhage,,,NL332,2021-2027,"In this project plan we describe how our project contributes to the integrated social development in the GTI area of The Hague. With our local initiative we tackle challenges that arise from a low social position, economic dichotomy and not being able to cope with society. We offer an integrated approach that focuses on a transition to a healthier and more inclusive society. This with the aim of: reduce disadvantages in neighbourhoods with large health gaps and give people the opportunity to live longer in good health. Our approach is preventive in nature and aims to bring about a behavioural change, starting from the basics: children in primary school. A significant part of the burden of disease is caused by an unhealthy living environment. For some children, especially from vulnerable neighbourhoods where a lack of knowledge and financial resources hampers access to healthy food, healthy nutrition poses a challenge (source 1: CBS, 2017). Onde...","In dit projectplan beschrijven we hoe we met ons project een bijdrage leveren aan de geïntegreerde sociale ontwikkeling in het GTI gebied van Den Haag. Met ons lokale initiatief pakken wij uitdagingen aan die voortkomen uit een lage sociale positie, economische tweedeling en het niet kunnen meekomen in de maatschappij. We bieden een geïntegreerde aanpak die gericht is op een transitie naar een gezondere en inclusievere samenleving. Dit met als doel: achterstanden in wijken met grote gezondheidsverschillen te verkleinen en mensen de kans te geven langer in goede gezondheid te leven. Onze aanpak is preventief van aard en beoogt een gedragsverandering te bewerkstelligen, beginnend bij de basis: kinderen op de basisschool. Een aanzienlijk deel van de ziektelast wordt veroorzaakt door een ongezonde leefomgeving. Voor sommige kinderen, vooral uit kwetsbare wijken waar een gebrek aan kennis en financiële middelen de toegang tot gezond eten bemoeilijkt, vormt gezonde voeding een uitdaging (bron 1: CBS, 2017). Onde...",,,,,NL
https://linkedopendata.eu/entity/Q7360711,2021NL16JTPR001_JTFN-00030,Future Tech Ventures (incentive to capital),Future Tech Ventures (toeleiding naar kapitaal),Netherlands,01/07/2023,31/12/2029,47.62,1657800.0,EUR,789428.57,https://linkedopendata.eu/entity/Q7359414,"53.218720332241,6.6206082115429",025,"Incubation, support to spin offs and spin outs and start ups",,,PO08,Just Transition,JTF,JTF,JTF,Just Transition Fund,2021NL16JTPR001,Nederland – NL – JTF,,NL_GM0014,Groningen,,,Overig Groningen,,,NL113,2021-2027,Future Tech Ventures focuses on sustainable innovative early-stage start-ups that leverage opportunities arising from the four transitions identified in the RIS3 2021-2027. These startups are in the so-called Proof of Concept f...,Future Tech Ventures richt zich op duurzame innovatieve van vroege fase start ups die kansen benutten die voortvloeien uit de vier transities die zijn geïdentificeerd in de RIS3 2021-2027. Deze startups bevinden in de zogenaamde Proof of Concept f...,,,,,NL
https://linkedopendata.eu/entity/Q7360985,2021NL16RFPR002_KVW3-00318,MBFC,MBFC,Netherlands,01/10/2024,31/12/2025,28.82,1156784.75,EUR,333333.34,https://linkedopendata.eu/entity/Q7360065,"52.669896,5.931578",010,"Research and innovation activities in SMEs, including networking",,,PO01,Smarter Europe,RSO1.1,RSO1.1,ERDF,European Regional Development Fund,2021NL16RFPR002,West-Nederland – NL – ERDF,,NL_GM0171,Noordoostpolder,,,Flevoland,,,NL230,2021-2027,"Shipping needs to become more sustainable quickly through future regulations. However, commercially viable sustainable drives are still missing. Hydrogen and fully electric propulsion are currently not practical for large ships. Electric Ship Facilities (ESF) therefore proposes the use of Methanol Based Fuel Cells (MBFCs). This technology converts methanol into hydrogen, which then generates electricity for the drive. Within this project, ESF is developing a modular system that can easily be integrated into both new and existing vessels. This system includes various management systems for batteries, energy, hydrogen storage and safety. The goal is to create a market-ready, certified MBFC system, delivered in a container or skid. This system is innovative through the fusion of advanced technologies. Methanol is low-carbon, safe and less harmful in the event of spills, making it an attractive more sustainable alternative.","De scheepvaart moet snel verduurzamen door toekomstige regelgeving. Commercieel haalbare duurzame aandrijvingen ontbreken echter nog. Waterstof en volledig elektrische aandrijving zijn momenteel niet praktisch voor grote schepen. Electric Ship Facilities (ESF) stelt daarom het gebruik van Methanol Based Fuel Cells (MBFC’s) voor. Deze technologie zet methanol om in waterstof, wat vervolgens elektriciteit genereert voor de aandrijving. Binnen dit project ontwikkelt ESF een modulair systeem dat eenvoudig integreerbaar is in zowel nieuwe als bestaande schepen. Dit systeem omvat verschillende beheersystemen voor batterijen, energie, waterstofopslag en veiligheid. Het doel is een marktklaar, gecertificeerd MBFC-systeem te creëren, geleverd in een container of skid. Dit systeem is innovatief door de samensmelting van geavanceerde technologieën. Methanol is koolstofarm, veilig en minder schadelijk bij morsincidenten, waardoor het een aantrekkelijk duurzamer alternatief is.",,,,,NL
https://linkedopendata.eu/entity/Q7361120,2021NL16RFPR003_STIM-01068,Productive buffer strips,Productieve bufferstroken,Netherlands,01/01/2025,31/12/2028,26.98,5047473.0,EUR,1361675.0,https://linkedopendata.eu/entity/Q7359260|https://linkedopendata.eu/entity/Q7359275|https://linkedopendata.eu/entity/Q7360430|https://linkedopendata.eu/entity/Q7360431|https://linkedopendata.eu/entity/Q7360432|https://linkedopendata.eu/entity/Q7360433,"51.4938659,4.2777562",009,"Research and innovation activities in micro enterprises including networking (industrial research, experimental development, feasibility studies)",,,PO01,Smarter Europe,RSO1.1,RSO1.1,ERDF,European Regional Development Fund,2021NL16RFPR003,Zuid-Nederland – NL – ERDF,,NL_GM0748,Bergen op Zoom,,,West-Noord-Brabant,,,NL411,2021-2027,"This project creates productive buffer strips, which not only help farmers to comply with CAP and manure legislation, but also offer economic opportunities and contribute to an ecological balance in agriculture. Buffer strips with crops such as willow, poplar and miscanthus promote biodiversity, improve water quality through nutrient collection, and provide future-proof earning models for the region. The sustainable chain approach uses the (residual) flows from the productive buffer strip as construction and substrate material, which achieves circularity and promotes local circular agriculture. This innovative concept supports the agricultural and food transition, provides added value for local communities and nature, and can be scaled up within the southern Netherlands and beyond.","In dit project worden productieve bufferstroken gecreëerd, die landbouwers niet alleen helpen te voldoen aan de GLB- en mestwetgeving, maar ook economische kansen bieden en bijdragen aan een ecologische balans in de landbouw. Bufferstroken met gewassen zoals wilg, populier en miscanthus bevorderen biodiversiteit, verbeteren waterkwaliteit door nutriëntenopvang, en bieden toekomstbestendige verdienmodellen voor de regio. De duurzame ketenbenadering benut de (rest)stromen uit de productieve bufferstrook als bouw- en substraatmateriaal, wat circulariteit realiseert en lokale kringlooplandbouw bevordert. Dit innovatieve concept ondersteunt daarmee de landbouw- en voedseltransitie, levert toegevoegde waarde voor lokale gemeenschappen en natuur, en is op te schalen binnen Zuid-Nederland en daarbuiten.",,,,,NL
https://linkedopendata.eu/entity/Q7360903,2021NL16RFPR002_KVW3-00196,UNIIQ: Proof of Concept Fund Zuid-Holland (2024-2029),UNIIQ: Proof of Concept Fonds Zuid-Holland (2024-2029),Netherlands,01/01/2024,31/12/2029,39.96,16922000.0,EUR,6762000.0,https://linkedopendata.eu/entity/Q7359914,"52.07889,4.33684",025,"Incubation, support to spin offs and spin outs and start ups",,,PO01,Smarter Europe,RSO1.1,RSO1.1,ERDF,European Regional Development Fund,2021NL16RFPR002,West-Nederland – NL – ERDF,,NL_GM0518,'s-Gravenhage,,,Agglomeratie's-Gravenhage,,,NL332,2021-2027,"UNIIQ Proof of concept fund Zuid-Holland aims to fill the financing gap for companies, by investing in innovative SMEs and increasing investor readiness aimed at follow-up financing. More information: uniiq.nl","UNIIQ Proof of concept fonds Zuid-Holland heeft als oogmerk om in het financieringsgat voor bedrijven te voorzien, door het investeren in innovatieve MKB en de de investor readiness gericht op vervolgfinanciering te vergroten. Meer informatie: uniiq.nl",,,,,NL
https://linkedopendata.eu/entity/Q7361166,2021NL16RFPR004_OOST-00106,Vertical Farming 2.0 - Just Add Water,Vertical Farming 2.0 -Just Add Water,Netherlands,01/11/2024,01/05/2027,29.52,1782000.0,EUR,525973.79,https://linkedopendata.eu/entity/Q7360584|https://linkedopendata.eu/entity/Q7360585|https://linkedopendata.eu/entity/Q7360586|https://linkedopendata.eu/entity/Q7360587,"51.9192887,5.8473619",010,"Research and innovation activities in SMEs, including networking",,,PO01,Smarter Europe,RSO1.1,RSO1.1,ERDF,European Regional Development Fund,2021NL16RFPR004,Oost-Nederland – NL – ERDF,,NL_GM1734,Overbetuwe,,,Arnhem/Nijmegen,,,NL226,2021-2027,"In the project ‘Vertical Farming 2.0 - Just Add Water’, a pilot line is being developed to produce the Holland Bioproducts grow plug in series. The biodegradable jute grow plug has been developed as a sustainable alternative to rock wool, peat and coconut. Grow seed and biostimulant have been applied to the plug, making it a ready-to-use product (‘add water only’). This is ideal for vertical cultivation and greenhouse growers who want to save on operational costs. Due to the perfect air and water balance, the plug is ideal for the cultivation of vegetables, herbs, berries and ornamental plants.","In het project ‘Vertical Farming 2.0 - Just Add Water’ wordt een pilotlijn ontwikkeld om de kweekplug van Holland Bioproducts seriematig te produceren. De biologisch afbreekbare kweekplug van jute is ontwikkeld als duurzaam alternatief voor steenwol, veen en kokos. Op de plug is kweekzaad en bio-stimulant aangebracht, waardoor het een kant-en-klaar product (“alleen water toevoegen”) is. Dit is ideaal voor verticale teelt en glastuinbouwers die op operationele kosten willen besparen. Door de perfecte lucht- en waterbalans is de plug ideaal voor de teelt van groenten, kruiden, bessen en sierteelt.",,,,,NL
https://linkedopendata.eu/entity/Q7360987,2021NL16RFPR002_KVW3-00322,Tech Hub Amsterdam North,Tech Hub Amsterdam Noord,Netherlands,04/09/2024,30/06/2029,39.82,1680317.55,EUR,669087.65,https://linkedopendata.eu/entity/Q7359786|https://linkedopendata.eu/entity/Q7360067|https://linkedopendata.eu/entity/Q7360068|https://linkedopendata.eu/entity/Q7360069|https://linkedopendata.eu/entity/Q7360070,"52.4202593,4.8904653",140,Support for labour market matching and transitions,,,PO05,Europe closer to citizens,RSO5.1,RSO5.1,ERDF,European Regional Development Fund,2021NL16RFPR002,West-Nederland – NL – ERDF,,NL_GM0363,Amsterdam,,,Groot-Amsterdam,,,NL329,2021-2027,"In A'dam Noord, a large number of young people in Noord grow up in poverty, there are 18.5% early school leavers and 14% youth unemployment. This negatively affects their development and opportunities in the labour market. A commitment is needed to support them towards a good education / position on the labour market. It is very important to create a low-threshold and attractive place in the vicinity of young people. By bringing residents into contact with technology and developing in it, they respond to the high demand for technicians and improve their chances/future perspective. It promotes prosperity and increases the attractiveness of technical professions. It benefits A'dam Noord and the region. Through programming with local entrepreneurs, Noorderlingen is encouraged to get acquainted with technology. They will then have the opportunity to move on to an education or work in technology. This contributes to strengthening the technical sector and sustainable employment for Noorderlingen.","In A'dam Noord groeit een groot aantal jongeren in Noord op in armoede, is er 18,5% vroegtijdige schoolverlaters en 14% jeugdwerkloosheid. Dit beïnvloedt hun ontwikkeling en kansen op de arbeidsmarkt negatief. Inzet is nodig om ze te ondersteunen naar een goede opleiding/positie op de arbeidsmarkt. Het is van groot belang om een laagdrempelige en aantrekkelijke plek te creëren in de nabijheid v/d jongeren. Door bewoners in contact te brengen met techniek en zich hierin te ontwikkelen, wordt ingespeeld op de grote vraag naar technici en het verbeteren van hun kansen/toekomstperspectief. Het bevordert welvaart en vergroot aantrekkelijkheid van technische beroepen. Het komt A'dam Noord en de regio ten goede. D.m.v. programmering met lokale ondernemers worden Noorderlingen gestimuleerd om kennis te maken met techniek. Vervolgens krijgen ze de kans om door te stromen naar een opleiding of werk in de techniek. Dit draagt bij aan versterking v/d technische sector en duurzame werkgelegenheid voor Noorderlingen.",,,,,NL
