Operation_Unique_Identifier,Operation_Local_Identifier,Operation_Name_English,Operation_Name_Programme_Language,Country,Operation_Start_Date,Operation_End_Date,Cofinancing_Rate,Total_Eligible_Expenditure_amount,Total_Eligible_Expenditure_Currency,Project_EU_Budget,Beneficiary_Unique_Identifier,Location_Indicator_latitude_longitude,Category_Of_Intervention,Category_Label,Thematic_Objective_ID,Thematic_Objective_Label,Policy_Objective_ID,Policy_Objective_Label,Specific_Objective_ID,Specific_Objective_Label,Fund_Code,Fund_Name,Programme_Code,Programme_Name,Postal_Code,LAU_IDs,LAU_Labels,NUTS1_Label,NUTS2_Label,NUTS3_Label,NUTS1_Code,NUTS2_Code,NUTS3_Code,Programming_Period,Operation_Summary_English,Operation_Summary_Programme_Language,ManagingAuthority,Image_URL,InfoRegio_ID,InfoRegio_URL,CountryCode
https://linkedopendata.eu/entity/Q7415916,2021RO05SFPR001_301459,Keeping up the pace for career development,Ținem pasul pentru dezvoltarea carierei,Romania,01/11/2024,31/10/2027,100.0,983180.15,EUR,983180.15,https://linkedopendata.eu/entity/Q3117606,"46.0159362,23.5468497|45.7973912,24.1519202|46.6064606,24.6246786|45.6525105,25.6105654|46.6443061,25.6221919|45.8966793,26.0101806",146,"Support for adaptation of workers, enterprises and entrepreneurs to change",,,PO04,Social Europe,ESO4.7,ESO4.7,ESF+,European Social Fund Plus,2021RO05SFPR001,Education and Employment – RO – ESF+,,,,,,Braşov|Covasna|Harghita|Alba|Mureş|Sibiu,,,RO122|RO123|RO124|RO121|RO125|RO126,2021-2027,"The overall objective of the project is to promote and implement active learning measures for 602 employees in order to prepare them for the changes and new requirements on the labor market. The project contributes to the achievement of the specific objective ESO4.7. by implementing measures designed based on the concrete needs identified by the Applicant within the labour market. These needs have been identified both in terms of the Applicant's experience and the fact that it is a relevant organization on the labor market in the Centre region. In this regard, an integrated approach will be considered, targeting employees from several angles and areas of intervention. For visible effects both at the level of each person involved in the target group and at the level of the sector and society in general, the project targets a total target group of 602 employed persons. The project aims to improve the level of competence through professional training (accredited or","Obiectivul general al proiectului il reprezinta promovarea si implementarea unor masuri active de invatare pentru 602 angajati cu scopul de a-i pregati pentru schimbarile si cerintele noi de pe piata muncii. Proiectul contribuie la realizarea obiectivului specific ESO4.7. prin implementarea unor masuri proiectate in baza nevoilor concrete identificate de Solicitant in cadrul pieței muncii. Aceste nevoi au fost identificate atat prin prisma experientei Solicitantului, dar si a faptului ca acesta este o organizatie relevanta pe piata muncii in regiunea Centru. In acest sens, se va avea in vedere o abordare integrata, care sa vizeze angajatii din mai multe unghiuri si domenii de interventie. Pentru efecte vizibile atat la nivelul fiecarei persoane implicate in grupul tinta dar si la nivel de sector si de societate in general, proiectul vizeaza un grup tinta total de 602 persoane angajate. Proiectul vizează îmbunatatirea nivelului de compentente prin formarea profesională (acreditată sau",,,,,RO
https://linkedopendata.eu/entity/Q7420258,2021RO16RFPR005_335819,FUNCTIONAL RECONVERSATION OF THE CHERETEU LOCATION AREA -R.U.,RECONVERSIA FUNCȚIONALĂ A ZONEI LACULUI CHERETEU -R.U.,Romania,01/09/2022,30/01/2028,98.0,3166301.75,EUR,3102975.71,https://linkedopendata.eu/entity/Q3117262,"46.0159362,23.5468497",166|168,"Protection, development and promotion of cultural heritage and cultural services|Physical regeneration and security of public spaces",,,PO05,Europe closer to citizens,RSO5.1,RSO5.1,ERDF,European Regional Development Fund,2021RO16RFPR005,Central Region  – RO – ERDF,,,,,,Alba,,,RO121,2021-2027,"The general objective/purpose of the project is the urban development of Blaj by regenerating the Chereteu Lake located inside the city and by developing the cultural infrastructure by building a cultural center and providing the citizens with leisure facilities, respectively for their involvement in various community activities. The present project through the proposed activities aims to increase the quality of life of the inhabitants of Blaj Municipality. This project under the title ""FUNCTIONAL RECONVERSATION OF THE CHERETEU LAKE AREA"" falls both under Policy Objective 5 ""A Europe closer to citizens by promoting the sustainable and integrated development of all types of territories and local initiatives"" of the European Regional Development Fund and under Investment Priority 8 ""Attractive region"", Specific Objective 8.1. ""Integrated urban development through the regeneration of public spaces,","Obiectivul general/scopul proiectului este dezvoltarea urbană a Municipiului Blaj prin regenerarea Lacului Chereteu aflat în intravilanul municipiului și prin dezvoltarea infrastructurii culturale prin construirea unui centru cultural și punerea la dispoziția cetățenilor a unor facilități pentru petrecerea timpului liber, respectiv pentru implicarea acestora în diverse activități comunitare. Prezentul proiect prin activitățile propuse vizează creșterea calității vieții locuitorilor din cadrul Municipiului Blaj. Prezentul proiect cu titlul „RECONVERSIA FUNCȚIONALĂ A ZONEI LACULUI CHERETEU” se înscrie atât în Obiectivul de politică 5 „O Europă mai aproape de cetățeni prin promovarea dezvoltării sustenabile și integrate a tuturor tipurilor de teritorii și a inițiativelor locale” al Fondului European de Dezvoltare Regională, cât și în Prioritatea de investiții 8 „O regiune atractivă”, Obiectivul Specific 8.1. „Dezvoltare urbană integrată prin regenerarea spațiilor publice, punerea în valoa",,,,,RO
https://linkedopendata.eu/entity/Q7420402,2021RO05SFPR001_337210,Competences for the future,Competente pentru viitor,Romania,01/08/2024,31/03/2027,92.82,497577.8,EUR,461851.71,https://linkedopendata.eu/entity/Q7388990,"45.7954068,22.945243",151,Support for adult education (excluding infrastructure),,,PO04,Social Europe,ESO4.7,ESO4.7,ESF+,European Social Fund Plus,2021RO05SFPR001,Education and Employment – RO – ESF+,,,,,,Hunedoara,,,RO423,2021-2027,"Investing in people is the key to sustainable progress for society. Human capital development targets the workforce, which is required to be competent and sufficient to support progress and transformation, the education of children and young people, the continuous training of adults, the activation of inactive labour resources, but also the population in general to enjoy the benefits offered by new technologies and ways of consuming services in digital form respectively with new lifestyles and work styles. In Hunedoara County, unemployment remains at a very high rate compared to the national average. As of September 30, the unemployment rate at national level was 3.14%, and in Hunedoara County it was 4.71% (7214 unemployed). Unpaid unemployment is at the level of 70%, for the analysis of the labour market this indicator shows the difficulty of reintegration into employment for the unemployed. For our particularly important project it is to analyze the distribution of unemployment by groups d","Investitiile in oameni reprezinta cheia progresului durabil pentru societate. Dezvoltarea capitalului uman vizeaza forta de munca, care se cere a fi competenta si suficienta pentru a sustine progresul si transformarile, educatia copiilor si a tinerilor, formarea continua a adultilor, activarea resurselor de munca inactive, dar si populatia in general care sa se bucure de beneficii oferite de noi tehnologii si modalitati de a consuma servicii in forma digitala respectiv cu noi stiluri de viata si de munca. In judetul Hunedoara somajul se mentine la o cota foarte ridicata fata de media nationala. La 30 septembrie Rata somajului la nivel national era de 3.14%, iar in judetul Hunedoara aceasta se situa la 4.71% (7214 someri). Somajul neindemnizat este la nivelul a 70%, pentru analiza pietei muncii acest indicator arata dificultatea de reinsertie profesionala pentru persoanele fara loc de munca. Pentru proiectul nostru deosebit de important este sa analizam distributia somajului pe grupe d",,,,,RO
https://linkedopendata.eu/entity/Q7416618,2021RO16FFPR002_312766,Increasing the storage capacity at the Cereal Terminal at Dana 80 in Constanta North Port,Sporirea capacității de depozitare la Terminalul de Cereale de la Dana 80 din Portul Constanța Nord,Romania,03/11/2023,01/12/2024,100.0,1990159.99,EUR,1990159.99,https://linkedopendata.eu/entity/Q7387221,"44.1767161,28.6507598",108,Multimodal transport (TEN-T),,,PO03,Connected Europe,RSO3.1,RSO3.1,CF,Cohesion Fund,2021RO16FFPR002,Transport – RO – ERDF/CF,,,,,,Constanţa,,,RO223,2021-2027,"The project aims to increase the operating capacity of grain in Constanta South Port. Increasing the operating capacity is aimed at increasing the speed of transhipment of cereals in particular from Ukraine. Following the implementation of the project, the main expected results are as follows: Increase the temporary storage capacity by 11,800 tons - Increase the rotation speed of grain deposits to 17 days. The overall objective of the project is to increase by 30.11.2024 the processing capacity of cereals, in particular cereals originating from Ukraine, at the grain terminal at berth 80 in the Port of Constanta South.","Proiectul are ca scop creșterea capacității de operare a cerealelor în Portul Constanța Sud. Prin creșterea capacității de operare este vizată creșterea vitezei de transbordare a cerealelor în special a cerealelor provenite din Ucraina. În urma realizării proiectului principalele rezultate așteptate sunt următoarele: - Creșterea capacității de depozitare temporară cu 11.800 tone - Creșterea vitezei de rotație a depozitelor de cereale la 17 zile. Obiectivul general al proiectului constă în creșterea până la data de 30.11.2024 a capacității de procesare a cerealelor, în special cerealele provenite din Ucraina, la terminalul de cereale de la dana 80 din Portul Constanța Sud.",,,,,RO
https://linkedopendata.eu/entity/Q7416159,2021RO05SFPR001_305756,"Developing SAONRC capacity through digitalisation, training and counselling/mentoring","Dezvoltarea capacității SAONRC prin digitalizare, pregătire profesională și consiliere/mentorat",Romania,01/07/2023,30/04/2025,100.0,457927.9,EUR,457927.9,https://linkedopendata.eu/entity/Q7387059,"46.1753793,21.3196342|45.6913184,21.6321268|45.1271344,22.0771445|46.9926899,22.192752|47.7891763,22.8725598|45.7954068,22.945243|47.1561868,23.0191923|44.6034908,23.0580419|44.9611675,23.3256799|46.0159362,23.5468497|46.769379,23.5899542|44.2150123,23.669363|45.7973912,24.1519202|45.0404536,24.1538719|47.6712547,24.1964613|44.4333,24.3667|47.1772548,24.5411592|46.6064606,24.6246786|44.9939764,24.8488685|44.0684876,25.191045|44.9224565,25.4819575|45.6525105,25.6105654|46.6443061,25.6221919|47.5326534,25.8345939|43.8959058,25.9658111|45.8966793,26.0101806|45.1087546,26.0378349|44.4361414,26.1027202|44.5017074,26.2449077|44.7077596,26.4475143|46.9910082,26.5134813|46.4228703,26.7163991|47.8528263,26.759334|45.2692581,26.7748173|45.7887088,26.883803|44.1961646,27.3313233|47.1615598,27.5837814|46.496847,27.8036751|45.2716092,27.9742932|45.4338215,28.0549395|44.1767161,28.6507598|45.177518,28.8016348",139,Measures to modernise and strengthen labour market institutions and services to assess and anticipate skills needs and to ensure timely and tailor-made assistance,,,PO04,Social Europe,ESO4.2,ESO4.2,ESF+,European Social Fund Plus,2021RO05SFPR001,Education and Employment – RO – ESF+,,,,,,Braşov|Covasna|Vaslui|Brăila|Prahova|Teleorman|Bucureşti|Timiş|Bihor|Bistriţa-Năsăud|Bacău|Botoşani|Vrancea|Argeş|Vâlcea|Cluj|Iaşi|Călăraşi|Dâmboviţa|Arad|Caraş-Severin|Maramureş|Satu Mare|Neamţ|Suceava|Harghita|Giurgiu|Ialomiţa|Buzău|Constanţa|Hunedoara|Sălaj|Ilfov|Dolj|Alba|Mureş|Sibiu|Galaţi|Tulcea|Gorj|Mehedinţi|Olt County,,,RO122|RO123|RO216|RO221|RO316|RO317|RO321|RO424|RO111|RO112|RO211|RO212|RO226|RO311|RO415|RO113|RO213|RO312|RO313|RO421|RO422|RO114|RO115|RO214|RO215|RO124|RO314|RO315|RO222|RO223|RO423|RO116|RO322|RO411|RO121|RO125|RO126|RO224|RO225|RO412|RO413|RO414,2021-2027,"They have been defined in accordance with the SO of the OEM 2021-2027 and follow precisely priority 1 Modernise labour market institutions - modernise labour market institutions and services to assess and anticipate skills needs, ensure timely and personalised assistance and support matching of supply and demand, transitions and labour market mobility, based on needs analysis, carried out in the framework of activity 0. The project has national coverage, being implemented in both developed and less developed regions; 100% of the project's consolidated bug is allocated to strengthening organizational capacity and social dialogue. OG of the project consists in providing an integrated package of activities with operational profile and oriented towards meeting the needs of S, its members and implicitly the target group: digitisation and improving the capacity of the organisation and advice (A1), modernisation of the dialogue","Ob pr au fost definite in conformitate cu OS al PEO 2021-2027 si urmeaza intocmai prioritatea 1 Moderniz institutiilor pietei muncii- moderniz institutiilor si a serviciilor pietei muncii pentru ca acestea sa evalueze si sa anticipeze necesitatile in materie de competente, sa asigure o asistenta prompta si personalizata si sa sprijine corelarea cererii si a ofertei, tranzitiile si mobilitatea pe piata muncii, fundamentata pe analiza de nevoi, realizata in cadrul activitatii 0. Proiectul are acoperire nationala, fiind implementat atat in reg. dezvoltata, cat si in reg. mai putin dezvoltata; 100% din bug consolidat al proiectului este alocat consolidarii capacit. organizationale si dialogului social. OG al proiectului consta in furnizarea unui pachet integrat de activitati cu profil operational si orientate catre satisfacerea nevoilor S, membrilor acesteia si implicit grupului tinta vizat: digitalizare si imbunatatirea capacitatii organizatiei si consiliere (A1), modernizarea dialogului",,,,,RO
https://linkedopendata.eu/entity/Q7417391,2021RO05SFPR001_318144,Enhancing the QUALITY OF THE EDUCATIONAL ACT FOR STRENGTHENING THE RELATIONSHIP BETWEEN THE LABOUR MARKET AND THE EDUCATION SYSTEM,CRESTEREA CALITATII ACTULUI EDUCATIONAL PENTRU CONSOLIDAREA RELATIEI DINTRE PIATA MUNCII SI SISTEMUL DE EDUCATIE,Romania,01/11/2024,31/10/2026,98.0,491685.84,EUR,481852.12,https://linkedopendata.eu/entity/Q7387649,"46.9910082,26.5134813",140,Support for labour market matching and transitions,,,PO04,Social Europe,ESO4.5,ESO4.5,ESF+,European Social Fund Plus,2021RO05SFPR001,Education and Employment – RO – ESF+,,,,,,Neamţ,,,RO214,2021-2027,"The overall objective of the project is to increase the accessibility, attractiveness and quality of vocational education and training within the Al. I. Cuza Piatra Neamt including the improvement of the quality of the education and training system, through the development of an integrated system for the acquisition of key competences, including entrepreneurship and digital competences and practical professional skills for 252 students coming from vocational education and training and certification of at least 230 students through their participation in effective work-based learning programs and the facilitation and dynamization of the transition from school to professional career through a coordinated system of practical training internships. Through an integrated approach, the proposed project contributes to the achievement of the specific objective of the programme by contributing to the development of practical education and training services in order to better adapt to market dynamics.","Obiectivul general al proiectului consta in cresterea accesibilitatii, atractivitatii si calitatii invatamantului profesional si tehnic din cadrul Liceului Economic Al. I. Cuza Piatra Neamț inclusiv imbunatatirea calitatii sistemului de educatie si formare, prin dezvoltarea unui sistem integrat de dobandire a competentelor cheie, inclusiv de competente de antreprenoriat si digitale si a abilitatilor profesionale practice pentru 252 elevi ce provin din invatamantul profesional si tehnic si certificarea a cel putin 230 elevi prin participarea acestora la programe eficiente de invatare la locul de munca si facilitarea si dinamizarea tranzitiei de la scoala la cariera profesionala printr-un sistem coordonat de stagii de pregatire practica. Printr-o abordare integrata, proiectul propus contribuie la realizarea obiectivului specific al programului prin contributia acestuia la dezvoltarea serviciilor de educatie si formare profesionala practica pentru o mai buna adaptare la dinamica pietei",,,,,RO
https://linkedopendata.eu/entity/Q7416650,2021RO05FFPR001_312975,Support to OIR WEST for travel,Sprijin acordat OIR VEST pentru efectuarea deplasarilor,Romania,01/04/2024,31/12/2029,25.0,139510.0,EUR,34877.5,https://linkedopendata.eu/entity/Q7387096,"46.1753793,21.3196342|45.6913184,21.6321268|45.1271344,22.0771445|45.7954068,22.945243",182,"Reinforcement of the capacity of Member State authorities, beneficiaries and relevant partners",,,POTA,Technical Assistance,SPOTA,SPOTA,ESF+,European Social Fund Plus,2021RO05FFPR001,Social Inclusion – RO – ERDF/ESF+,,,,,,Timiş|Arad|Caraş-Severin|Hunedoara,,,RO424|RO421|RO422|RO423,2021-2027,"The overall objective of the project is to improve and strengthen the capacity of OIR PECU West Region to manage projects financed under the Programme for Inclusion and Social Dignity (PoIDS) 2021-2027 within the delegated priorities, in compliance with the principles of efficient management, transparency, partnership and in accordance with national and Community legislation.","Obiectivul general al proiectului consta in imbunatatirea si consolidarea capacitatii OIR PECU Regiunea Vest de a gestiona proiectele finantate prin Programului Incluziune și Demnitate Socială (PoIDS) 2021-2027 în cadrul prioritatilor delegate, cu respectarea principiilor managementului eficient, transparentei, parteneriatului si în conformitate cu legislatia nationala si comunitara.",,,,,RO
https://linkedopendata.eu/entity/Q7418180,2021RO16JTPR001_322129,Creation of a new service unit within TTA Machinery Industriale SRL,Crearea unei noi unitati de prestari servicii in cadrul TTA Utilaje Industriale SRL,Romania,01/02/2024,31/03/2026,75.47,3239833.65,EUR,2445102.46,https://linkedopendata.eu/entity/Q7388137,"44.2150123,23.669363",177,Outermost regions: support to compensate additional costs due to climate conditions and relief difficulties,,,PO08,Just Transition,JTF,JTF,JTF,Just Transition Fund,2021RO16JTPR001,Just Transition – RO – JTF,,,,,,Dolj,,,RO411,2021-2027,"Out of the desire for continuous development, the management of TTA Machinery Industriale S.R.L. decided to develop the activity by making an initial investment: Creating a new service unit within TTA Machinery Industriale S.R.L., in Sat Cetate, Comuna Cetate, jud. Dolj. It addresses the need for ATT to strengthen the business and to access the latest equipment and to support its acquisition. The investments foreseen in tangible and intangible fixed assets at the level of TTA Machinery Industriale S.R.L. will contribute to the gross capital increase of the company, as well as to the creation and maintenance of jobs. The proposed activity falls under NACE Rev. 2 Code in Division 4399 - Other special construction works n.e.c. Thus, it was decided to access non-reimbursable funds through the facility provided by the Just Transition Programme 2021-2027, Priorities 1-6, Action -Investments for the development of SMEs supporting sustainable growth","Din dorința de dezvoltare continuă, managementul societății TTA Utilaje Industriale S.R.L. a decis dezvoltarea activității prin realizarea unei investiții inițiale:  Crearea unei noi unități de prestări servicii în cadrul TTA Utilaje Industriale S.R.L., în Sat Cetate, Comuna Cetate, jud. Dolj. Aceasta se adresează nevoii TTA de consolidare a afacerii și de acces la cele mai noi echipamente și de sprijin în vederea achiziționării acestora. Investițiile prevăzute în active fixe corporale și necorporale la nivelul TTA Utilaje Industriale S.R.L. vor contribui la creșterea brută de capital a companiei, cât și la crearea și menținerea locurilor de muncă.  Activitatea propusă se încadrează conform Cod CAEN Rev. 2 în diviziunea 4399 - Alte lucrari speciale de construcții n.c.a. Astfel, s-a decis accesarea de fonduri nerambursabile prin facilitatea oferită de Programul Tranziție Justă 2021-2027, Prioritățile 1-6, Acțiunea -Investiții pentru dezvoltarea IMM care sprijină creșterea durabilă",,,,,RO
https://linkedopendata.eu/entity/Q7419729,2021RO16RFPR003_330717,Development of the business incubator - MAST 711 in Mun. Constanta,Dezvoltarea incubatorului de afaceri - MAST 711 in Mun. Constanta,Romania,16/03/2018,31/05/2026,70.33,4002514.47,EUR,2814968.42,https://linkedopendata.eu/entity/Q3115015,"44.1767161,28.6507598",020,Business infrastructure for SMEs (including industrial parks and sites),,,PO01,Smarter Europe,RSO1.3,RSO1.3,ERDF,European Regional Development Fund,2021RO16RFPR003,South East – RO – ERDF,,,,,,Constanţa,,,RO223,2021-2027,"The general objective by which this project is defined is represented by the consolidation of the market position of the newly established companies operating in the field of creative industries defined according to the National Competitiveness Strategy by setting up a business incubator in Mun. Constant support for potential entrepreneurs. The project is in line with the National Entrepreneurship Development Program (PNDA) by developing a business incubator at the highest standards within which an extensive incubation program will be carried out that aims to ensure the sustainability of resident companies over time. The applicant aims through the project to increase the attractiveness of the region by strengthening the market position of the newly established company Given the proposed purpose, the applicant wishes to obtain non-reimbursable aid through the Regional Operational Programme Priority Axis 2 ‘Improving the competitiveness of small and",Obiectivul general prin care este definit acest proiect este reprezentat de consolidarea pozitiei pe piata a societatilor nou infiintate care activeaza in domeniul industriilor creative definite conform Strategia Nationala de Competitivitate prin infiintarea unui incubator de afaceri in Mun. Constanta care sa sprijine potentialii antreprenori. Proiectul este in concordanta cu Programului National de Dezvoltare a Antreprenoriatului (PNDA) prin dezvoltarea unui incubator de afaceri la cele mai inalte standarde in cadrul caruia se va desfasura un amplu program de incubare care are ca scop asigurarea sustenabilitatii in timp a societatilor rezidente. Solicitantul isi propune prin proiect cresterea atractivitatii regiunii prin consolidarea pozitiei pe piata a societatii nou infiintate Avand in vedere scopul propus solicitantul doreste sa obtina un ajutor nerambursabil prin intermediul Programului Operational Regional Axa prioritara 2 ”Îmbunatatirea competitivitatii întreprinderilor mici si,,,,,RO
https://linkedopendata.eu/entity/Q7417851,2021RO16RFPR005_320306,"Development of SENSO PROD SRL's activity in a field of smart specialization, through the acquisition of high performance equipment","Dezvoltarea activitătii SENSO PROD SRL într-un domeniu de specializare inteligentă, prin achizitia de echipamente performante",Romania,01/09/2023,24/06/2026,79.93,249061.0,EUR,199074.46,https://linkedopendata.eu/entity/Q3117761,"45.6525105,25.6105654",021|023|075,"SME business development and internationalisation, including productive investments|Skills development for smart specialisation, industrial transition, entrepreneurship and adaptability of enterprises to change|Support to environmentally-friendly production processes and resource efficiency in SMEs",,,PO01,Smarter Europe,RSO1.3|RSO1.4,RSO1.3|RSO1.4,ERDF,European Regional Development Fund,2021RO16RFPR005,Central Region  – RO – ERDF,,,,,,Braşov,,,RO122,2021-2027,"Technological development of the company in order to increase its competitiveness in the industrial field and especially in the automotive components industry, one of the regional sectors of smart specialization","Dezvoltarea tehnologică a societatii in vederea cresterii competitivitatii sale in domeniul industrial si mai ales in industria componentelor auto, unul dintre sectoarele regionale de specializare inteligentă",,,,,RO
