Operation_Unique_Identifier,Operation_Local_Identifier,Operation_Name_English,Operation_Name_Programme_Language,Country,Operation_Start_Date,Operation_End_Date,Cofinancing_Rate,Total_Eligible_Expenditure_amount,Total_Eligible_Expenditure_Currency,Project_EU_Budget,Beneficiary_Unique_Identifier,Location_Indicator_latitude_longitude,Category_Of_Intervention,Category_Label,Thematic_Objective_ID,Thematic_Objective_Label,Policy_Objective_ID,Policy_Objective_Label,Specific_Objective_ID,Specific_Objective_Label,Fund_Code,Fund_Name,Programme_Code,Programme_Name,Postal_Code,LAU_IDs,LAU_Labels,NUTS1_Label,NUTS2_Label,NUTS3_Label,NUTS1_Code,NUTS2_Code,NUTS3_Code,Programming_Period,Operation_Summary_English,Operation_Summary_Programme_Language,ManagingAuthority,Image_URL,InfoRegio_ID,InfoRegio_URL,CountryCode
https://linkedopendata.eu/entity/Q7501582,2021SI16FFPR001_OP27.00400,Management of LAG Notranjska in the period 2021-2027,Upravljanje LAS Notranjska v obdobju 2021-2027,Slovenia,01/01/2024,30/09/2029,85.0,161930.2,EUR,137640.67,https://linkedopendata.eu/entity/Q3279866,"45.6800342,14.3195439",169,"Territorial development initiatives, including preparation of territorial strategies",,,PO05,Europe closer to citizens,RSO5.2,RSO5.2,ERDF,European Regional Development Fund,2021SI16FFPR001,EU Cohesion Policy - SI -  ERDF/CF/ESF+/JTF,,,,,,Primorsko-notranjska,,,SI038,2021-2027,"Support for the management of the LAG is intended to co-finance the costs incurred in the management and operation of the LAG, including monitoring and evaluation of the approved SLR, animation of the LAG area and assistance to potential beneficiaries for developing project ideas and preparing projects.","Podpora za upravljanje LAS je namenjena za sofinanciranje stroškov, ki so nastali pri upravljanju in delovanju LAS, vključno s spremljanjem in vrednotenjem odobrene SLR, animacijo območja LAS in pomoči morebitnim upravičencem za razvijanje projektnih idej in pripravo projektov.",,,,,SI
https://linkedopendata.eu/entity/Q7501641,2021SI16FFPR001_OP27.00470,Early vocational and occupational rehabilitation model in the return-to-work process from a health perspective,Model zgodnje poklicne in zaposlitvene rehabilitacije v procesu vračanja na delo z vidika zdravja,Slovenia,01/01/2025,15/11/2028,61.92,1800000.0,EUR,1114627.2,https://linkedopendata.eu/entity/Q3280789,"46.054328329124,14.562956200712",160,"Measures to improve the accessibility, effectiveness and resilience of healthcare systems (excluding infrastructure)",,,PO04,Social Europe,ESO4.11,ESO4.11,ESF+,European Social Fund Plus,2021SI16FFPR001,EU Cohesion Policy - SI -  ERDF/CF/ESF+/JTF,,SI_061,Ljubljana,,,Osrednjeslovenska,,,SI041,2021-2027,"The purpose of the project is to establish a model of integrated early vocational and employment rehabilitation for persons with mental health problems, which will enable faster and more successful return to work, and consequently (wider effects) reduce the duration of sick leave and disability retirements, or will contribute to increasing the preservation of employment and social inclusion of that group of persons. The purpose of the project is also to assess the performance of the model tested in the project and to support the introduction of the necessary systemic changes for the implementation of comprehensive early vocational and employment rehabilitation in Slovenia. The objectives of the project are: 1. Preparation of expert bases for comprehensive treatment of persons with mental health problems by adapting the model of integrated early vocational and employment rehabilitation in the process of returning to work. 2. Raising awareness and information of users of health services, employers, the professional public and key institutions at the state level. 3. Supporting people with mental health problems in returning to work with a pilot implementation of a comprehensive early vocational and employment rehabilitation model.","Namen projekta je vzpostaviti model celostne zgodnje poklicne in zaposlitvene rehabilitacije za osebe s težavami v duševnem zdravju, ki bo omogočal hitrejše in uspešnejše vračanje na delo, posledično (širši učinki) pa zmanjšanje trajanja bolniškega staleža in invalidskih upokojitev oziroma bo prispeval k povečanju ohranjanja zaposlenosti in socialne vključenosti navedene skupine oseb. Namen projekta je tudi oceniti uspešnost v projektu preizkušenega modela ter podpreti uvedbo potrebnih sistemskih sprememb za izvajanje celostne zgodnje poklicne in zaposlitvene rehabilitacije v Sloveniji. Cilji projekta so: 1. Priprava strokovnih podlag za celostno obravnavo oseb s težavami v duševnem zdravju s prilagoditvijo modela celostne zgodnje poklicne in zaposlitvene rehabilitacije v procesu vračanja na delo. 2. Dvig ozaveščenosti in informiranosti uporabnikov zdravstvenih storitev, delodajalcev, strokovne javnosti in ključnih inštitucij na ravni države. 3. Podpora osebam s težavami v duševnem zdravju pri vračanju na delo s pilotno implementacijo modela celostne zgodnje poklicne in zaposlitvene rehabilitacije.",,,,,SI
https://linkedopendata.eu/entity/Q7501583,2021SI16FFPR001_OP27.00401,Management of LAGs Connected between Drava and Gorizia in the period 2021-2027,Upravljanje LAS Povezani med Dravo in goricami v obdobju 2021-2027,Slovenia,01/01/2024,30/09/2029,85.0,152513.56,EUR,129636.53,https://linkedopendata.eu/entity/Q3279872,"46.45,15.68333333",169,"Territorial development initiatives, including preparation of territorial strategies",,,PO05,Europe closer to citizens,RSO5.2,RSO5.2,ERDF,European Regional Development Fund,2021SI16FFPR001,EU Cohesion Policy - SI -  ERDF/CF/ESF+/JTF,,,,,,Podravska,,,SI032,2021-2027,"Support for the management of the LAG is intended to co-finance the costs incurred in the management and operation of the LAG, including monitoring and evaluation of the approved SLR, animation of the LAG area and assistance to potential beneficiaries for developing project ideas and preparing projects.","Podpora za upravljanje LAS je namenjena za sofinanciranje stroškov, ki so nastali pri upravljanju in delovanju LAS, vključno s spremljanjem in vrednotenjem odobrene SLR, animacijo območja LAS in pomoči morebitnim upravičencem za razvijanje projektnih idej in pripravo projektov.",,,,,SI
https://linkedopendata.eu/entity/Q7501713,2021SI16FFPR001_OP27.00572,Multipurpose Roma Centre,Večnamenski romski center,Slovenia,01/07/2025,30/09/2029,85.0,1099999.99,EUR,934999.99,https://linkedopendata.eu/entity/Q3280317,"46.556796233015,16.445035196574",163,"Promoting social integration of people at risk of poverty or social exclusion, including the most deprived and children",,,PO04,Social Europe,ESO4.12,ESO4.12,ESF+,European Social Fund Plus,2021SI16FFPR001,EU Cohesion Policy - SI -  ERDF/CF/ESF+/JTF,,SI_059,Lendava/Lendva,,,Pomurska,,,SI031,2021-2027,"The purpose of the project is to establish and operate two VNRC+ in the area of the Municipality of Murska Sobota and the Municipality of Lendava, in which activities will be carried out aimed at strengthening and improving the socio-economic position of members of the Roma community in the Republic of Slovenia, raising the quality of their lives, promoting and strengthening their integration into the wider community and establishing trust and cooperation with the majority population.","Namen projekta je vzpostavitev in delovanje dveh VNRC+, in sicer na območju Mestne občine Murska Sobota in Občine Lendava, v katerih se bodo izvajale aktivnosti, namenjene krepitvi in izboljševanju socialno-ekonomskega položaja pripadnikov romske skupnosti v Republiki Sloveniji, dvigu kakovosti njihovega življenja, spodbujanju in krepitvi njihovega vključevanja v širšo skupnost ter vzpostavljanju zaupanja in sodelovanja z večinskim prebivalstvom.",,,,,SI
https://linkedopendata.eu/entity/Q7501361,2021SI16FFPR001_OP27.00174,Production of OCPS of the municipality of Škocjan,Izdelava OCPS občine Škocjan,Slovenia,01/01/2023,31/12/2025,85.0,28000.0,EUR,23800.0,https://linkedopendata.eu/entity/Q3279660,"45.916598155454,15.298648224966",109,Multimodal transport (not urban),,,PO03,Connected Europe,RSO3.2,RSO3.2,CF,Cohesion Fund,2021SI16FFPR001,EU Cohesion Policy - SI -  ERDF/CF/ESF+/JTF,,SI_121,Škocjan,,,Jugovzhodna Slovenija,,,SI037,2021-2027,Production of OCPS of the municipality of Škocjan,Izdelava OCPS občine Škocjan,,,,,SI
https://linkedopendata.eu/entity/Q7501560,2021SI16FFPR001_OP27.00376,I can do it alone,Zmorem sama,Slovenia,01/09/2024,31/08/2027,85.0,399990.0,EUR,339991.5,https://linkedopendata.eu/entity/Q3279688,"46.08333333,15.45",153,Pathways to integration and re-entry into employment for disadvantaged people,,,PO04,Social Europe,ESO4.8,ESO4.8,ESF+,European Social Fund Plus,2021SI16FFPR001,EU Cohesion Policy - SI -  ERDF/CF/ESF+/JTF,,,,,Eastern Slovenia,,,SI03,,2021-2027,"The operation will implement social activation+ programmes, which through their integrated approach will contribute to improving the social inclusion of people from the target group and to increasing their employment opportunities.","V okviru operacije se bodo izvajali programi socialne aktivacije+, ki bodo s svojim celostnim pristopom prispevali k izboljšanju socialne vključenosti oseb iz ciljne skupine in k povečanju njihovih zaposlitvenih možnosti.",,,,,SI
https://linkedopendata.eu/entity/Q7501425,2021SI16FFPR001_OP27.00239,Production of OCPS of the Municipality of Radeče,Izdelava OCPS občine Radeče,Slovenia,01/01/2023,30/06/2025,85.0,28000.0,EUR,23800.0,https://linkedopendata.eu/entity/Q7501091,"46.060079655158,15.143767544467",109,Multimodal transport (not urban),,,PO03,Connected Europe,RSO3.2,RSO3.2,CF,Cohesion Fund,2021SI16FFPR001,EU Cohesion Policy - SI -  ERDF/CF/ESF+/JTF,,SI_099,Radeče,,,Posavska,,,SI036,2021-2027,Production of OCPS of the Municipality of Radeče,Izdelava OCPS občine Radeče,,,,,SI
https://linkedopendata.eu/entity/Q7501650,2021SI16FFPR001_OP27.00482,Libertas-Shortpoint of Cultures,Libertas-stičišče kultur,Slovenia,26/10/2023,31/12/2026,40.0,4345704.48,EUR,1738281.79,https://linkedopendata.eu/entity/Q3279077,"45.50973901972,13.838311218974",169,"Territorial development initiatives, including preparation of territorial strategies",,,PO05,Europe closer to citizens,RSO5.1,RSO5.1,ERDF,European Regional Development Fund,2021SI16FFPR001,EU Cohesion Policy - SI -  ERDF/CF/ESF+/JTF,,SI_050,Koper/Capodistria,,,Obalno-kraška,,,SI044,2021-2027,"The renovation of the building and the transformation of the functional purpose of the ''Former Salt Warehouse at the Izola Gate - Libertas'' in Koper, which has been declared a cultural infrastructure since 2020, covers 1,548 m2 of built area, which is underutilised. The building, which is part of the historical environment and is located right next to the city centre, is not energy rehabilitated and does not allow the development of cultural activities in all its capacity. Salonite roof and roofing are worn out, the roof leaks in several places, there are no useful sanitary facilities in the room. The facility is currently underused and requires thorough renovation, transformation of the functionality of the premises and energy refurbishment. The project will be implemented within the framework of a mechanism of overall territorial investments aimed at overcoming the degradation and revitalisation of urban space. With the establishment of a cultural junction, early industrial architecture from the mid-19th century will acquire a new purpose. Libertas will become one of the most recognizable urban creative cultural platforms in the region. The reconstruction of the building and the arrangement of the surroundings will improve the urban environment and further revive the wider city centre, with the objectives of the investment being as follows: - reconstruction of a cultural monument of local importance next to the old city centre, - restoration and revitalisation of a cultural heritage facility and infrastructure, with a total usable area of 1,871.90 m2 net (building surfaces) and restoration of 917.00 m2 of outdoor surfaces, - adapted reuse of the historical built environment, the social aspect of land use will also improve, as after the implementation of the project, the area with new arrangements and cultural contents will become a dynamic, programmatically rich and socially vibrant, as well as a safer and more pleasant place, interesting also for repeated visits, both by residents and visitors of Koper.","Prenova objekta in preobrazba funkcionalne namembnosti ''Nekdanjega skladišča soli ob Izolskih vratih – Libertas'' v Kopru, ki je od leta 2020 je razglašen za kulturno infrastrukturo, obsega 1.548 m2 zazidane površine, ki je slabo izkoriščena. Stavba, ki je del historičnega okolja in se nahaja tik ob mestnem jedru ni energetsko sanirana in ne omogoča razvoja kulturnih dejavnosti v vsej svoji zmogljivosti. Salonitna streha in ostrešje so dotrajani, streha na več mestih pušča, v prostoru ni uporabnih sanitarij. Objekt je trenutno slabo izkoriščen in je potreben temeljite prenove, preobrazbe funkcionalnosti prostorov in energetske sanacije. Projekt se bo izvedel v okviru mehanizma celotnih teritorialnih naložb, ki so namenjene odpravi degradacije in revitalizaciji urbanega prostora. Z vzpostavitvijo kulturnega stičišča bo zgodnja industrijska arhitektura iz sredine 19. stoletja dobila novo namembnost. Libertas bo postal ena izmed najbolj prepoznavnih urbanih ustvarjalnih kulturnih platform v regiji. Z rekonstrukcijo objekta in ureditvijo okolice se bo izboljšalo urbano okolje in še dodatno oživilo širše mesto središče, pri čemer so cilji investicije sledeči: - rekonstrukcija kulturnega spomenika lokalnega pomena ob starem mestnem jedru, - obnovitev in revitalizacija objekta kulturne dediščine in infrastrukture, s skupno uporabno površino 1.871,90 m2 neto (stavbnih površin) in obnova 917,00 m2 zunanjih površin, - prilagojena ponovna raba historičnega grajenega okolja, Izboljšal se bo tudi družbeni vidik rabe prostora, saj bo po izvedbi projekta območje z novimi ureditvami in kulturnimi vsebinami postalo dinamičen, programsko bogat in družbeno živahen ter varnejši in prijetnejši prostor, zanimiv tudi za večkraten obisk, tako prebivalcev kot obiskovalcev Kopra.",,,,,SI
https://linkedopendata.eu/entity/Q7501400,2021SI16FFPR001_OP27.00214,Production of OCPS Municipality of Domžale,Izdelava OCPS Občine Domžale,Slovenia,01/01/2023,31/12/2025,85.0,43000.0,EUR,36550.0,https://linkedopendata.eu/entity/Q7501083,"46.145083128182,14.627094050186",109,Multimodal transport (not urban),,,PO03,Connected Europe,RSO3.2,RSO3.2,CF,Cohesion Fund,2021SI16FFPR001,EU Cohesion Policy - SI -  ERDF/CF/ESF+/JTF,,SI_023,Domžale,,,Osrednjeslovenska,,,SI041,2021-2027,Production of OCPS Municipality of Domžale,Izdelava OCPS Občine Domžale,,,,,SI
https://linkedopendata.eu/entity/Q7501242,2021SI16FFPR001_OP27.00052,SPOT Consulting Carinthia 2023-2025,SPOT svetovanje Koroška 2023-2025,Slovenia,01/11/2023,31/12/2025,85.0,545181.0,EUR,463403.85,https://linkedopendata.eu/entity/Q3279135,"46.55,15.05",024,"Advanced support services for SMEs and groups of SMEs (including management, marketing and design services)",,,PO01,Smarter Europe,RSO1.3,RSO1.3,ERDF,European Regional Development Fund,2021SI16FFPR001,EU Cohesion Policy - SI -  ERDF/CF/ESF+/JTF,,,,,,Koroška,,,SI033,2021-2027,SPOT Consulting Carinthia 2023-2025,SPOT svetovanje Koroška 2023-2025,,,,,SI
