Operation_Unique_Identifier,Operation_Local_Identifier,Operation_Name_English,Operation_Name_Programme_Language,Country,Operation_Start_Date,Operation_End_Date,Cofinancing_Rate,Total_Eligible_Expenditure_amount,Total_Eligible_Expenditure_Currency,Project_EU_Budget,Beneficiary_Unique_Identifier,Location_Indicator_latitude_longitude,Category_Of_Intervention,Category_Label,Thematic_Objective_ID,Thematic_Objective_Label,Policy_Objective_ID,Policy_Objective_Label,Specific_Objective_ID,Specific_Objective_Label,Fund_Code,Fund_Name,Programme_Code,Programme_Name,Postal_Code,LAU_IDs,LAU_Labels,NUTS1_Label,NUTS2_Label,NUTS3_Label,NUTS1_Code,NUTS2_Code,NUTS3_Code,Programming_Period,Operation_Summary_English,Operation_Summary_Programme_Language,ManagingAuthority,Image_URL,InfoRegio_ID,InfoRegio_URL,CountryCode
https://linkedopendata.eu/entity/Q7466954,2021SK16FFPR001_401201B230,Reduction of energy intensity of Latorická 2,Zníženie energetickej náročnosti MŠ Latorická 2,Slovakia,01/06/2025,01/11/2026,100.0,903044.28,EUR,903044.28,https://linkedopendata.eu/entity/Q7465583,"48.104003302491,17.207933772743",45,"Energy efficiency renovation or energy efficiency measures regarding public infrastructure, demonstration projects and supporting measures compliant with energy efficiency criteria",,,PO02,"Greener, carbon-free Europe",RSO2.1|RSO2.2,RSO2.1|RSO2.2,ERDF,European Regional Development Fund,2021SK16FFPR001,Programme Slovakia – SK– ERDF/CF/JTF/ESF+,,SK_529311,Bratislava - mestská časť Podunajské Biskupice,,,Bratislava Region,,,SK010,2021-2027,"The purpose of the project is, in addition to improving the material and technical condition of the building of the Kindergarten in Podunajské Biskupice na ul. Latorical 2 also improve energy efficiency and increase the energy performance of the building. This will be reflected in particular in: • Reductions in primary energy consumption • Reductions in the production of CO2 into the air • Reductions in the costs of operating the MINEDU building Thanks to the implementation of the proposed project, there will be a significant reduction in the energy needs for the operation of the building. After deep renovation, the school building will reach the low-energy level of construction (energy class A1) in the sense of Vyhl. MDVRR SR No 364/2012 Coll. with a primary energy demand of 61.34 kWh/(m2.a). The energy consumption of the building after the implementation of the energy efficiency measures will be reduced by 69.20% compared to the situation before the implementation of the project and greenhouse gas emissions will be reduced to 5.347 t eq. CO2 per year. As a result of the implementation of the project, the school building will be renovated beyond the minimum requirements with a total floor area of 1 147.51 m2.","Účelom projektu je okrem zlepšenia materiálno-technického stavu budovy Materskej školy v Podunajských Biskupiciach na ul. Latorická 2 aj zlepšenie energetickej efektívnosti a zvýšenie energetickej hospodárnosti budovy. Uvedené sa prejaví najmä v: • Znížení spotreby primárnej energie • Znížení produkcie CO2 do ovzdušia • Znížení nákladov na zabezpečenie prevádzky budovy MŠ Vďaka realizácii predkladaného projektu dôjde k výraznému zníženiu potreby energií na prevádzku objektu. Školská budova dosiahne po hĺbkovej obnove nízkoenergetickú úroveň výstavby (energetická trieda A1) v zmysle Vyhl. MDVRR SR č. 364/2012 Z.z. pričom potreba primárnej energie dosiahne úroveň 61,34 kWh/(m2.a). Spotreba energie v budove po realizácii opatrení energetickej efektívnosti sa zníži o 69,20 % v porovnaní so stavom pred realizáciou projektu a dôjde k zníženiu emisií skleníkových plynov na hodnotu 5,347 t ekviv. CO2 ročne. V dôsledku realizácie projektu dôjde k obnove školskej budovy nad rámec minimálnych požiadaviek s celkovou podlahovou plochou 1 147,51 m2.",,,,,SK
https://linkedopendata.eu/entity/Q7467810,2021SK16FFPR001_401202FPZ4,Flood protection of the lower section of the Little Danube - Stage III - Stage 2,Protipovodňová ochrana dolného úseku Malého Dunaja – III. etapa - 2.fáza,Slovakia,01/06/2024,01/09/2027,100.0,28157765.14,EUR,28157765.14,https://linkedopendata.eu/entity/Q7465771,"47.964851838437,17.807488986179|47.912711081815,17.820241302388|47.924061618615,17.965574898315|47.961749758763,18.041617797074|47.993260680352,18.163682418323",58,"Adaptation to climate change measures and prevention and management of climate related risks: floods and landslides (including awareness raising, civil protection and disaster management systems, infrastructures and ecosystem based approaches)",,,PO02,"Greener, carbon-free Europe",RSO2.4,RSO2.4,CF,Cohesion Fund,2021SK16FFPR001,Programme Slovakia – SK– ERDF/CF/JTF/ESF+,,SK_501824|SK_501921|SK_501204|SK_503011|SK_503291,Okoč|Topoľníky|Kolárovo|Nové Zámky|Komoča,,,Trnava Region|Nitra Region,,,SK021|SK023,2021-2027,"Flood protection of the lower section of the Little Danube - Stage III. - Phases I and II The implementation of this phase will contribute to the improvement of the situation in the target area in the following indicators: Benefits to human health: - reducing the likelihood of flooding in the area concerned will have a positive impact on the protection of the health and lives of the people of the municipalities concerned, since their mental state has a significant impact on the overall health of the population. Good health leads to cost savings in the health sector (costs of treatment, medicines, etc.) and has an impact on employment or business activities. The proposed biotechnical measures in the Little Danube and Nitra river basins will mitigate the effects of climate change on the health of the population. Benefits to human security: - the implementation of the proposed measure will contribute to the fulfilment of the objectives of flood risk management, i.e. to reduce the likelihood of flooding of the area addressed and thus to increase the potential adverse consequences of flooding for human security and the safe territorial and economic development of the protected area, the proposed biotechnical measures in the Little Danube and Nitra river basins will mitigate the impacts of climate change on business activities, which will have a positive impact on the socio-economic security of people. Benefits for sustainable development: - Flood prevention measures are designed to maximise economic and social aspects without compromising the sustainability of the ecosystem, implementing the proposed measures will reduce/limit significant flood risk, thus helping to create a safe business environment and thus a safe territorial and economic development of the territory.","Protipovodňová ochrana dolného úseku Malého Dunaja - III. etapa. - I. a II. fáza Realizáciou tejto etapy sa prispeje k zlepšeniu situáce v cieľovom území v nasledovných ukazovateľoch: Prínosy pre ľudské zdravie: - zníženie pravdepodobnosti záplav v riešenom území bude mať priaznivý vplyv na ochranu zdravia a životov ľudí dotknutých obcí, nakoľko ich psychický stav má významný vplyv na celkový zdravotný stav obyvateľov. Dobrý zdravotný stav vedie k úspore nákladov v sektore zdravotníctva (náklady na liečbu, lieky a pod.) a má vplyv na zamestnanosť, resp. podnikateľské aktivity. Navrhnutými biotechnickými opatreniami v povodí toku Malý Dunaj a Nitra dôjde k zmierneniu dopadov klimatických zmien na zdravie obyvateľstva. Prínosy pre ľudskú bezpečnosť: - realizácia navrhovaného opatrenia prispeje k napĺňaniu cieľov manažmentu povodňového rizika t.j. k zníženiu pravdepodobnosti záplav riešeného územia a tým k zvýšeniu potenciálnych nepriaznivých následkov záplav na ľudskú bezpečnosť a bezpečný územný a hospodársky rozvoj ochráneného územia, Navrhnutými biotechnickými opatreniami v povodí tokov Malý Dunaj a Nitra dôjde k zmierneniu dopadov klimatických zmien na podnikateľské aktivity, čo bude mať pozitívny vplyv na socio-ekonomickú bezpečnosť ľudí. Prínosy pre trvalo udržateľný rozvoj: - protipovodňové opatrenia sú navrhnuté v snahe maximalizovať ekonomické a sociálne aspekty bez porušenia trvalej udržateľnosti ekosystému, realizáciou navrhovaných opatrení sa zníži/obmedzí významné povodňové riziko, čo napomôže vytvoriť bezpečné podnikateľské prostredie a tým aj bezpečný územný a hospodársky rozvoj daného územia.",,,,,SK
https://linkedopendata.eu/entity/Q7468698,2021SK16FFPR001_401406DJN1,Local civic and preventive services in the village of Benkovce,Miestne občianske a preventívne služby v obci Benkovce,Slovakia,01/03/2024,01/08/2026,100.0,163836.35,EUR,163836.35,https://linkedopendata.eu/entity/Q7466612,"48.944257058757,21.710807981226",154,"Measures to improve access of marginalised groups such as the Roma to education, employment and to promote their social inclusion",,,PO04,Social Europe,ESO4.10,ESO4.10,ESF+,European Social Fund Plus,2021SK16FFPR001,Programme Slovakia – SK– ERDF/CF/JTF/ESF+,,SK_544086,Benkovce,,,Prešov Region,,,SK041,2021-2027,,,,,,,SK
https://linkedopendata.eu/entity/Q7467770,2021SK16FFPR001_401202FPM1,Support for separate collection of eligible types of municipal waste in the municipality of Málaš,Podpora triedeného zberu oprávnených druhov komunálneho odpadu v obci Málaš,Slovakia,01/04/2025,01/12/2025,92.0,112992.0,EUR,103952.64,https://linkedopendata.eu/entity/Q7466137,"48.053188160783,18.517996303049",67,"Household waste management: prevention, minimisation, sorting, reuse, recycling measures",,,PO02,"Greener, carbon-free Europe",RSO2.6,RSO2.6,ERDF,European Regional Development Fund,2021SK16FFPR001,Programme Slovakia – SK– ERDF/CF/JTF/ESF+,,SK_502511,Málaš,,,Nitra Region,,,SK023,2021-2027,The purpose of the project is to invest in waste management in the municipality in order to streamline the already established system of municipal waste collection and environmental protection.,"Účelom projektu je investícia do odpadového hospodárstva v obci, za účelom zefektívnenia už zavedeného systému zberu komunálnych odpadov a ochrany životného prostredia",,,,,SK
https://linkedopendata.eu/entity/Q7466936,2021SK16FFPR001_401201A012,Reconstruction of the municipal office Dunajská Lužná II.,Rekonštrukcia obecného úradu Dunajská Lužná II.,Slovakia,18/03/2025,01/07/2026,100.0,1493697.96,EUR,1493697.96,https://linkedopendata.eu/entity/Q7465580,"48.076300421581,17.269080503322",45,"Energy efficiency renovation or energy efficiency measures regarding public infrastructure, demonstration projects and supporting measures compliant with energy efficiency criteria",,,PO02,"Greener, carbon-free Europe",RSO2.1|RSO2.2,RSO2.1|RSO2.2,ERDF,European Regional Development Fund,2021SK16FFPR001,Programme Slovakia – SK– ERDF/CF/JTF/ESF+,,SK_545333,Dunajská Lužná,,,Bratislava Region,,,SK010,2021-2027,The purpose of the project is to reduce the energy intensity of the building and create an adequate environment for the performance of self-government.,Účelom projektu je znížiť energetickú náročnosť objektu a vytvoriť adekvátne prostredie pre výkon samosprávy.,,,,,SK
https://linkedopendata.eu/entity/Q7468071,2021SK16FFPR001_401400FCY1,I want to work II.,Chcem pracovať II.,Slovakia,01/03/2024,01/02/2026,100.0,369483.75,EUR,369483.75,https://linkedopendata.eu/entity/Q7466307,"49.001666666667,21.239444444444|48.716111111111,21.863055555556",134,Measures to improve access to employment,,,PO04,Social Europe,ESO4.1,ESO4.1,ESF+,European Social Fund Plus,2021SK16FFPR001,Programme Slovakia – SK– ERDF/CF/JTF/ESF+,,,,,,Košice Region|Prešov Region,,,SK042|SK041,2021-2027,The project will achieve the MU: PO167: Number of persons of the target group involved in the project activities - 80 of which 4014010360371 - Ensuring individualised and comprehensive access to disadvantaged jobseekers or inactive persons 401FIP300001 - Inactive in the labour market - 40 4014040570502 - Ensuring individualised access for young people at risk of NEETs or NEETs 401FIP300002 - NEETs under 30 years of age - 40 PR119: Number of inactive participants who have successfully completed the intervention and are employed at the time of leaving - 8 of which 4014010360371 - Ensuring individualised and comprehensive access to disadvantaged jobseekers or inactive persons 401FIP300001 - Inactive on the labour market - 4 44014040570502 - Ensuring individualised access for young people at risk of or in a NEET situation 401FIP300002 - NEETs under 30 - 4,"Projektom budú dosiahnuté MÚ: PO167: Počet osôb cieľovej skupiny zapojených do aktivít projektu - 80 z toho 4014010360371 - Zabezpečovanie individualizovaného a komplexného prístupu k znevýhodneným uchádzačom o zamestnanie alebo neaktívnym osobám 401FIP300001 - Neaktívny na trhu práce - 40 4014040570502 - Zabezpečovanie individualizovaného prístupu pre mladých ľudí ohrozených situáciou NEET alebo v situácii NEET 401FIP300002 - NEET do 30 rokov - 40 PR119: Počet neaktívnych účastníkov, ktorí úspešne ukončili intervenciu a sú v čase odchodu zamestnaní – 8 z toho 4014010360371 - Zabezpečovanie individualizovaného a komplexného prístupu k znevýhodneným uchádzačom o zamestnanie alebo neaktívnym osobám 401FIP300001 - Neaktívny na trhu práce - 4 44014040570502 - Zabezpečovanie individualizovaného prístupu pre mladých ľudí ohrozených situáciou NEET alebo v situácii NEET 401FIP300002 - NEET do 30 rokov - 4",,,,,SK
https://linkedopendata.eu/entity/Q7467834,2021SK16FFPR001_401202FQG8,Courtyard in the village of Dúbrava,Zberný dvor v obci Dúbrava,Slovakia,01/07/2025,01/02/2026,92.0,84548.2,EUR,77784.34,https://linkedopendata.eu/entity/Q7466184,"48.8760317,22.357482",67,"Household waste management: prevention, minimisation, sorting, reuse, recycling measures",,,PO02,"Greener, carbon-free Europe",RSO2.6,RSO2.6,ERDF,European Regional Development Fund,2021SK16FFPR001,Programme Slovakia – SK– ERDF/CF/JTF/ESF+,,SK_520179,Dúbrava (okres Snina),,,Prešov Region,,,SK041,2021-2027,"The purpose of the present project is to build a collection yard within the system of separate collection of municipal waste in the municipality of Dúbrava. The expected result of the successful implementation of the project will be the establishment of the functional operation of the collection court in the territory of the municipality of Dúbrava. With this implementation, we expect to increase the quality of services provided in the field of waste management, through an increased share of sorted municipal waste fractions in this territory.","Účelom predkladaného projektu je vybudovanie zberného dvora v rámci systému triedeného zberu komunálnych odpadov v obci Dúbrava. Očakávaným výsledkom úspešnej realizácie projektu bude zriadenie funkčnej prevádzky zberného dvora na území obce Dúbrava. Predmetnou realizáciou očakávame rozšírenie kvality poskytovaných služieb v oblasti odpadového hospodárstva, prostredníctvom zvýšeného podielu vytriedených zložiek komunálneho odpadu v tomto území.",,,,,SK
https://linkedopendata.eu/entity/Q7468291,2021SK16FFPR001_401402C762,Quality and inclusive education within Elementary school Partizánska Ľupča,Kvalitné a inkluzívne vzdelávanie v rámci ZŠ Partizánska Ľupča,Slovakia,01/07/2025,01/01/2026,92.0,224412.0,EUR,206459.04,https://linkedopendata.eu/entity/Q7465969,"48.990745868033,19.421318760615",122,Infrastructure for primary and secondary education,,,PO04,Social Europe,RSO4.2,RSO4.2,ERDF,European Regional Development Fund,2021SK16FFPR001,Programme Slovakia – SK– ERDF/CF/JTF/ESF+,,SK_510904,Partizánska Ľupča,,,Žilina Region,,,SK031,2021-2027,,,,,,,SK
https://linkedopendata.eu/entity/Q7467483,2021SK16FFPR001_401202FIV9,Region Nové Zámky - waste water collection and treatment - part Tvrdošovce II.stage,Región Nové Zámky - odvedenie a čistenie odpadových vôd - časť Tvrdošovce II.etapa,Slovakia,01/11/2024,01/04/2028,92.0,23632127.53,EUR,21741557.33,https://linkedopendata.eu/entity/Q7465939,"48.090386411149,18.043963657311",65,Waste water collection and treatment,,,PO02,"Greener, carbon-free Europe",RSO2.5,RSO2.5,ERDF,European Regional Development Fund,2021SK16FFPR001,Programme Slovakia – SK– ERDF/CF/JTF/ESF+,,SK_503614,Tvrdošovce,,,Nitra Region,,,SK023,2021-2027,"The purpose of the project is to complete the whole project ""Region Nové Zámky - wastewater collection and treatment - part Tvrdošovce"". Within the financial possibilities of the municipality, part of the project was built, which was marked as Stage I, but the municipality plans to complete the sewer network for the whole municipality. The implementation of the whole project will build more than 25 km of sewer network and improve the collection and treatment of urban wastewater for more than 4 000 inhabitants of the municipality. The implementation of the project will contribute to the protection of groundwater and above-ground waters and reduce the threat to the environment.","Účelom projektu je dobudovanie celého projektu ""Región Nové Zámky - odvedenie a čistenie odpadových vôd - časť Tvrdošovce"". V rámci finančných možností obce bola vybudovaná časť projektu, ktorý bol označený ako I. etapa, avšak obec plánuje dobudovať stokovú sieť pre celú obec. Realizáciou celého projektu sa vybuduje viac ako 25 km stokovej siete a zlepší sa odvádzanie a čistenie komunálnych odpadových vôd pre viac ako 4 000 obyvateľov obce. Realizácia projektu prispeje k ochrane podzemných a nadzemných vôd a zníži ohrozenie životného prostredia.",,,,,SK
https://linkedopendata.eu/entity/Q7467450,2021SK16FFPR001_401202FGY3,Implementation of water retention measures using the vegetation layer of the roof covering - MŠ Uprising of the Czech People 11,Realizácia vodozádržných opatrení pomocou vegetačnej vrstvy strešného plášťa – MŠ Povstania českého ľudu 11,Slovakia,14/12/2023,01/06/2025,100.0,107866.49,EUR,107866.49,https://linkedopendata.eu/entity/Q7465500,"48.748139493695,21.293687751075",60,"Adaptation to climate change measures and prevention and management of climate related risks: others, e.g. storms and drought (including awareness raising, civil protection and disaster management systems, infrastructures and ecosystem based approaches)",,,PO02,"Greener, carbon-free Europe",RSO2.4,RSO2.4,CF,Cohesion Fund,2021SK16FFPR001,Programme Slovakia – SK– ERDF/CF/JTF/ESF+,,SK_598682,Košice - mestská časť Dargovských hrdinov,,,Košice Region,,,SK042,2021-2027,,,,,,,SK
